angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,IRS?,TYC,WISEA,Simbad
0.086949,J003427.12-063014.9,8.6130091,-6.5041613,0.0421,0.0403,53.1,5.731,5.610,5.781,5.579,6.035,5.846,5.753,0.155,0.045,0.016,0.041,0.027,0.055,0.023,91006101351012726,0000,0,0211,BAAA,447,49,583,48,1.261,8.613,-6.5041389,HD 3126,,00 34 27.12,-06 30 14.9,F4V,6380,1.23,200,2.9,45,57.84,1.91,40.91,,Y,TYC,WISEA,Simbad
0.100477,J003602.02-053415.6,9.0084442,-5.5710241,0.0410,0.0400,122.9,5.581,5.454,5.623,5.567,,,,0.186,0.054,0.015,0.041,,,,91006101351056782,0000,0,0300,BAAA,850,49,82,47,,9.0084583,-5.571,HD 3296,,00 36 02.03,-05 34 15.6,:F5,6450,1.46,60,39.2,,,0.23,45.04,,Y,TYC,WISEA,Simbad
0.026915,J003856.77-523203.6,9.7365716,-52.5343355,0.0334,0.0324,50.5,6.979,7.079,7.079,6.838,7.341,7.149,7.103,0.052,0.020,0.016,0.073,0.020,0.042,0.021,98053101351059148,0000,0,0000,AAAA,143,51,86,57,0.887,9.7365833,-52.5343333,HD 3670,,00 38 56.78,-52 32 03.6,F5V,6440,1.35,290,1.5,55,43.12,6.47,83.12,a,Y,TYC,WISEA,Simbad
2.017367,J004858.70+165624.2,12.2446030,+16.9400789,0.0501,0.0464,104.3,3.817,3.542,3.843,3.781,4.433,4.152,4.182,0.406,0.270,0.015,0.023,0.260,0.242,0.262,125116601351040582,0000,0,0110,CBAA,-182,65,-65,72,2.413,12.244625,16.9406389,64 Psc,,00 48 58.71,+16 56 26.3,F8V,6570,1.52,300,1.7,,,1.38,23.45,,N,TYC,WISEA,Simbad
0.081031,J005435.23+191118.0,13.6468071,+19.1883505,0.0380,0.0364,37.6,5.801,5.734,5.825,5.454,5.743,5.802,5.796,0.132,0.044,0.015,0.035,0.019,0.020,0.020,144119601351009774,0000,0,0100,BAAA,0,30,103,29,0.241,13.6467917,19.1883333,66 Psc,,00 54 35.23,+19 11 18.0,A1Vn,9340,2.7,250,8.7,35,447.82,2.2,108.1,,Y,TYC,WISEA,Simbad
0.170484,J010425.29+311827.8,16.1053771,+31.3077275,0.0328,0.0310,23.0,7.751,7.840,7.601,6.949,8.361,7.940,7.829,0.029,0.020,0.018,0.074,0.019,0.020,0.018,158131801351002491,0000,0,0000,AAAA,-65,60,-2,34,0.476,16.1054167,31.3076944,TYC2278-834-1,,01 04 25.30,+31 18 27.7,:K0,5310,0.78,260,0.7,,,6.19,62.89,a,N,TYC,WISEA,Simbad
2.558953,J011041.75+425552.5,17.6739749,+42.9312777,0.0389,0.0380,78.1,5.890,5.877,5.933,5.807,6.346,6.029,5.943,0.105,0.043,0.016,0.040,0.032,0.027,0.021,182142401351058357,0000,0,0311,AAAA,-212,27,24,27,2.823,17.674625,42.9318056,V443 And,,01 10 41.91,+42 55 54.5,G7V,5660,0.78,200,1.4,50,23.32,1.96,27.07,,Y,TYC,WISEA,Simbad
0.013216,J011217.22+794026.3,18.0717728,+79.6739736,0.0409,0.0397,170.0,5.535,5.388,5.493,4.656,5.462,5.504,5.493,0.158,0.053,0.015,0.024,0.027,0.034,0.017,167180201351002600,0h00,0,3600,BAAA,303,29,394,29,1.038,18.0717917,79.6739722,HR 333,,01 12 17.23,+79 40 26.3,A3V,8920,2.41,80,69.7,,,1.88,82.84,,N,TYC,WISEA,Simbad
0.097506,J011629.14+425621.5,19.1214395,+42.9393289,0.0443,0.0437,179.8,5.143,5.013,5.191,5.094,5.515,5.258,5.177,0.198,0.061,0.016,0.029,0.018,0.029,0.016,182142401351050987,0000,0,1200,BAAA,-151,32,-30,31,1.426,19.1214583,42.9393056,HD 7590,,01 16 29.15,+42 56 21.5,G0-V,6090,0.9,200,1.9,40,48.87,3.13,23.19,,Y,TYC,WISEA,Simbad
0.005643,J012032.34-112805.2,20.1347907,-11.4681123,0.0339,0.0326,22.7,6.537,6.525,6.545,6.375,7.026,6.654,6.549,0.077,0.023,0.016,0.062,0.020,0.042,0.021,200012201351056705,0000,0,2000,AAAA,-50,72,-23,678,2.078,20.1347917,-11.4681111,2MASS J01203226-1128035,,01 20 32.35,-11 28 05.2,G9V,5500,0.75,300,0.5,,,1.96,34.39,,Y,TYC,WISEA,Simbad
0.060484,J012834.41+421602.8,22.1434046,+42.2674586,0.0371,0.0364,40.6,5.443,5.256,5.441,5.321,5.686,5.485,5.422,0.159,0.054,0.014,0.030,0.023,0.018,0.016,222142401351031520,hh00,0,0300,BAAA,-72,28,20,27,1.233,22.1434167,42.2674444,HD 8907,,01 28 34.42,+42 16 02.8,:F7,6250,1.23,50,45.0,,,2.85,34.77,,Y,TYC,WISEA,Simbad
0.058682,J013437.84-154034.9,23.6576831,-15.6763650,0.0387,0.0385,97.1,5.471,5.302,5.340,3.742,5.487,5.528,5.458,0.168,0.054,0.015,0.025,0.020,0.020,0.020,234015201351002583,0000,0,0300,BAAA,315,48,390,46,1.090,23.6576667,-15.6763611,49 Cet,,01 34 37.84,-15 40 34.9,A1V,8670,1.77,180,9.6,65,73.64,11.14,59.38,,Y,TYC,WISEA,Simbad
0.081166,J013735.57-064538.5,24.3982323,-6.7607086,0.0372,0.0368,62.1,5.772,5.673,5.778,5.569,6.225,5.899,5.753,0.130,0.048,0.014,0.039,0.024,0.036,0.018,243006101351005134,0000,0,0200,BAAA,135,29,-56,29,2.054,24.39825,-6.7606944,EX Cet,,01 37 35.58,-06 45 38.5,G5V,5440,0.75,200,1.3,60,14.53,1.95,23.95,,Y,TYC,WISEA,Simbad
0.065049,J014024.15-605956.7,25.1006442,-60.9990988,0.0327,0.0311,59.8,6.619,6.592,6.598,6.040,6.843,6.689,6.632,0.071,0.023,0.015,0.045,0.023,0.031,0.024,240060601351023702,0000,0,2110,AAAA,142,30,-8,31,0.672,25.100625,-60.9990833,HD 10472,,01 40 24.15,-60 59 56.7,F2IV/V,6610,1.34,200,3.4,60,37.93,5.47,67.24,,Y,TYC,WISEA,Simbad
0.081499,J014229.53-534427.9,25.6230514,-53.7411052,0.0469,0.0428,120.4,4.171,3.913,4.220,3.954,4.791,4.399,4.340,0.377,0.222,0.014,0.021,0.226,0.234,0.276,246053101351000001,h000,1,0100,CBAA,649,40,-1,42,2.043,25.6230417,-53.7410833,HD 10647,b,01 42 29.53,-53 44 27.9,F9V,6280,1.01,300,1.0,55,30.9,5.8,17.43,,Y,TYC,WISEA,Simbad
0.036373,J014422.86+323056.5,26.0952609,+32.5156987,0.0350,0.0326,34.0,6.154,6.100,6.183,5.640,6.261,6.190,6.169,0.094,0.034,0.015,0.041,0.021,0.016,0.023,264131801351057725,0000,0,0011,AAAA,54,26,-13,26,1.034,26.09525,32.5156944,HD 10638,,01 44 22.86,+32 30 56.5,:A6,7470,1.62,65,49.8,,,4.58,69.3,,Y,TYC,WISEA,Simbad
0.084729,J014606.40-533118.7,26.5266709,-53.5218845,0.0487,0.0471,109.8,4.932,4.717,4.984,4.594,4.988,5.026,4.964,0.233,0.108,0.016,0.026,0.043,0.027,0.027,271053101351008163,0000,0,0200,BAAA,-21,42,-330,43,1.314,26.5266667,-53.5218611,HD 10939,,01 46 06.40,-53 31 18.7,A1V,8960,2.3,200,10.7,55,142.07,1.46,62.03,a,Y,TYC,WISEA,Simbad
0.300201,J015407.66-605423.9,28.5319201,-60.9066645,0.0342,0.0322,59.9,8.822,8.916,8.622,7.166,9.583,8.995,8.912,0.023,0.020,0.022,0.081,0.027,0.040,0.022,300060601351013227,0000,0,0000,AAAA,15,30,109,31,0.168,28.5320833,-60.9066389,TYC8850-1468-1,,01 54 07.70,-60 54 23.9,:K2,5040,0.73,185,1.2,,,15.28,92.95,,N,TYC,WISEA,Simbad
0.024752,J015450.37+211822.2,28.7098824,+21.3061668,0.0293,0.0280,15.8,7.407,7.292,4.085,2.958,7.890,7.665,7.603,0.030,0.020,0.014,0.018,0.023,0.023,0.027,290121201351033085,0000,0,1363,AAAA,23,26,16,26,0.552,28.709875,21.3061667,BD+20 307,,01 54 50.37,+21 18 22.2,:F9,6110,1.28,410,0.66,,,115.802,96.15,,N,TYC,WISEA,Simbad
0.038091,J015749.05-215405.8,29.4543819,-21.9016195,0.0342,0.0317,41.5,6.411,6.384,6.435,6.127,6.856,6.555,6.472,0.078,0.024,0.016,0.048,0.023,0.038,0.026,290021301351002643,0000,0,1100,AAAA,117,27,34,26,1.292,29.454375,-21.9016111,DK Cet,,01 57 49.05,-21 54 05.8,G4V,5800,0.91,350,0.5,35,58.59,3.13,40.89,,Y,TYC,WISEA,Simbad
0.038607,J020257.96+331702.7,30.7415100,+33.2840900,0.0424,0.0401,48.7,5.246,5.078,5.345,5.069,5.347,5.382,5.335,0.206,0.068,0.014,0.032,0.021,0.024,0.017,305133301351026469,0000,0,1400,BAAA,101,31,45,30,0.218,30.7415,33.2840833,eps Tri,,02 02 57.96,+33 17 02.7,A2V,8630,3.83,200,16.6,40,415.15,2.05,120.04,,Y,TYC,WISEA,Simbad
0.003220,J020726.24-594046.2,31.8593743,-59.6795008,0.0349,0.0333,48.7,6.215,6.067,6.116,5.465,6.534,6.304,6.204,0.097,0.035,0.015,0.035,0.020,0.033,0.020,316059101351005273,hh00,0,4110,AAAA,52,30,201,30,1.038,31.859375,-59.6795,HD 13246,,02 07 26.25,-59 40 46.2,F7V,6160,1.1,165,3.5,,,1.98,44.16,,Y,TYC,WISEA,Simbad
0.021604,J020925.20+811745.7,32.3550408,+81.2960338,0.0402,0.0385,56.9,5.741,5.607,5.695,5.523,5.751,5.758,5.689,0.117,0.048,0.015,0.035,0.018,0.021,0.027,291181701351000001,0000,1,2300,BAAA,437,34,603,34,0.594,32.3550417,81.2960278,HD 12467,,02 09 25.21,+81 17 45.7,A1.5V,8140,1.92,200,7.4,50,118.81,1.66,70.57,,Y,TYC,WISEA,Simbad
0.103088,J021532.17+591424.4,33.8840510,+59.2401345,0.0324,0.0309,27.6,7.497,7.533,7.269,6.218,7.665,7.607,7.614,0.028,0.019,0.017,0.053,0.020,0.036,0.029,345159001351040897,0000,0,0000,AAAA,-32,35,-190,35,0.565,33.8840833,59.2401111,TYC3698-2277-1,,02 15 32.18,+59 14 24.4,:F0,6940,1.45,200,4.0,,,3.51,113.1,a,N,TYC,WISEA,Simbad
0.061290,J021718.91+335049.6,34.3288128,+33.8471121,0.0457,0.0432,139.6,3.952,3.643,3.989,3.510,3.802,3.862,3.958,0.373,0.136,0.015,0.017,0.268,0.228,0.026,341133301351049512,0000,1,1100,CBAA,167,33,554,33,0.557,34.3288333,33.8471111,gam Tri,,02 17 18.92,+33 50 49.6,A1V,8970,2.05,85,53.2,,,0.97,34.43,,N,TYC,WISEA,Simbad
0.089181,J021724.78+284429.8,34.3532839,+28.7416349,0.0644,0.0511,78.7,6.017,6.075,6.141,5.498,6.570,6.355,6.262,0.106,0.044,0.025,0.035,0.021,0.026,0.017,342128701351031216,ddd0,1,4111,AAAA,-312,34,-209,32,0.995,34.3532917,28.7416111,HD 14082B,,02 17 24.79,+28 44 29.8,G2V,5910,0.67,220,1.1,55,18.18,5.74,27.33,,N,TYC,WISEA,Simbad
0.038841,J022616.32+061732.8,36.5680315,+6.2924482,0.0397,0.0377,88.0,5.814,5.646,5.778,5.269,6.028,5.863,5.822,0.068,0.025,0.015,0.033,0.020,0.024,0.021,364106001351042847,dddd,1,0310,AAAA,-99,40,82,55,1.149,36.5680417,6.2924444,HD 15115,b,02 26 16.33,+06 17 32.8,:F3,6660,1.3,320,1.3,60,37.52,6.21,45.22,,Y,TYC,WISEA,Simbad
0.046077,J022729.32+305823.9,36.8721784,+30.9733135,0.0318,0.0305,14.2,6.917,7.044,6.977,6.430,7.870,7.235,7.080,0.046,0.019,0.016,0.066,0.034,0.018,0.026,365130201351052728,hh00,0,0100,AAAA,135,36,27,31,1.239,36.8721667,30.9733056,AG Tri,,02 27 29.32,+30 58 23.9,K7V,4330,0.82,205,0.8,55,11.82,16.55,39.95,,N,TYC,WISEA,Simbad
0.349093,J022801.71-334839.4,37.0071635,-33.8109574,0.0466,0.0443,136.3,4.946,4.746,4.976,4.556,5.119,5.027,4.944,0.198,0.093,0.015,0.025,0.222,0.018,0.026,377033401351010587,0000,0,0300,BAAA,-70,33,493,33,0.277,37.0070833,-33.8110278,phi For,,02 28 01.70,-33 48 39.7,A2.5V,8630,1.74,100,30.2,,,0.45,46.59,,Y,TYC,WISEA,Simbad
