angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000
2.120902,J035826.88+593647.5,59.6120265,+59.6132032,0.0915,0.0841,118.6,15.076,15.309,12.649,8.917,16.081,15.442,14.979,0.035,0.083,,,0.093,0.121,0.112,604159001351060434,0h00,0,0nnn,AAUU,172,241,216,262,0.448,59.6127360647526,13.8408319355133
1.391419,J035708.44+591706.0,59.2851938,+59.2850257,0.3382,0.3039,117.3,17.066,17.513,12.785,8.723,,,,0.105,,,,,,,604159001351041613,0000,0,nnnn,AUUU,547,1344,-324,1428,,59.2847230903114,13.9711200122674
1.187873,J035803.46+593049.3,59.5144221,+59.5137198,0.2827,0.2564,120.2,16.761,17.275,12.556,8.909,,,,0.088,0.511,,,,,,604159001351041480,0000,0,nnnn,ACUU,-42,1038,523,1090,,59.5137841593463,13.9824863476299
2.243118,J035748.87+592717.1,59.4536407,+59.4547728,0.1473,0.1387,125.8,15.803,16.092,11.874,9.055,,,,0.051,0.170,,,,,,604159001351041259,0000,0,0nnn,ABUU,-384,476,45,496,,59.4548557933613,14.0830142368873
4.974185,J035740.92+592510.5,59.4205374,+59.4195926,0.1590,0.1471,121.5,15.982,16.600,12.745,9.055,,,,0.052,0.286,,,,,,604159001351040924,0000,0,0nnn,ABUU,148,550,-74,571,,59.4186160472698,14.1209069503919
4.835486,J035614.11+590342.0,59.0587968,+59.0616844,0.1037,0.0979,126.5,15.498,15.215,11.520,8.868,,,,0.039,0.083,0.194,,,,,604159001351038050,0000,0,1nnn,AABU,-290,352,211,365,,59.0613002024685,13.9375075906672
2.246330,J035607.05+590141.2,59.0294005,+59.0281179,0.1259,0.0984,149.8,14.930,14.555,11.928,8.378,16.892,15.830,15.516,0.048,0.062,0.324,,,0.159,0.202,576159001351026464,hh00,0,nnnn,AABU,,,,,0.879,59.0285749039143,13.9846645542342
3.130333,J035708.44+591706.0,59.2851938,+59.2850257,0.3382,0.3039,117.3,17.066,17.513,12.785,8.723,,,,0.105,,,,,,,604159001351041613,0000,0,nnnn,AUUU,547,1344,-324,1428,,59.2842891214547,14.2575385969161
3.610688,J035652.58+591302.0,59.2190888,+59.2172256,0.1635,0.1496,118.1,16.064,16.620,12.648,9.096,,,,0.052,0.260,,,,,,604159001351041550,0000,0,0nnn,ABUU,-304,574,-3,603,,59.2180879165727,14.2394789417273
4.221938,J035510.27+584727.5,58.7928227,+58.7909853,0.1189,0.1118,115.3,15.645,16.046,12.004,8.973,16.639,16.022,15.722,0.042,0.152,,,0.130,0.190,,576159001351025310,0000,0,0nnn,ABUU,663,367,121,387,1.039,58.7906524703483,14.1912195489491
2.774794,J040141.38+602518.9,60.4224380,+60.4219259,0.1376,0.1265,117.1,15.801,16.143,12.752,8.761,,,,0.046,0.179,,,,,,600160501351030180,0000,0,0nnn,ABUU,-48,442,-99,472,,60.4226868315328,13.5571022057972
4.144107,J040305.36+604611.3,60.7723517,+60.7698319,0.1589,0.1476,120.1,15.859,15.828,11.959,8.569,,,,0.054,0.148,,,,,,600160501351048385,dd00,0,1nnn,ABUU,428,514,-505,531,,60.7700293033033,13.7042894672746
2.750372,J040355.21+605853.4,60.9800625,+60.9815203,0.1934,0.1738,113.1,16.192,15.952,12.525,9.027,,,,0.066,0.143,,,,,,600160501351050465,dd00,0,1nnn,ABUU,-484,629,900,675,,60.9816231058304,13.9980807515139
1.218322,J040333.17+605317.9,60.8882092,+60.8883213,0.0764,0.0721,128.3,14.723,14.484,12.629,9.119,,,,0.032,0.050,,,,,,600160501351047100,0000,0,00nn,AAUU,-197,172,151,184,,60.8886009426813,14.1092983596208
4.559573,J040103.86+601601.1,60.2661150,+60.2669849,0.2966,0.2693,121.3,16.742,16.526,12.697,8.477,,,,0.097,0.239,0.496,,,,,600160501351020514,hh00,0,nnnn,ABCU,-395,1097,-1407,1136,,60.2657326080764,14.2205353672486
4.637845,J040602.69+613042.6,61.5112370,+61.5118610,0.1160,0.1108,131.2,15.513,15.440,12.659,8.731,16.019,15.865,15.432,0.044,0.096,,,0.063,0.157,0.160,599162001351001192,0h00,0,0nnn,AAUU,-334,327,507,341,0.100,61.5106081450379,14.2522286433314
4.557304,J040307.71+604701.2,60.7821498,+60.7836762,0.1270,0.1169,119.4,15.625,15.827,12.335,9.022,17.004,15.797,15.369,0.045,0.130,,,0.178,0.142,0.154,600160501351047810,0000,0,0nnn,ABUU,241,401,-59,428,0.415,60.7843480063489,14.376513623618
2.388459,J035857.98+594434.9,59.7415915,+59.7430422,0.0895,0.0829,124.7,15.054,15.342,12.499,8.582,16.022,15.691,15.385,0.034,0.085,,,0.091,0.156,0.171,604159001351060521,0000,0,00nn,AAUU,139,235,-576,246,1.897,59.742854213785,14.0695459784229
4.409843,J035832.39+593814.3,59.6349639,+59.6373294,0.2367,0.2085,120.8,16.511,16.771,12.373,9.062,,,,0.074,,,,,,,604159001351061283,0000,0,0nnn,AUUU,-450,860,-558,916,,59.6373847863768,14.0999271013597
2.744521,J035826.88+593647.5,59.6120265,+59.6132032,0.0915,0.0841,118.6,15.076,15.309,12.649,8.917,16.081,15.442,14.979,0.035,0.083,,,0.093,0.121,0.112,604159001351060434,0h00,0,0nnn,AAUU,172,241,216,262,0.448,59.6124754831957,14.2489266726995
3.868743,J035932.29+595305.6,59.8845664,+59.8849040,0.0390,0.0359,174.8,10.285,10.375,10.291,8.815,11.365,10.617,10.409,0.023,0.020,0.073,,0.020,0.015,0.016,600160501351005522,hh00,0,000n,AAAU,-11,38,-54,38,0.042,59.8857870832665,14.4639197443739
4.256436,J035840.64+594000.2,59.6693370,+59.6667303,0.0712,0.0675,124.8,14.586,14.780,12.739,9.270,15.475,14.868,14.768,0.029,0.058,,,0.062,0.078,0.107,604159001351060269,0h00,0,00nn,AAUU,-256,158,-103,170,0.188,59.6673765357068,14.5492269169714
4.663499,J035739.11+592439.8,59.4129725,+59.4110580,0.3245,0.3015,118.2,16.822,17.059,12.618,9.044,,,,0.103,0.399,,,,,,604159001351041276,0000,0,nnnn,ACUU,-410,1237,58,1299,,59.4105949867469,14.5211491314426
4.330583,J035849.77+594219.4,59.7073857,+59.7054027,0.0389,0.0356,10.9,11.062,11.122,10.884,8.466,11.692,11.273,11.140,0.023,0.020,0.102,,0.020,0.017,0.022,604159001351059824,0000,0,000n,AAAU,-8,40,-26,40,0.085,59.7050854215687,14.5917205196264
2.456074,J035850.29+594236.2,59.7095661,+59.7100675,0.0512,0.0499,151.1,13.433,13.426,12.145,8.957,13.899,13.714,13.533,0.026,0.031,0.323,,0.025,0.027,0.036,604159001351059985,0000,0,11nn,AABU,-21,78,-18,82,0.093,59.7093910088447,15.029885619433
0.387013,J040400.19+610002.0,61.0008126,+61.0005707,0.0495,0.0489,2.8,13.289,13.248,12.739,9.213,13.997,13.530,13.372,0.025,0.029,0.536,,0.026,0.037,0.032,600160501351049190,0000,0,11nn,AACU,14,72,82,75,0.200,61.0005983578345,15.0129229440117
4.368303,J040222.38+603534.5,60.5932699,+60.5929217,0.6877,0.6141,119.8,17.647,17.366,12.546,8.956,,,,0.214,,,,,,,600160501351031122,0000,0,nnnn,BUUU,586,2594,1902,2742,,60.5919088823161,15.0329309620222
4.922780,J040048.33+601206.0,60.2014122,+60.2016725,0.0995,0.0940,130.8,15.255,15.117,12.754,8.859,16.165,15.517,15.124,0.038,0.079,,,0.084,0.128,0.125,600160501351019267,0000,0,00nn,AAUU,158,272,-48,281,0.310,60.2004007830354,15.0137535433383
4.856691,J040222.38+603534.5,60.5932699,+60.5929217,0.6877,0.6141,119.8,17.647,17.366,12.546,8.956,,,,0.214,,,,,,,600160501351031122,0000,0,nnnn,BUUU,586,2594,1902,2742,,60.5941924443017,15.280317092191
4.243180,J040103.86+601601.1,60.2661150,+60.2669849,0.2966,0.2693,121.3,16.742,16.526,12.697,8.477,,,,0.097,0.239,0.496,,,,,600160501351020514,hh00,0,nnnn,ABCU,-395,1097,-1407,1136,,60.2658156065302,15.2904976710941
4.428600,J040132.63+602318.3,60.3859746,+60.3884188,0.0706,0.0674,131.5,14.368,14.407,12.673,8.699,15.001,14.445,14.344,0.030,0.048,,,0.051,0.055,0.079,600160501351021762,0000,0,01nn,AAUU,78,145,-177,152,0.079,60.3884626854718,15.3834916814701
4.243443,J040206.59+603130.8,60.5274858,+60.5252436,0.2010,0.1795,114.3,16.182,17.135,12.471,8.881,,,,0.065,0.420,,,,,,600160501351030502,0000,0,0nnn,ACUU,-188,670,-45,720,,60.5262547705879,15.4667128297606
4.719977,J040224.16+603556.0,60.6006809,+60.5989043,0.0981,0.0727,46.9,13.474,13.487,11.996,8.652,14.360,13.741,13.555,0.043,0.047,,,0.034,0.042,0.046,600160501351028884,0000,0,nnnn,AAUU,,,,,0.385,60.5983052967541,15.5844894218387
0.591589,J040129.91+602229.5,60.3746423,+60.3748882,0.0594,0.0577,139.9,14.031,13.845,11.912,9.113,15.088,14.400,14.200,0.028,0.036,,,0.050,0.055,0.071,600160501351021638,0000,0,01nn,AAUU,27,110,135,115,0.392,60.3749501478482,15.6250457980777
3.819255,J035018.43+573442.3,57.5768172,+57.5784272,0.1182,0.1094,123.0,15.599,15.749,12.693,9.402,,,,0.042,0.112,0.432,,,,,581157501351036163,hd00,0,1nnn,ABCU,-226,317,1704,331,,57.5774160513664,13.4985108897984
0.560539,J035213.47+580321.0,58.0561433,+58.0558411,0.0498,0.0485,165.4,13.334,13.327,11.953,8.865,14.712,13.879,13.527,0.025,0.030,,,0.041,0.040,0.044,581157501351060430,0000,0,00nn,AAUU,76,65,32,67,0.325,58.0559649470133,13.605819240776
4.280733,J035104.76+574605.2,57.7698658,+57.7681323,0.0413,0.0374,6.5,11.629,11.679,11.795,9.221,12.722,11.980,11.734,0.023,0.022,0.220,,0.022,0.021,0.019,581157501351043208,0000,0,11nn,AABU,39,41,73,38,0.122,57.7692795901478,14.3477502970875
0.776919,J035421.83+583526.6,58.5909693,+58.5907492,0.1073,0.1007,119.8,15.298,15.412,12.434,8.895,15.829,15.328,15.243,0.041,0.090,,,0.071,0.099,0.151,576159001351001433,0000,0,0nnn,AAUU,-106,257,194,273,0.109,58.5906274342611,14.0791896455484
2.332679,J035407.61+583157.4,58.5317281,+58.5326187,0.2281,0.2069,117.9,16.552,16.772,11.950,9.034,,,,0.072,,,,,,,576159001351002284,0000,0,1nnn,AUUU,535,841,703,878,,58.5319847295385,14.2040624018466
3.752010,J035134.23+575341.5,57.8926591,+57.8948798,0.1987,0.1833,120.6,16.583,16.223,12.866,8.757,,,,0.066,0.174,,,,,,581157501351048610,0000,0,1nnn,ABUU,-453,693,693,726,,57.8943910680663,14.6368121306872
3.311850,J035155.63+575855.1,57.9818118,+57.9819773,0.0983,0.0916,113.3,15.450,15.801,12.756,9.272,,,,0.036,0.119,,,,,,581157501351047541,D000,0,nnnn,ABUU,-1,258,331,278,,57.9827508637539,14.6888992767706
1.115271,J034956.38+572907.9,57.4849274,+57.4855539,0.0405,0.0376,6.7,11.698,11.768,11.587,8.779,12.719,12.050,11.850,0.023,0.021,0.160,,0.023,0.022,0.018,581157501351034824,hh00,1,11nn,AABU,57,38,60,40,0.154,57.485492224755,14.5022104773399
3.211586,J034550.26+562728.2,56.4594184,+56.4578389,0.1699,0.1567,126.9,16.140,17.354,12.525,9.248,,,,0.054,,,,,,,559156001351048237,0000,0,0nnn,AUUU,-149,561,416,582,,56.4578050524933,14.5495656594926
4.802262,J034647.89+564203.1,56.6995502,+56.7008646,0.2020,0.1846,115.8,16.422,17.360,12.770,9.190,,,,0.065,,,,,,,559156001351056525,0000,0,1nnn,AUUU,-165,690,8,733,,56.7015896721289,14.6633231344187
3.407674,J034607.69+563159.6,56.5320648,+56.5332239,0.1310,0.1218,123.5,15.803,16.058,12.373,9.184,,,,0.046,0.158,,,,,,559156001351056097,0O00,0,0nnn,ABUU,102,405,765,421,,56.5322851857649,14.7042324187142
4.829981,J035143.77+575558.2,57.9323750,+57.9328454,0.2018,0.1885,118.8,16.369,17.582,12.721,9.362,,,,0.065,,,,,,,581157501351048055,0000,0,0nnn,AUUU,16,615,53,647,,57.9339108497451,14.8382703332511
4.759801,J035233.61+580826.3,58.1400768,+58.1406666,0.1374,0.1269,126.4,15.893,17.309,12.648,9.195,,,,0.046,0.456,,,,,,581157501351061869,0000,0,0nnn,ACUU,18,433,137,450,,58.1393944362049,15.1141172284663
2.087921,J034917.94+571932.2,57.3247725,+57.3256376,0.0532,0.0510,161.8,13.956,14.098,12.878,9.205,14.821,14.392,14.105,0.025,0.035,,,0.045,0.052,0.057,581157501351016958,dd00,0,00nn,AAUU,70,85,209,89,0.384,57.3250822323474,15.1814851254927
3.346206,J035623.01+590540.8,59.0959034,+59.0946869,0.0923,0.0874,129.1,15.083,15.203,12.631,9.023,15.680,15.065,15.297,0.035,0.089,,,0.063,0.086,0.163,604159001351037733,0000,0,11nn,AAUU,107,252,-26,265,0.356,59.0956035828741,14.8225121308759
1.956953,J035809.60+593220.3,59.5400140,+59.5389822,0.0628,0.0602,145.1,14.124,14.277,12.498,9.028,14.799,14.445,14.198,0.028,0.044,,,0.034,0.050,0.053,604159001351062746,0000,0,00nn,AAUU,-72,122,150,126,0.018,59.5389443467414,15.2292208788303
3.471821,J035739.11+592439.8,59.4129725,+59.4110580,0.3245,0.3015,118.2,16.822,17.059,12.618,9.044,,,,0.103,0.399,,,,,,604159001351041276,0000,0,nnnn,ACUU,-410,1237,58,1299,,59.4118258921574,15.354329875937
4.969596,J035515.83+584847.0,58.8159976,+58.8130570,0.0740,0.0710,128.2,14.693,14.711,12.569,9.226,15.857,15.248,14.872,0.031,0.057,,,0.077,0.090,0.091,576159001351024730,0000,0,11nn,AAUU,84,169,-142,178,0.238,58.8139255651957,15.4660682970635
4.297838,J035947.10+595650.2,59.9462616,+59.9472846,0.0511,0.0504,158.3,13.633,13.599,11.706,8.824,14.441,14.064,13.894,0.025,0.031,0.233,,0.030,0.039,0.049,600160501351007897,hhD0,1,32nn,AABU,3,88,-294,93,0.045,59.9480652474761,15.3030133474203
3.038988,J040042.54+601035.4,60.1772602,+60.1765174,0.3742,0.3346,121.9,16.962,16.748,12.843,9.226,,,,0.115,,,,,,,600160501351020545,0000,0,nnnn,BUUU,120,1370,1456,1437,,60.1773601249924,15.5350713666359
3.911966,J035707.15+591654.2,59.2798212,+59.2817450,0.2033,0.1832,118.9,16.413,17.497,12.785,8.839,,,,0.065,,,,,,,604159001351041020,0000,0,0nnn,AUUU,48,746,440,793,,59.2819205258364,15.6307974523557
4.652715,J035938.07+595421.5,59.9086368,+59.9059829,0.4645,0.4266,115.7,17.214,17.313,12.557,9.061,,,,0.150,,,,,,,600160501351007333,0H00,0,nnnn,BUUU,-873,1705,719,1812,,59.906064416371,15.9837219416936
4.758712,J035832.39+593814.3,59.6349639,+59.6373294,0.2367,0.2085,120.8,16.511,16.771,12.373,9.062,,,,0.074,,,,,,,604159001351061283,0000,0,0nnn,AUUU,-450,860,-558,916,,59.6375442232857,15.9267751316933
2.887631,J035822.43+593542.6,59.5934902,+59.5951845,0.3582,0.3248,116.2,17.009,17.352,12.617,8.907,,,,0.109,,,,,,,604159001351061851,0000,0,nnnn,BUUU,-1026,1447,-217,1543,,59.5950540092337,16.1202221935805
2.222310,J035333.76+582327.6,58.3906699,+58.3910208,0.1609,0.1470,119.6,16.004,16.189,11.782,8.648,,,,0.054,0.165,,,,,,576159001351004450,0000,0,0nnn,ABUU,-611,503,-235,520,,58.3914725605357,15.4026911582315
2.227276,J035338.63+582438.4,58.4109795,+58.4106942,0.0690,0.0583,102.4,14.089,14.217,12.406,8.767,15.024,14.394,14.157,0.028,0.045,0.483,,0.036,0.040,0.061,576159001351003102,0000,0,nnnn,AACU,281,94,135,102,0.149,58.4112909705024,15.580080992029
0.762143,J035349.13+582717.7,58.4547465,+58.4549191,0.2207,0.2015,114.9,16.521,16.965,12.275,8.798,,,,0.071,0.340,,,,,,576159001351004587,0000,0,0nnn,ABUU,-228,759,410,806,,58.4547083361436,16.0958085143358
3.824726,J035250.58+581246.7,58.2107517,+58.2129830,0.0521,0.0505,145.6,13.761,13.839,12.549,9.080,14.427,14.038,13.847,0.025,0.032,,,0.030,0.033,0.052,581157501351060897,dd00,0,00nn,AAUU,171,84,-61,88,0.119,58.2123060054885,15.9115745113625
2.807565,J035353.23+582818.3,58.4718010,+58.4717633,0.0843,0.0779,145.5,14.742,14.900,12.384,8.603,15.584,15.132,15.098,0.033,0.064,,,0.060,0.086,0.136,576159001351003123,hh00,0,nnnn,AAUU,,,,,0.330,58.4724623366243,16.1489070743329
4.390823,J035559.19+585953.1,58.9966619,+58.9980895,0.0578,0.0563,167.4,13.774,13.793,12.614,8.937,14.907,14.249,14.145,0.027,0.036,,,0.040,0.048,0.052,576159001351026454,0000,1,00nn,AAUU,92,97,103,99,0.261,58.9968747568179,15.9153832473597
2.574342,J035803.46+593049.3,59.5144221,+59.5137198,0.2827,0.2564,120.2,16.761,17.275,12.556,8.909,,,,0.088,0.511,,,,,,604159001351041480,0000,0,nnnn,ACUU,-42,1038,523,1090,,59.5144348625871,16.2672472258717
2.270835,J035757.19+592922.8,59.4883162,+59.4896807,0.0444,0.0417,166.4,12.492,12.518,12.590,8.462,13.475,12.955,12.768,0.024,0.024,0.454,,0.028,0.040,0.032,604159001351039692,0000,0,11nn,AACU,-51,54,247,55,0.581,59.4895149884195,16.4947310426468
2.851682,J035553.76+585831.1,58.9740206,+58.9753121,0.1772,0.1608,121.8,16.156,16.604,12.199,8.996,16.677,15.992,15.425,0.057,0.260,,,0.138,,,576159001351027780,0000,0,1nnn,ABUU,1147,605,-358,642,0.224,58.9755091888424,16.5214086363953
2.953999,J035620.75+590511.9,59.0864847,+59.0866640,0.2243,0.2063,124.9,16.449,16.697,12.634,8.726,,,,0.071,,,,,,,604159001351038847,0000,0,0nnn,AUUU,-235,859,340,894,,59.0859003490021,16.6362064887825
0.890962,J035649.92+591227.3,59.2080077,+59.2076077,0.0493,0.0481,144.8,13.430,13.449,12.216,8.491,14.215,13.767,13.519,0.024,0.030,,,0.028,0.036,0.033,604159001351036847,0000,0,00nn,AAUU,-49,78,66,82,0.130,59.2078397657997,16.7148701746809
4.005171,J035631.43+590754.0,59.1309661,+59.1316886,0.0701,0.0684,129.9,14.306,14.435,12.633,9.074,15.221,14.852,14.570,0.030,0.049,,0.516,0.051,0.097,0.080,604159001351037079,0000,0,00nn,AAUC,-146,132,239,135,0.701,59.1305926668004,16.7545530176517
1.195171,J035631.43+590754.0,59.1309661,+59.1316886,0.0701,0.0684,129.9,14.306,14.435,12.633,9.074,15.221,14.852,14.570,0.030,0.049,,0.516,0.051,0.097,0.080,604159001351037079,0000,0,00nn,AAUC,-146,132,239,135,0.701,59.1315043551691,16.8034106664188
4.348884,J033354.31+532839.9,53.4763247,+53.4777689,0.0822,0.0764,141.4,14.663,14.716,12.675,9.157,15.736,15.311,14.968,0.033,0.060,,,0.061,0.091,0.108,542153001351059466,0000,0,11nn,AAUU,126,189,181,195,0.625,53.4765697091149,12.0996347041246
3.283372,J033350.85+532749.1,53.4618833,+53.4636606,0.2603,0.2355,122.7,16.411,16.575,12.774,8.946,,,,0.081,,,,,,,542153001351042608,0000,0,2nnn,AUUU,106,880,1873,927,,53.4631332734076,12.2816630447351
2.839537,J033426.67+533641.0,53.6111310,+53.6114116,0.0678,0.0639,132.1,14.328,14.387,12.101,8.341,15.588,14.871,14.607,0.029,0.052,0.295,,0.062,0.071,0.077,542153001351059868,0000,0,01nn,AABU,45,150,159,153,0.199,53.6106714229716,12.3368189868047
1.757193,J033259.53+531449.9,53.2480634,+53.2472012,0.0696,0.0667,109.1,14.423,14.561,12.667,8.884,15.689,14.903,14.587,0.029,0.054,,,0.071,0.069,0.078,542153001351038713,0000,0,00nn,AAUU,-3,143,28,154,0.417,53.2472521622842,12.3339997855744
3.896780,J033340.85+532507.1,53.4202294,+53.4186502,0.1124,0.1070,124.7,15.422,15.647,12.752,9.118,16.395,15.771,15.631,0.041,0.115,,,0.107,0.127,0.198,542153001351039554,0000,0,1nnn,ABUU,248,324,9,339,0.295,53.4196823856412,12.5603971385051
4.781783,J033511.54+534746.5,53.7981064,+53.7962656,0.1405,0.1296,133.7,15.742,16.086,12.658,9.029,,,,0.048,0.172,,,,,,536154501351006636,0h00,0,0nnn,ABUU,-411,455,160,469,,53.7975530288166,12.592589604832
4.545194,J033419.97+533453.8,53.5832247,+53.5816271,0.0554,0.0532,125.6,13.721,13.700,12.715,9.199,14.875,14.257,14.026,0.026,0.036,,,0.045,0.047,0.046,542153001351059505,0000,1,11nn,AAUU,0,96,0,107,1.514,53.582872161791,12.5727621340943
0.607851,J033455.51+534351.7,53.7313089,+53.7310366,0.1215,0.1170,135.0,15.612,15.809,12.706,8.710,,,,0.043,0.137,,,,,,542153001351060395,0000,0,0nnn,ABUU,455,389,554,396,,53.7311901267906,12.6985692187054
4.485358,J033131.05+525254.5,52.8794137,+52.8818226,0.1040,0.0978,120.1,15.323,15.352,12.377,8.899,16.365,15.473,15.441,0.039,0.092,,,0.105,0.108,0.142,517153001351028465,0000,0,0nnn,AAUU,82,317,144,333,0.173,52.881228855736,12.552781513083
2.677253,J033237.57+530923.2,53.1565816,+53.1564557,0.0492,0.0480,166.9,13.151,13.154,12.354,8.478,13.897,13.438,13.317,0.025,0.030,,,0.024,0.033,0.033,542153001351035859,0000,0,00nn,AAUU,144,71,81,76,0.067,53.1558536237456,12.7649173418867
3.932597,J033400.21+532955.5,53.5008863,+53.4987522,0.0626,0.0612,126.7,14.215,14.265,12.003,8.336,15.527,14.751,14.522,0.028,0.043,0.285,,0.061,0.065,0.081,542153001351060569,hh00,0,01nn,AABU,-2,131,55,139,0.684,53.4992632612427,13.0503834581104
4.566645,J033625.68+540629.2,54.1070164,+54.1081206,0.1172,0.1089,123.2,15.263,15.367,11.821,9.072,16.927,15.828,15.464,0.042,0.100,,,0.187,0.163,0.200,536154501351022486,0000,0,0nnn,AAUU,273,330,42,340,1.719,54.1068556166661,12.8802132837061
4.189744,J033617.46+540417.2,54.0727623,+54.0714612,0.1575,0.1453,121.4,15.891,16.605,12.613,9.202,,,,0.053,0.298,,,,,,536154501351022889,0000,0,0nnn,ABUU,-95,541,168,571,,54.072622109951,13.1319266005901
4.064199,J033842.59+544044.2,54.6774685,+54.6789685,0.2107,0.1935,120.8,16.263,17.073,12.671,8.970,,,,0.068,0.455,,,,,,536154501351051813,0000,0,1nnn,ACUU,-143,757,-236,788,,54.6778627968618,13.1954412514066
1.149110,J033838.58+543940.1,54.6607867,+54.6611564,0.0484,0.0462,27.0,12.934,12.910,12.562,9.078,13.784,13.256,13.070,0.025,0.028,0.518,,0.027,0.034,0.034,536154501351026724,0000,0,11nn,AACU,50,68,-23,70,0.130,54.6608386327304,13.1934180374263
2.942223,J033646.52+541136.6,54.1938415,+54.1935228,0.1355,0.1261,129.2,15.627,16.145,12.599,9.232,16.766,15.895,15.502,0.046,0.189,,,0.166,0.178,0.215,536154501351022832,0000,0,1nnn,ABUU,-147,436,-164,451,0.251,54.192912450186,13.2355764046156
3.791424,J033353.51+532825.3,53.4729708,+53.4737158,0.0714,0.0680,136.7,14.411,14.392,12.639,8.872,15.447,14.734,14.516,0.030,0.050,,,0.052,0.060,0.070,542153001351041439,0000,0,11nn,AAUU,54,152,-214,157,0.134,53.4743646276458,13.239816050563
4.711642,J033452.24+534259.6,53.7177018,+53.7165787,0.0412,0.0388,10.8,11.385,11.395,11.426,9.012,12.949,11.940,11.601,0.024,0.022,0.173,,0.024,0.028,0.025,542153001351058705,0000,0,01nn,AABU,-26,44,135,43,0.061,53.7178831057873,13.4667766736414
3.494517,J033625.68+540629.2,54.1070164,+54.1081206,0.1172,0.1089,123.2,15.263,15.367,11.821,9.072,16.927,15.828,15.464,0.042,0.100,,,0.187,0.163,0.200,536154501351022486,0000,0,0nnn,AAUU,273,330,42,340,1.719,54.1085231413196,13.2809935607251
4.860779,J033002.39+523034.4,52.5099813,+52.5095591,0.1331,0.1235,122.0,15.684,15.843,12.712,8.848,,,,0.046,0.137,,,,,,517153001351003928,0000,0,0nnn,ABUU,107,408,-896,430,,52.508535171567,13.0310970016027
3.703406,J033048.29+524159.2,52.7012472,+52.6998017,0.0463,0.0439,13.5,12.810,12.834,12.015,8.822,14.180,13.279,13.002,0.024,0.026,0.299,0.385,0.028,0.030,0.032,517153001351024608,dd00,0,00nn,AABC,82,61,-10,63,0.080,52.7007928807602,13.1791806238735
2.637186,J033049.77+524226.9,52.7073942,+52.7074883,0.0383,0.0344,14.8,10.217,10.213,10.175,8.868,10.551,10.371,10.292,0.022,0.020,0.057,,0.022,0.028,0.026,517153001351024443,0000,0,011n,AAAU,0,36,0,35,0.035,52.7080881809898,13.1919620598849
2.811189,J032922.38+522037.6,52.3432876,+52.3438020,0.1821,0.1634,111.2,16.061,16.521,12.487,9.109,,,,0.060,0.267,,,,,,517153001351004364,0000,0,0nnn,ABUU,422,603,-682,655,,52.3430363255633,13.2278818634492
4.826170,J033147.61+525648.4,52.9483933,+52.9467995,0.1030,0.1008,68.6,15.022,15.160,12.559,9.131,16.028,15.290,15.232,0.038,0.095,,,0.093,0.119,0.125,517153001351028603,0000,0,0nnn,AAUU,-65,257,-240,268,0.363,52.9481307493814,13.5115501625972
3.647475,J033139.00+525441.3,52.9125005,+52.9114770,0.2482,0.2245,118.4,16.518,15.886,12.760,9.125,,,,0.085,0.151,,,,,,517153001351029478,0000,0,0nnn,ABUU,-13,847,53,896,,52.9110097505571,13.574489880606
1.931483,J033033.05+523812.2,52.6377318,+52.6367277,0.2189,0.1968,121.4,16.485,16.220,12.190,9.058,,,,0.071,0.188,,,,,,517153001351026082,0000,0,1nnn,ABUU,1918,807,-972,845,,52.6368881827069,13.7362962466537
3.009749,J033433.85+533823.9,53.6410657,+53.6399995,0.1362,0.1223,119.9,15.709,15.840,12.166,8.437,,,,0.047,0.140,0.369,,,,,542153001351059370,0000,0,0nnn,ABCU,958,429,254,454,,53.6397305155425,13.8394447779194
3.865885,J033511.54+534746.5,53.7981064,+53.7962656,0.1405,0.1296,133.7,15.742,16.086,12.658,9.029,,,,0.048,0.172,,,,,,536154501351006636,0h00,0,0nnn,ABUU,-411,455,160,469,,53.7971946561873,13.9517427065807
1.684315,J033227.15+530644.8,53.1131269,+53.1124643,0.1961,0.1775,118.9,16.283,16.833,12.608,8.835,,,,0.062,,,,,,,542153001351037137,0000,0,1nnn,AUUU,345,716,-229,756,,53.1129144672468,13.7626141975386
2.036005,J033319.80+531953.2,53.3325360,+53.3314500,0.1710,0.1576,129.6,15.969,16.173,12.214,9.106,,,,0.057,0.210,,,,,,542153001351040370,0000,0,0nnn,ABUU,520,580,70,593,,53.3318205490959,13.8206368910519
4.713005,J033236.58+530900.4,53.1524206,+53.1501207,0.0462,0.0444,2.4,12.759,12.783,12.250,8.991,13.617,13.112,12.887,0.025,0.027,,,0.028,0.032,0.026,542153001351035801,0000,0,11nn,AAUU,26,62,123,66,0.050,53.1512101256072,14.1288255588482
2.071406,J033319.80+531953.2,53.3325360,+53.3314500,0.1710,0.1576,129.6,15.969,16.173,12.214,9.106,,,,0.057,0.210,,,,,,542153001351040370,0000,0,0nnn,ABUU,520,580,70,593,,53.331610940696,14.2907887620577
