angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000
3.893805,J030432.39+460803.2,46.1349972,+46.1342341,0.0401,0.0367,13.9,10.360,10.460,10.432,8.487,11.294,10.618,10.438,0.046,0.022,0.075,,0.019,0.017,0.016,468145401351058312,0000,0,000n,AAAU,-25,39,12,38,0.096,46.1336676021287,1.9382842585283
4.477551,J030533.06+462319.4,46.3877847,+46.3887247,0.1292,0.1198,129.1,15.525,15.804,12.722,9.031,16.647,15.983,15.533,0.046,0.140,,,0.156,0.175,0.199,458146901351003515,0000,0,0nnn,ABUU,-52,372,-98,377,0.984,46.3893464361743,2.3202939537502
4.171797,J030842.86+471035.5,47.1785892,+47.1765289,0.3400,0.3028,120.2,16.977,17.287,12.601,9.022,,,,0.106,0.482,,,,,,480146901351039301,0000,0,nnnn,ACUU,-53,1346,1618,1429,,47.1772103334203,2.0688927690742
1.298962,J031004.02+473058.6,47.5167547,+47.5162879,0.5018,0.4180,38.9,16.687,16.587,12.199,8.474,,,,0.161,0.344,,0.343,,,,480146901351058904,0000,0,nnnn,BBUB,3018,1068,3435,1195,,47.5162279316503,2.3595781752077
1.583320,J030701.45+464518.9,46.7560486,+46.7552716,0.0473,0.0449,3.5,13.140,13.156,12.701,9.068,13.625,13.268,13.159,0.024,0.028,,,0.025,0.028,0.027,458146901351022408,0000,0,00nn,AAUU,84,71,109,70,0.031,46.7554995253427,2.1343215244702
4.945688,J030702.77+464532.8,46.7615441,+46.7591141,0.0886,0.0837,153.1,14.834,15.066,12.591,9.026,15.613,14.913,14.807,0.034,0.082,,,0.065,0.071,0.096,458146901351022736,0000,0,00nn,AAUU,-123,212,183,210,0.143,46.7599191158409,2.4610149977174
2.497030,J030828.95+470713.4,47.1206645,+47.1204104,0.0889,0.0837,128.8,14.930,14.823,12.454,8.845,15.548,15.127,14.951,0.036,0.064,,,0.048,0.072,0.092,480146901351038275,0000,0,00nn,AAUU,156,228,56,236,0.381,47.1210519401204,2.4198524592236
2.302428,J030743.07+465542.2,46.9294951,+46.9283943,0.2458,0.2197,127.2,16.533,17.403,12.045,8.979,,,,0.075,0.527,0.320,,,,,480146901351036520,0000,0,1nnn,ACBU,-1725,909,2388,945,,46.9286173743475,2.8088618598386
1.599467,J030828.95+470713.4,47.1206645,+47.1204104,0.0889,0.0837,128.8,14.930,14.823,12.454,8.845,15.548,15.127,14.951,0.036,0.064,,,0.048,0.072,0.092,480146901351038275,0000,0,00nn,AAUU,156,228,56,236,0.381,47.1201430092167,2.7333846371423
3.880722,J030403.95+460106.0,46.0164989,+46.0183578,0.0872,0.0826,117.9,14.900,15.073,12.586,8.990,15.877,15.167,14.993,0.034,0.076,,,0.072,0.086,0.107,468145401351058750,0000,0,00nn,AAUU,150,221,540,231,0.218,46.0175932978235,2.5844491288968
1.894859,J030407.50+460149.5,46.0312880,+46.0304198,0.0641,0.0620,144.4,14.233,14.182,12.589,9.070,15.452,14.855,14.679,0.028,0.045,,,0.055,0.075,0.087,468145401351058581,0000,0,00nn,AAUU,41,132,-72,134,0.658,46.0305555293889,2.648418383052
4.894037,J030110.05+451733.3,45.2918776,+45.2925837,0.0761,0.0730,147.5,14.660,14.596,12.271,8.948,15.506,15.131,15.175,0.032,0.055,,,0.064,0.087,0.146,447145401351026119,0000,0,00nn,AAUU,102,176,93,177,0.346,45.2912888792701,2.3704051536125
0.753820,J030733.96+465329.5,46.8915319,+46.8915527,0.7151,0.6503,122.9,17.689,17.310,12.661,9.133,,,,0.219,,,,,,,458146901351026623,0h00,0,nnnn,BUUU,659,2558,501,2662,,46.8917186949746,2.8566142278673
4.657952,J030410.37+460243.1,46.0432450,+46.0453330,0.2186,0.1987,124.2,16.401,16.175,12.139,8.988,,,,0.139,0.201,,,,,,468145401351059278,0000,0,1nnn,BBUU,549,773,1174,808,,46.0442380489358,3.2547981252732
2.901947,J030518.05+461927.0,46.3252113,+46.3241828,0.1494,0.1396,125.8,15.733,16.197,12.685,8.985,16.304,15.559,15.764,0.050,0.188,,,0.098,0.102,0.194,458146901351003413,0000,0,0nnn,ABUU,-175,448,-213,465,0.481,46.3240580692443,3.1858234936825
4.499658,J025446.72+434134.0,43.6946903,+43.6927950,0.0444,0.0430,32.8,12.715,12.759,12.104,9.208,13.147,12.850,12.797,0.082,0.026,,,0.026,0.031,0.027,436143901351017697,0000,0,11nn,AAUU,-16,59,81,62,0.103,43.6929809360016,1.5736055240908
4.717585,J025424.02+433607.6,43.6001048,+43.6021295,0.6789,0.6009,123.9,17.685,16.526,12.047,9.004,,,,0.215,,,,,,,436143901351019098,0000,0,nnnn,BUUU,696,3034,-670,3188,,43.6009842248227,1.6519276815707
4.779894,J025518.69+434938.7,43.8278906,+43.8274191,0.0631,0.0617,131.1,14.101,13.977,12.119,9.018,15.179,14.459,14.369,0.029,0.039,0.315,,0.047,0.061,0.078,436143901351030175,0000,0,00nn,AABU,173,126,76,129,0.153,43.8286337949205,1.6445966126553
1.459747,J025531.18+435249.9,43.8799458,+43.8805305,0.2833,0.2612,122.6,16.594,17.283,12.427,8.987,16.767,16.167,16.281,0.091,0.536,,,0.143,0.223,,436143901351031965,0000,0,0nnn,ACUU,-664,1002,1018,1054,0.872,43.8801537143546,2.0293912609189
3.638272,J025329.57+432228.5,43.3732105,+43.3745975,0.1037,0.0968,121.2,15.298,15.261,12.388,9.125,,,,0.039,0.090,,,,,,436143901351008128,0000,0,01nn,AAUU,-248,300,175,314,,43.3736351356881,1.7007007269389
3.647760,J025225.98+430630.5,43.1082681,+43.1084821,0.1779,0.1652,122.8,16.139,16.330,12.568,8.538,17.045,16.178,15.747,0.058,0.224,,,0.206,0.222,0.225,424142401351052834,0000,0,0nnn,ABUU,-565,621,-290,648,0.535,43.1075957179364,1.8345847424774
4.799716,J025409.27+433214.2,43.5386561,+43.5372804,0.5197,0.4688,120.9,17.388,17.048,12.670,8.594,,,,0.164,0.400,,,,,,436143901351018740,0000,0,nnnn,BCUU,2893,2076,145,2163,,43.5368953320183,1.9537325307248
3.530692,J025515.95+434855.7,43.8164685,+43.8154967,0.3407,0.3071,111.9,16.825,16.958,12.639,8.895,,,,0.109,0.393,,,,,,436143901351031263,0000,0,nnnn,ACUU,-248,1215,-11,1296,,43.8164774095869,2.1230517976872
3.024178,J025427.79+433658.9,43.6157959,+43.6163674,0.0937,0.0890,142.5,15.025,14.907,12.392,8.525,,,,0.037,0.067,,,,,,436143901351017924,0000,0,00nn,AAUU,-87,246,-348,252,,43.6155469113906,2.1110918164153
3.945937,J025719.82+442002.2,44.3326064,+44.3339689,0.1244,0.1120,114.8,15.494,15.682,12.577,8.697,16.443,15.877,15.683,0.044,0.136,,,0.114,0.182,,436143901351045871,0000,0,0nnn,ABUU,-343,358,178,385,0.100,44.3328919823799,1.8590891116207
2.816335,J025744.53+442603.2,44.4355457,+44.4342379,0.5052,0.4571,125.4,17.404,16.692,12.190,9.113,,,,0.155,,,,,,,436143901351052258,0000,0,nnnn,BUUU,-3430,2005,1822,2097,,44.4345284487903,2.0468287825784
1.788061,J025653.53+441321.0,44.2230724,+44.2225037,0.3504,0.3066,118.2,16.911,16.619,12.244,8.910,,,,0.113,0.270,,,,,,436143901351046322,0000,0,nnnn,BBUU,1545,1302,1014,1385,,44.2229974954054,2.1917011993758
2.861093,J025544.29+435603.9,43.9345629,+43.9344295,0.4539,0.4100,124.4,17.203,16.978,12.648,8.883,,,,0.139,,,,,,,436143901351028509,0000,0,nnnn,BUUU,2958,1767,3358,1799,,43.9338332671359,2.5698641985669
3.147126,J025017.78+423423.5,42.5741160,+42.5732165,0.1983,0.1811,120.9,16.227,16.124,12.508,9.012,,,,0.066,0.173,,,,,,424142401351043579,0000,0,0nnn,ABUU,863,656,-418,687,,42.5740904980241,2.1166695515611
2.965450,J024937.08+422421.2,42.4045168,+42.4058954,0.1412,0.1304,124.6,15.709,15.649,11.839,8.843,16.241,16.019,16.092,0.049,0.123,,,0.122,,,424142401351030821,0000,0,0nnn,ABUU,15,450,-358,469,0.651,42.405337234001,2.5320509254957
4.362771,J025119.39+424945.3,42.8308060,+42.8292671,0.0372,0.0335,0.3,9.439,9.545,9.412,8.517,10.179,9.636,9.526,0.022,0.020,0.038,,0.022,0.029,0.024,424142401351044633,0000,0,111n,AAAU,73,37,32,35,0.160,42.8291600254428,2.7950203402311
3.235260,J025448.86+434213.7,43.7036074,+43.7038176,0.1496,0.1400,119.0,15.851,16.008,12.179,8.933,,,,0.052,0.164,,,,,,436143901351019765,0000,0,0nnn,ABUU,-37,468,634,487,,43.7030240366814,2.6061659639236
3.614382,J025450.94+434242.2,43.7122841,+43.7117271,0.3918,0.3501,118.3,17.170,16.175,12.679,8.844,,,,0.141,0.184,,,,,,436143901351019223,0000,0,nnnn,BBUU,1461,1458,502,1544,,43.7111487237574,2.7464891344321
4.296281,J025417.58+433429.5,43.5732867,+43.5748779,0.2891,0.2651,121.3,16.697,16.919,12.418,8.739,,,,0.091,0.360,,,,,,436143901351018824,0000,0,1nnn,ACUU,-718,1038,1448,1078,,43.5737281735535,2.8571022486053
4.083655,J025536.67+435404.1,43.9027982,+43.9011463,0.0995,0.0931,128.2,15.241,15.399,12.221,8.666,15.702,15.456,15.070,0.037,0.092,,,0.067,0.106,0.123,436143901351031154,0000,0,0nnn,AAUU,-38,306,218,318,0.103,43.9012279497249,2.9477624148373
1.215717,J025427.79+433658.9,43.6157959,+43.6163674,0.0937,0.0890,142.5,15.025,14.907,12.392,8.525,,,,0.037,0.067,,,,,,436143901351017924,0000,0,00nn,AAUU,-87,246,-348,252,,43.6161374318639,3.0588693620633
4.134324,J025417.58+433429.5,43.5732867,+43.5748779,0.2891,0.2651,121.3,16.697,16.919,12.418,8.739,,,,0.091,0.360,,,,,,436143901351018824,0000,0,1nnn,ACUU,-718,1038,1448,1078,,43.5748718118077,3.0765514629214
4.157661,J025508.31+434711.1,43.7846286,+43.7864234,0.2009,0.1825,124.2,16.228,16.210,12.242,8.954,,,,0.068,0.190,0.438,,,,,436143901351030846,0000,0,0nnn,ABCU,567,716,565,734,,43.7861974857939,3.2096700418452
