angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,IRS?,TYC,WISEA,Simbad
2.565552,71.9012156698201,-16.9344560909320,0.002,0.002,0,2980492387558410112,71.90180173769,0.0498,-16.93372662439,0.0542,75.5213,0.0795,130.217,0.103,169.425,0.117,0,1.43926e+08,1.99936e+05,5.293017,7.53694e+07,1.52967e+05,5.658400,9.19412e+07,2.05390e+05,4.853144,0.805256,21.72,0.14,19,5867.00,0.0397,0.0275,0.96,0.992,71.9016667,-16.9338889,58 Eri,,04 47 36.40,-16 56 02.0,G1.5V,5920,0.91,90,9.2,,,0.51,13.27,,Y,TYC,WISEA,Simbad
0.654817,72.0215704185591,-80.7792394095046,0.001,0.001,0,4622453093418397952,72.02285341240,0.0262,-80.77906642731,0.0328,15.9272,0.0349,47.749,0.046,40.177,0.059,0,1.18251e+07,6.65008e+03,8.006357,6.60997e+06,1.25731e+04,8.300889,7.30557e+06,1.18598e+04,7.602785,0.698104,,,0,6153.25,0.1355,0.0720,1.18,1.812,72.022375,-80.7791111,HD 32195,,04 48 05.37,-80 46 44.8,F7V,6180,1.12,300,1.1,65,23.56,2.16,61.01,,Y,TYC,WISEA,Simbad
0.338822,72.5550421863627,3.6833319965036,0.002,0.001,90,3233364050307455232,72.55511732114,0.0707,3.68347501419,0.0476,6.3600,0.0752,17.415,0.158,33.217,0.092,1,1.94047e+07,4.58077e+03,7.468600,1.26378e+07,9.89110e+03,7.597213,9.80578e+06,8.58031e+03,7.283215,0.313998,,,0,7684.00,0.7127,0.3935,2.47,19.138,72.5550833,3.6834167,TYC88-1288-1,,04 50 13.22,+03 41 00.3,:A6,7470,1.5,170,6.7,30,216.954,21.12,93.15,a,N,TYC,WISEA,Simbad
0.065604,73.5175359453081,-35.4045176093738,0.001,0.001,0,4824866896260056448,73.51819640040,0.0218,-35.40383966564,0.0273,38.8120,0.0298,125.030,0.041,157.458,0.065,0,2.08567e+07,6.25321e+03,7.390250,1.03193e+07,1.68428e+04,7.817264,1.46053e+07,2.80838e+04,6.850642,0.966622,29.33,0.16,13,5398.00,0.0667,0.0315,0.86,0.565,73.5175417,-35.4045,HD 31392,,04 54 04.21,-35 24 16.2,G9V,5560,0.77,300,0.6,40,34.96,4.11,25.16,,Y,TYC,WISEA,Simbad
1.517710,73.7238712846424,10.1508311758669,0.012,0.008,90,3294429586085336960,73.72404497480,0.3943,10.15028165065,0.1824,29.2087,0.5250,39.709,0.757,-127.632,0.518,1,2.75785e+08,8.59468e+05,4.586939,1.85845e+08,1.76705e+05,4.678512,1.20435e+08,2.55860e+05,4.560041,0.118471,,,0,8720.00,0.1990,0.0990,,,73.7240417,10.1504444,HD 31295,,04 54 53.77,+10 09 01.6,A3V,8630,1.66,200,7.2,60,80.08,1.39,35.66,,Y,TYC,WISEA,Simbad
0.289368,75.6143157382336,7.4610228710818,0.002,0.001,90,3289902690554574464,75.61434076249,0.0518,7.46092051932,0.0363,7.5306,0.0599,5.763,0.127,-23.772,0.084,1,1.09792e+07,6.44187e+03,8.086937,7.27173e+06,1.37758e+04,8.197294,5.46707e+06,9.83425e+03,7.917534,0.279760,,,0,7980.25,0.1735,0.0935,1.47,7.926,75.6143333,7.4609444,HD 32297,b,05 02 27.44,+07 27 39.4,A0V,7610,1.33,130,10.6,70,36.8,98.71,112.36,,Y,TYC,WISEA,Simbad
0.397171,75.6845405216750,60.7171242087512,0.006,0.005,90,285106461755654784,75.68463315654,0.2149,60.71705289055,0.1906,2.8846,0.2494,10.524,0.387,-16.564,0.355,0,2.30790e+06,5.02552e+02,9.780321,1.01756e+06,1.00313e+03,10.332490,1.83250e+06,2.23965e+03,9.104311,1.228179,,,0,4900.29,,,4.88,12.377,75.68475,60.7170833,TYC4079-687-1,,05 02 44.34,+60 43 01.5,:K4,4910,0.7,260,0.5,,,7.19,53.93,a,N,TYC,WISEA,Simbad
0.090279,75.7739398445388,21.5899626864141,0.008,0.005,90,3409207536188836352,75.77425582871,0.2608,21.58978478688,0.2107,18.4194,0.2940,68.241,0.484,-41.319,0.354,1,2.83957e+08,9.46052e+05,4.555233,1.86188e+08,1.58027e+05,4.676510,1.31431e+08,7.48626e+05,4.465175,0.211335,,,0,7985.75,0.5405,0.2700,3.06,34.286,75.7739583,21.5899444,iot Tau,,05 03 05.75,+21 35 23.8,A7V,7960,2.89,160,16.6,,,0.3,52.96,,Y,TYC,WISEA,Simbad
0.589595,76.2146399372893,-8.2949479921076,0.001,0.001,90,3183723917812282368,76.21464862998,0.0338,-8.29519086492,0.0336,6.9324,0.0391,1.998,0.067,-56.409,0.061,1,6.71453e+06,1.59540e+03,8.620827,3.78854e+06,3.77790e+03,8.905210,4.14164e+06,3.53119e+03,8.218988,0.686221,4.95,0.30,5,6184.50,,,2.03,5.428,76.214625,-8.2951111,TYC5323-272-1,,05 04 51.51,-08 17 42.4,:F7,6300,1.18,220,2.2,50,43.62,53.83,86.47,a,N,TYC,WISEA,Simbad
1.345719,76.3777340759685,-57.4727024810564,0.005,0.004,0,4763906879239461632,76.37747671785,0.1380,-57.47219693800,0.1468,86.0239,0.1516,-32.140,0.276,117.417,0.310,1,2.95499e+08,6.74572e+05,4.511976,1.58634e+08,3.71568e+05,4.850398,1.71552e+08,1.24023e+06,4.175932,0.674466,-1.15,0.22,15,6227.00,0.0300,0.0130,1.07,1.550,76.377625,-57.4723333,zet Dor,,05 05 30.63,-57 28 20.4,F9V,6170,1.05,130,5.5,,,0.15,11.64,,Y,TYC,WISEA,Simbad
1.493347,76.7861194171454,-17.2999185156939,0.001,0.001,0,2982801155818453376,76.78614639045,0.0186,-17.30062051357,0.0236,18.5591,0.0314,5.981,0.041,-163.045,0.047,1,3.23646e+07,6.07809e+03,6.913191,1.84933e+07,1.61406e+04,7.183851,1.93876e+07,3.33823e+04,6.543109,0.640742,-11.33,0.15,27,6371.67,0.5925,0.2080,1.57,3.639,76.786125,-17.3003333,HD 33081,,05 07 08.67,-17 18 01.2,F7V,6330,1.46,250,2.1,45,67.29,0.92,50.6,,Y,TYC,WISEA,Simbad
7.831718,76.7853546861206,-17.3023806883824,0.005,0.003,90,2982801121457044224,76.78538939209,0.1525,-17.30243871759,0.1061,1.1497,0.1918,7.696,0.293,-13.478,0.209,1,1.93405e+03,1.10871e+01,17.472195,2.70746e+03,1.48901e+02,16.769985,3.78085e+03,1.48714e+02,15.817947,0.952038,,,0,,,,,,76.786125,-17.3003333,HD 33081,,05 07 08.67,-17 18 01.2,F7V,6330,1.46,250,2.1,45,67.29,0.92,50.6,,Y,TYC,WISEA,Simbad
0.718537,76.9516634327364,20.4183779777499,0.004,0.003,90,3408814357702682368,76.95145251144,0.1362,20.41823845150,0.1095,16.1368,0.1728,-45.910,0.263,-32.406,0.190,0,1.48830e+08,3.45941e+05,5.256637,1.01591e+08,2.92445e+05,5.334246,6.65520e+07,3.83745e+05,5.204017,0.130229,,,0,8741.75,0.1748,0.0707,,,76.9515,20.41825,l Tau,,05 07 48.36,+20 25 05.7,A5IV,8370,2.12,140,17.7,,,0.3,58.1,,Y,TYC,WISEA,Simbad
2.304780,77.9435373941039,4.4035443777659,0.002,0.001,90,3238810137558836352,77.94432192333,0.0486,4.40294450368,0.0446,33.7189,0.0610,181.675,0.097,-139.325,0.082,0,3.43620e+07,8.76035e+03,6.848170,1.87075e+07,3.40541e+04,7.171349,2.19421e+07,8.79012e+04,6.408726,0.762623,5.58,0.16,10,5977.67,0.0427,0.0210,1.01,1.182,77.9439167,4.4030278,HD 33636,,05 11 46.54,+04 24 10.9,G0V,5940,0.95,250,1.2,55,25.94,0.97,28.36,,Y,TYC,WISEA,Simbad
0.169796,78.9329192682799,-22.8943569961295,0.001,0.001,0,2961556048549735552,78.93285278501,0.0205,-22.89433017348,0.0277,12.1885,0.0374,-14.225,0.046,6.230,0.053,0,3.84036e+07,1.03335e+04,6.727437,2.60020e+07,2.49787e+04,6.813873,1.79654e+07,2.77586e+04,6.625827,0.188046,,,0,8333.33,0.2050,0.1030,,,78.932875,-22.8943333,HD 34324,,05 15 43.89,-22 53 39.6,A3V,8040,1.48,190,6.1,55,73.85,3.33,74.57,,Y,TYC,WISEA,Simbad
0.413959,80.1585346043787,-39.7549428380119,0.001,0.001,0,4819441459212276864,80.15875117314,0.0251,-39.75488727568,0.0333,20.9805,0.0322,38.670,0.056,12.905,0.073,0,2.38140e+07,1.52495e+04,7.246285,1.34883e+07,3.08274e+04,7.526494,1.44590e+07,4.39703e+04,6.861573,0.664921,,,0,6229.50,0.1520,0.0730,1.24,2.100,80.1586667,-39.7548889,AS Col,,05 20 38.08,-39 45 17.6,F6V,6250,1.22,110,9.2,,,0.65,48.3,,Y,TYC,WISEA,Simbad
0.675364,80.8660081056048,57.5443990020771,0.003,0.003,90,280036987300512256,80.86613162623,0.1158,57.54416457645,0.0978,9.3655,0.1506,15.396,0.190,-54.447,0.182,1,1.57513e+08,2.37445e+05,5.195073,1.11560e+08,1.71370e+05,5.232619,6.66222e+07,3.60813e+05,5.202872,0.029747,,,0,9320.00,0.5330,0.2580,,,80.866125,57.5442222,16 Cam,,05 23 27.87,+57 32 39.2,A0Vne,9460,3.16,500,2.6,50,263.14,2.55,103.09,,Y,TYC,WISEA,Simbad
0.866830,80.9306748431408,-68.1710099281971,0.001,0.001,90,4658542604142898816,80.93070232276,0.0331,-68.17135195464,0.0370,10.1011,0.0364,2.373,0.069,-79.438,0.068,0,8.31123e+05,2.71427e+02,10.889202,3.68387e+05,3.41896e+02,11.435629,6.56212e+05,5.10427e+02,10.219309,1.216320,-7.21,1.43,3,4875.77,0.4220,0.2057,0.85,0.366,80.930625,-68.17125,TYC9162-586-1,,05 23 43.35,-68 10 16.5,:K4,4850,0.69,230,0.7,,,7.77,76.88,a,N,TYC,WISEA,Simbad
3.408610,80.9331548672720,-68.1711423108257,0.005,0.003,0,4658542604120485376,80.93332558856,0.1093,-68.17106845337,0.1880,0.4982,0.1609,14.744,0.193,17.154,0.322,0,1.67824e+03,6.32770e+00,17.626230,1.81883e+03,2.82021e+02,17.201910,2.73927e+03,6.32909e+01,16.167833,1.034077,,,0,,,,,,80.930625,-68.17125,TYC9162-586-1,,05 23 43.35,-68 10 16.5,:K4,4850,0.69,230,0.7,,,7.77,76.88,a,N,TYC,WISEA,Simbad
5.368165,80.9284403329060,-68.1699995485391,0.009,0.008,0,4658542604142898176,80.92847506743,0.2723,-68.16999442426,0.3277,1.3768,0.3655,3.000,0.510,1.190,0.608,1,6.12641e+02,3.40968e+00,18.720350,7.11381e+02,4.37964e+01,18.221132,7.60454e+02,2.67919e+01,17.559237,0.661896,,,0,,,,,,80.930625,-68.17125,TYC9162-586-1,,05 23 43.35,-68 10 16.5,:K4,4850,0.69,230,0.7,,,7.77,76.88,a,N,TYC,WISEA,Simbad
0.192924,81.6524455294162,-22.4899259886289,0.001,0.000,0,2958833623399371392,81.65253506547,0.0137,-22.48994361421,0.0212,9.6454,0.0282,19.214,0.030,-4.094,0.049,1,5.68526e+06,1.18701e+03,8.801490,3.30054e+06,2.63752e+03,9.054925,3.40347e+06,3.11737e+03,8.432115,0.622810,25.45,0.45,12,6305.40,0.0967,0.0570,1.29,2.368,81.6525,-22.4899444,HD 35841,b,05 26 36.60,-22 29 23.8,F3V,6470,1.22,70,24.3,,,17.07,104.0,a,Y,TYC,WISEA,Simbad
8.522659,81.6545235160026,-22.4913966952897,0.001,0.001,0,2958833657759109504,81.65458107985,0.0158,-22.49136753220,0.0232,0.6648,0.0336,12.353,0.034,6.773,0.055,0,1.48469e+04,7.27868e+00,15.259278,7.73296e+03,2.13717e+01,15.630524,1.07330e+04,3.80280e+01,14.685114,0.945410,,,0,5211.89,0.6090,0.3020,1.46,1.408,81.6525,-22.4899444,HD 35841,b,05 26 36.60,-22 29 23.8,F3V,6470,1.22,70,24.3,,,17.07,104.0,a,Y,TYC,WISEA,Simbad
0.348697,81.7698465381619,-11.9009628298519,0.001,0.001,0,3009908378049913216,81.76992160203,0.0227,-11.90117515710,0.0245,37.2061,0.0259,17.059,0.044,-49.315,0.048,0,6.35323e+07,4.74826e+04,6.180879,3.46853e+07,9.92097e+04,6.501023,4.00780e+07,7.99959e+04,5.754654,0.746369,20.61,0.51,36,6080.00,,,1.21,1.788,81.769875,-11.9010556,AF Lep,,05 27 04.77,-11 54 03.8,F8V,6130,1.18,300,1.1,75,18.45,1.5,27.04,,Y,TYC,WISEA,Simbad
0.153773,83.2732894208791,-1.7209886907185,0.001,0.001,90,3217181021556478208,83.27328942088,0.6999,-1.72098869072,0.6901,,,,,,,0,5.68934e+06,6.76105e+04,8.800712,4.70485e+06,3.72009e+04,8.670023,2.90634e+06,2.11163e+04,8.603554,0.066469,,,0,9136.50,,,,,83.27325,-1.7209722,HD 290609,,05 33 05.58,-01 43 15.5,:A0,9550,0.16,400,0.2,115,2.72,7.74,23.85,,Y,TYC,WISEA,Simbad
0.276379,83.3502864554004,-39.4512936248845,0.001,0.001,0,4808768293682969728,83.35024380189,0.0210,-39.45122248687,0.0233,6.6619,0.0247,-7.650,0.040,16.522,0.045,0,5.15470e+06,1.17143e+03,8.907858,3.14695e+06,4.78994e+03,9.106665,2.88331e+06,3.42740e+03,8.612190,0.494474,16.51,0.57,6,7103.73,0.2300,0.0810,1.40,4.519,83.35025,-39.4512222,HD 36968,,05 33 24.06,-39 27 04.4,F2V,6880,1.44,200,3.9,55,52.63,17.77,145.92,a,Y,TYC,WISEA,Simbad
0.531665,83.3781617203023,24.6288143154528,0.002,0.001,90,3416768877653289216,83.37819677610,0.0571,24.62863558587,0.0558,9.8671,0.0712,7.401,0.098,-41.511,0.081,0,3.12884e+07,1.19155e+04,6.949908,2.21578e+07,3.54257e+04,6.987574,1.35263e+07,2.75031e+04,6.933974,0.053600,,,0,9294.50,0.0425,0.0200,,,83.3781667,24.6286667,TYC1852-1694-1,,05 33 30.76,+24 37 43.2,:A1,8730,1.81,220,6.6,120,22.35,89.01,113.89,,N,TYC,WISEA,Simbad
6.344435,83.3785750315890,24.6269438904936,0.005,0.004,90,3416768877651913344,83.37857424095,0.1558,24.62691010334,0.1951,1.3206,0.2884,-0.167,0.342,-7.847,0.255,0,2.39564e+03,2.17914e+01,17.239813,6.22603e+03,9.37444e+02,15.865860,4.78857e+03,3.93184e+02,15.561405,0.304455,,,0,,,,,,83.3781667,24.6286667,TYC1852-1694-1,,05 33 30.76,+24 37 43.2,:A1,8730,1.81,220,6.6,120,22.35,89.01,113.89,,N,TYC,WISEA,Simbad
0.198303,84.0428973638030,-28.7080133339339,0.001,0.001,0,2907397747897070336,84.04302168574,0.0275,-28.70802660551,0.0359,16.9788,0.0443,25.325,0.054,-3.082,0.073,0,6.10213e+07,2.10601e+04,6.224663,4.09532e+07,7.00944e+04,6.320668,2.89840e+07,5.57225e+04,6.106526,0.214142,,,0,7985.67,0.1590,0.0702,1.54,8.671,84.0429583,-28.708,HR 1915,,05 36 10.31,-28 42 28.8,A2III-IV,7980,1.35,200,5.0,,,1.2,52.79,,Y,TYC,WISEA,Simbad
0.062100,84.2865509875372,-11.7755146593594,0.002,0.002,90,3010113299530081664,84.28663956077,0.0610,-11.77561465313,0.0615,14.1920,0.0794,20.139,0.133,-23.224,0.117,0,6.97679e+07,4.05306e+04,6.079227,4.94008e+07,9.65975e+04,6.117053,3.02207e+07,5.56324e+04,6.061160,0.055893,,,0,9138.00,0.0710,0.0363,,,84.2865417,-11.7755,HD 37306,,05 37 08.77,-11 46 31.8,A1V,8750,1.48,400,1.6,100,26.53,1.85,62.89,,Y,TYC,WISEA,Simbad
9.637589,84.2877191599866,-11.7730837582127,0.005,0.005,90,3010113299530151808,84.28771445298,0.1851,-11.77306307867,0.1769,-0.5855,0.2390,-1.070,0.342,4.803,0.306,0,1.63751e+03,1.51646e+01,17.652906,2.34140e+03,1.55324e+02,16.927696,1.92063e+03,5.73123e+01,16.553308,0.374388,,,0,,,,,,84.2865417,-11.7755,HD 37306,,05 37 08.77,-11 46 31.8,A1V,8750,1.48,400,1.6,100,26.53,1.85,62.89,,Y,TYC,WISEA,Simbad
0.305136,84.4151127564463,-28.6262933119834,0.001,0.001,0,2907308172059100544,84.41523087392,0.0159,-28.62630665795,0.0206,16.9165,0.0238,24.080,0.034,-3.100,0.041,0,2.59825e+07,5.22749e+03,7.151664,1.53774e+07,2.40776e+04,7.384182,1.49304e+07,4.46088e+04,6.826745,0.557437,26.05,0.45,19,6695.00,0.0880,0.0417,1.39,3.512,84.4152083,-28.6263056,HD 37484,,05 37 39.65,-28 37 34.7,F4V,6610,1.34,190,3.7,75,24.33,6.08,56.78,,Y,TYC,WISEA,Simbad
0.040421,84.8127457344452,-2.5271214880836,0.001,0.001,90,3216488780204423808,84.81275037057,0.0492,-2.52712305048,0.0527,2.4520,0.0634,1.076,0.094,-0.363,0.090,0,8.10512e+06,1.00907e+04,8.416467,5.23881e+06,2.08511e+04,8.553307,4.11424e+06,1.15840e+04,8.226195,0.327111,,,0,7520.79,1.0880,0.5480,4.30,53.255,84.81275,-2.5271111,HD 37564,,05 39 15.06,-02 31 37.6,A8V,7300,1.48,600,0.5,130,10.93,19.35,133.35,a,Y,TYC,WISEA,Simbad
0.202757,85.8373177657609,-20.1892886732257,0.001,0.001,0,2966779995793890560,85.83738695311,0.0253,-20.18930869958,0.0397,9.0115,0.0414,15.082,0.061,-4.651,0.081,1,8.54986e+06,2.79166e+03,8.358468,5.12760e+06,4.63907e+03,8.576604,4.88237e+06,4.52565e+03,8.040342,0.536262,26.14,0.87,13,6670.28,0.2100,0.1210,1.51,4.073,85.837375,-20.1893056,HD 38207,,05 43 20.97,-20 11 21.5,F2V,6760,1.35,200,3.6,55,47.72,14.78,103.0,a,Y,TYC,WISEA,Simbad
0.286715,85.8402955780285,-18.5574740370772,0.002,0.002,0,2967287596507432704,85.84038347878,0.0439,-18.55753325979,0.0618,14.0044,0.0712,19.354,0.108,-13.755,0.129,0,9.76654e+07,6.07215e+04,5.714014,7.14001e+07,7.27337e+04,5.717141,3.98428e+07,1.48074e+05,5.761046,-0.043905,,,0,9607.50,0.0290,0.0143,,,85.840375,-18.5575,HR 1975,,05 43 21.69,-18 33 27.0,A0V,9800,1.82,230,7.6,70,83.07,2.94,75.07,,Y,TYC,WISEA,Simbad
1.591360,86.6454707903515,1.1681979280032,0.002,0.002,90,3219847066672970368,86.64513630752,0.0502,1.16758659365,0.0469,23.5819,0.0587,-77.670,0.100,-141.987,0.100,0,9.59558e+07,7.19578e+04,5.733188,4.82749e+07,1.16377e+05,6.142084,6.49721e+07,1.75928e+05,5.230102,0.911982,30.27,0.16,10,5586.00,,,2.81,6.911,86.6453333,1.1677778,HD 38529,,05 46 34.88,+01 10 04.0,G4V,5670,2.41,300,2.0,60,50.22,2.02,39.27,,Y,TYC,WISEA,Simbad
0.543754,86.7389285889758,-14.8219474804032,0.014,0.012,0,2996171698248345984,86.73885884433,0.3367,-14.82195344284,0.3681,45.7171,0.4165,-15.660,0.785,-1.385,0.892,0,7.82875e+08,4.66311e+06,3.454134,4.64046e+08,7.83669e+06,3.684987,3.41026e+08,8.23865e+05,3.429950,0.255036,,,0,7038.50,,,2.57,14.552,86.738875,-14.8218056,zet Lep,,05 46 57.33,-14 49 18.5,A2IV-V,8400,1.75,215,6.2,,,1.29,21.6,,Y,TYC,WISEA,Simbad
1.027093,86.8212165826099,-51.0665035714407,0.011,0.011,90,4792774797545105664,86.82123366090,0.3137,-51.06614803159,0.3417,50.6231,0.3339,2.493,0.684,82.577,0.683,0,6.10150e+08,1.79474e+06,3.724775,3.62808e+08,2.83603e+06,3.952196,2.71460e+08,7.24680e+05,3.677656,0.274540,,,0,7099.50,,,2.01,9.262,86.8212917,-51.0662222,bet Pic,b,05 47 17.11,-51 03 58.4,A6V,8070,1.46,210,5.0,95,24.63,45.23,19.44,,N,TYC,WISEA,Simbad
2.508633,87.1455839388218,-4.0946443137240,0.002,0.002,90,3023711269067191296,87.14584956819,0.0556,-4.09563224285,0.0540,65.5534,0.0621,61.537,0.113,-229.454,0.111,0,9.08710e+07,7.23818e+04,5.792302,4.76903e+07,1.92787e+05,6.155313,5.96365e+07,1.09265e+05,5.323141,0.832172,31.61,0.19,8,5717.00,0.0595,0.0315,0.93,0.838,87.145875,-4.0952778,HD 38858,,05 48 35.01,-04 05 43.0,G2V,6100,0.77,65,15.0,,,0.91,15.17,,Y,TYC,WISEA,Simbad
0.559186,88.5176708141349,-60.0234699299580,0.001,0.001,90,4758877919212831104,88.51721907224,0.0313,-60.02372891634,0.0320,77.2727,0.0276,-52.423,0.065,-60.151,0.060,0,3.45048e+07,8.27033e+03,6.843667,1.53955e+07,3.25103e+04,7.382903,2.63206e+07,5.96848e+04,6.211180,1.171723,31.30,0.16,12,4893.00,0.1300,0.0630,0.71,0.258,88.5174583,-60.0235833,HD 40307,,05 54 04.19,-60 01 24.9,K2.5V,5100,0.63,85,5.3,,,0.21,12.99,,N,TYC,WISEA,Simbad
0.037647,88.6730465879931,44.5020654593497,0.001,0.001,90,196628623630412672,88.67300900284,0.0394,44.50205899080,0.0335,2.7565,0.0381,-6.226,0.075,-1.502,0.061,0,9.12469e+06,5.49103e+03,8.287821,5.06910e+06,8.29254e+03,8.589061,5.65296e+06,1.13332e+04,7.881230,0.707830,,,0,6098.25,,,6.13,46.755,88.6730417,44.5020556,HD 39415,,05 54 41.53,+44 30 07.4,F5V,6170,1.08,240,1.6,,,57.54,66.2,a,N,TYC,WISEA,Simbad
8.651762,88.6725223563031,44.4996810507082,0.004,0.003,90,196628623628652160,88.67252596873,0.1220,44.49967862375,0.1115,0.2122,0.1407,0.598,0.234,-0.564,0.205,0,1.97643e+03,4.36751e+00,17.448662,1.27222e+03,5.86562e+01,17.589985,1.97996e+03,9.26926e+01,16.520279,1.069706,,,0,,,,,,88.6730417,44.5020556,HD 39415,,05 54 41.53,+44 30 07.4,F5V,6170,1.08,240,1.6,,,57.54,66.2,a,N,TYC,WISEA,Simbad
0.047516,89.1012198798120,-14.1677013390588,0.011,0.011,90,2995725777561177472,89.10103859729,0.3358,-14.16710023458,0.3485,68.9277,0.4006,-40.824,0.736,139.612,0.679,1,7.15943e+08,3.83501e+06,3.551169,3.91185e+08,5.06802e+06,3.870432,3.66500e+08,1.10739e+06,3.351735,0.518697,-0.91,1.09,7,6559.67,,,1.87,5.828,89.1012083,-14.1676944,eta Lep,,05 56 24.29,-14 10 03.7,F2V,6950,1.61,125,11.6,,,0.09,14.87,,Y,TYC,WISEA,Simbad
0.169664,89.4691611722304,-34.4761122205340,0.001,0.001,0,2889357751382351872,89.46921625891,0.0269,-34.47618946130,0.0327,11.3254,0.0387,10.547,0.055,-17.940,0.061,1,1.91306e+07,5.69345e+03,7.484042,1.20577e+07,2.13843e+04,7.648227,1.00261e+07,1.46236e+04,7.259086,0.389142,32.59,0.81,13,7391.33,0.2010,0.1058,1.48,5.856,89.4692083,-34.4761389,HD 40540,,05 57 52.61,-34 28 34.1,A8IV,7240,1.38,80,26.3,,,6.47,80.97,,Y,TYC,WISEA,Simbad
7.513430,89.4707794421527,-34.4777754668812,0.013,0.005,0,2889357751381459072,89.47078981525,0.1576,-34.47778409135,0.3887,0.0632,0.3695,1.986,0.349,-2.003,0.825,0,1.60311e+03,1.16357e+01,17.675957,2.45696e+03,1.73787e+02,16.875391,2.23959e+03,2.11466e+02,16.386501,0.488890,,,0,,,,,,89.4692083,-34.4761389,HD 40540,,05 57 52.61,-34 28 34.1,A8IV,7240,1.38,80,26.3,,,6.47,80.97,,Y,TYC,WISEA,Simbad
1.968602,91.1247622055704,44.2604437994143,0.001,0.001,90,961428192989499904,91.12533459712,0.0344,44.25978547028,0.0335,29.3067,0.0364,95.210,0.067,-152.903,0.060,0,4.32010e+07,1.38620e+04,6.599631,2.38093e+07,6.00412e+04,6.909522,2.67553e+07,9.36971e+04,6.193394,0.716128,32.47,0.23,7,6076.67,0.0645,0.0477,1.26,1.960,91.1252083,44.26,HD 40979,,06 04 30.05,+44 15 36.0,:F9,6160,1.16,80,16.1,,,0.14,33.11,,Y,TYC,WISEA,Simbad
0.937024,93.4387315075377,-23.8619357722055,0.001,0.000,0,2913411183149615744,93.43850678207,0.0129,-23.86145828512,0.0213,59.7617,0.0243,-47.733,0.026,110.900,0.042,0,6.37348e+07,2.65581e+04,6.177425,3.28269e+07,6.81914e+04,6.560813,4.27933e+07,7.07961e+04,5.683482,0.877331,21.76,0.14,27,5626.00,0.0880,0.0443,0.89,0.712,93.438625,-23.8616944,HD 43162,,06 13 45.27,-23 51 42.1,G6.5V,5840,0.81,240,1.1,,,0.8,16.72,,N,TYC,WISEA,Simbad
9.001321,93.4390396181885,-23.8592229518632,0.006,0.004,0,2913411183149611392,93.43903275885,0.1347,-23.85919855909,0.1358,1.1350,0.1776,-1.457,0.285,5.665,0.377,0,3.16238e+03,2.42737e+01,16.938332,3.10369e+03,1.76444e+02,16.621693,5.59872e+03,4.07739e+02,15.391699,1.229994,,,0,5095.63,,,,,93.438625,-23.8616944,HD 43162,,06 13 45.27,-23 51 42.1,G6.5V,5840,0.81,240,1.1,,,0.8,16.72,,N,TYC,WISEA,Simbad
0.099240,93.8736393243002,-4.9147179847829,0.002,0.002,90,3020549795181489280,93.87373684901,0.0726,-4.91486461683,0.0742,13.6462,0.0830,22.568,0.160,-34.056,0.136,0,7.55242e+07,6.14011e+04,5.993150,5.28492e+07,1.10719e+05,6.043793,3.30628e+07,6.60562e+04,5.963570,0.080223,,,0,8859.67,0.1570,0.0843,,,93.873625,-4.9146944,HD 43319,,06 15 29.67,-04 54 52.9,A3V,8590,1.66,200,7.1,,,0.17,65.06,,Y,TYC,WISEA,Simbad
4.305177,93.8725946696220,-4.9153078711000,0.006,0.005,0,3020549795181489920,93.87270618109,0.1120,-4.91548116358,0.1337,13.7381,0.0655,25.804,0.299,-40.249,0.370,0,1.58077e+06,3.81029e+03,10.191193,9.20171e+05,2.32753e+04,10.441716,1.24547e+06,1.99857e+04,9.523585,0.918131,,,0,5412.87,0.0330,0.0267,0.66,0.341,93.873625,-4.9146944,HD 43319,,06 15 29.67,-04 54 52.9,A3V,8590,1.66,200,7.1,,,0.17,65.06,,Y,TYC,WISEA,Simbad
9.553076,93.8751068590322,-4.9124894129297,0.002,0.002,90,3020549790886434816,93.87510663646,0.0863,-4.91248841919,0.0920,0.1123,0.0869,-0.052,0.140,0.231,0.123,0,1.03761e+04,3.88317e+01,15.648286,6.02263e+03,3.73139e+02,15.901923,1.11252e+04,6.40634e+02,14.646153,1.255771,,,0,5076.00,,,,,93.873625,-4.9146944,HD 43319,,06 15 29.67,-04 54 52.9,A3V,8590,1.66,200,7.1,,,0.17,65.06,,Y,TYC,WISEA,Simbad
