angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,IRS?,TYC,WISEA,Simbad
0.078460,7.8540916687275,-48.8035210859926,0.004,0.004,0,4975414983273644032,7.85500649617,0.1468,-48.80342948751,0.1516,17.8163,0.2228,139.946,0.241,21.275,0.287,1,2.50876e+08,8.45182e+05,4.689719,1.72245e+08,1.80552e+05,4.761025,1.02487e+08,2.95154e+05,4.735244,0.025781,,,0,9278.50,0.1723,0.0747,,,7.8540833,-48.8035,HD 2834,,00 31 24.98,-48 48 12.6,A1V,8950,2.24,95,46.3,,,0.17,52.96,,Y,TYC,WISEA,Simbad
0.195046,7.9431206753450,54.5222306630827,0.009,0.008,90,418090121095577216,7.94343932516,0.3164,54.52218117823,0.3519,10.6834,0.4524,42.954,0.548,-11.493,0.529,1,2.73565e+08,8.57948e+05,4.595717,1.86973e+08,1.78982e+05,4.671942,9.86105e+07,4.15886e+05,4.777112,-0.105170,,,0,9172.33,0.2093,0.1060,,,7.9431667,54.5222778,HD 2772,,00 31 46.36,+54 31 20.2,B8V,12230,3.5,400,7.6,35,995.02,2.29,115.74,,N,TYC,WISEA,Simbad
9.853272,7.9411711049570,54.5197979345658,0.001,0.000,0,418090125397552128,7.94117110496,0.2970,54.51979793457,0.9267,,,,,,,0,1.96480e+03,2.34299e+01,17.455069,5.57708e+03,2.52486e+02,15.985372,3.99073e+03,2.01558e+02,15.759290,0.226082,,,0,,,,,,7.9431667,54.5222778,HD 2772,,00 31 46.36,+54 31 20.2,B8V,12230,3.5,400,7.6,35,995.02,2.29,115.74,,N,TYC,WISEA,Simbad
0.936866,8.1829399612556,-63.0314994357808,0.003,0.003,90,4900916679578514048,8.18376042817,0.1142,-63.03171624496,0.1033,21.7856,0.1330,86.419,0.213,-50.355,0.212,1,1.82579e+08,3.58480e+05,5.034740,1.27135e+08,4.39954e+05,5.090726,7.66723e+07,2.23158e+05,5.050324,0.040402,,,0,9278.75,0.0993,0.0640,,,8.1834583,-63.0316111,bet03 Tuc,,00 32 44.03,-63 01 53.8,A0V,9050,1.63,300,3.4,150,13.85,2.73,45.55,,Y,TYC,WISEA,Simbad
1.142768,8.6132143596329,-6.5039035175607,0.002,0.001,90,2526580040189355136,8.61290597396,0.0415,-6.50427108198,0.0331,24.6200,0.0492,-71.164,0.097,-85.369,0.073,1,3.64508e+07,9.20227e+03,6.784097,2.10426e+07,1.77276e+04,7.043639,2.17268e+07,3.06467e+04,6.419428,0.624210,12.86,0.30,30,6371.70,0.0747,0.0390,1.25,2.329,8.613,-6.5041389,HD 3126,,00 34 27.12,-06 30 14.9,F4V,6380,1.23,200,2.9,45,57.84,1.91,40.91,,Y,TYC,WISEA,Simbad
2.811337,9.0077259741874,-5.5707196435100,0.002,0.001,90,2526790940262580864,9.00870386420,0.0407,-5.57118519240,0.0301,22.2664,0.0491,226.049,0.110,-108.127,0.067,0,4.34451e+07,9.46133e+03,6.593513,2.50401e+07,2.25775e+04,6.854799,2.57519e+07,4.25756e+04,6.234897,0.619902,10.16,0.21,17,6373.67,0.3875,0.1995,1.51,3.393,9.0084583,-5.571,HD 3296,,00 36 02.03,-05 34 15.6,:F5,6450,1.46,60,39.2,,,0.23,45.04,,Y,TYC,WISEA,Simbad
0.732403,9.7362631569042,-52.5342744203157,0.001,0.001,0,4924930906883506560,9.73670257211,0.0218,-52.53439157473,0.0208,12.8881,0.0308,62.080,0.041,-27.210,0.044,1,1.07893e+07,2.85457e+03,8.105885,6.25462e+06,6.93610e+03,8.360887,6.43713e+06,7.66710e+03,7.740190,0.620697,8.92,0.33,23,6273.20,0.0695,0.0300,1.34,2.519,9.7365833,-52.5343333,HD 3670,,00 38 56.78,-52 32 03.6,F5V,6440,1.35,290,1.5,55,43.12,6.47,83.12,a,Y,TYC,WISEA,Simbad
0.040850,12.2446145880536,16.9406443364407,0.004,0.003,90,2781872793183604096,12.24460371336,0.1395,16.93978033106,0.1100,43.0469,0.1636,-2.416,0.275,-200.672,0.180,1,2.10363e+08,4.28829e+05,4.880944,1.13350e+08,2.28957e+05,5.215331,1.22683e+08,4.30898e+05,4.539959,0.675372,,,0,6284.00,1.0140,0.5053,1.77,4.401,12.244625,16.9406389,64 Psc,,00 48 58.71,+16 56 26.3,F8V,6570,1.52,300,1.7,,,1.38,23.45,,N,TYC,WISEA,Simbad
0.067204,13.2547298273308,-30.3569148492065,0.001,0.001,90,5031808453624044800,13.25782331754,0.0426,-30.35677740609,0.0255,71.5472,0.0573,619.988,0.061,31.931,0.049,0,3.36531e+07,6.07357e+03,6.870804,1.53266e+07,1.42982e+04,7.387775,2.54757e+07,6.29726e+04,6.246605,1.141170,-13.32,0.14,21,4913.00,0.0160,0.0080,0.75,0.292,13.2547083,-30.3569167,HD 5133,,00 53 01.13,-30 21 24.9,K2.5V,5170,0.66,30,45.7,,,0.11,14.17,,N,TYC,WISEA,Simbad
0.336841,13.6467607110410,19.1884221718805,0.021,0.019,0,2789007592856012416,13.64681854786,0.6233,19.18837231116,0.6994,13.0242,0.7486,12.687,1.201,-11.581,1.330,0,6.25322e+07,1.44678e+06,6.198107,6.45161e+07,1.02235e+06,5.827219,6.89029e+06,2.59299e+06,7.666327,-1.839109,,,0,8868.67,,,,,13.6467917,19.1883333,66 Psc,,00 54 35.23,+19 11 18.0,A1Vn,9340,2.7,250,8.7,35,447.82,2.2,108.1,,Y,TYC,WISEA,Simbad
0.273530,16.1054951596345,31.3077301682396,0.026,0.023,90,313316116192345088,16.10537751505,1.0603,31.30772990496,0.7952,5.0054,1.1957,-23.345,1.662,-0.061,1.481,1,2.39910e+06,1.31821e+03,9.738243,1.15932e+06,2.74302e+03,10.190878,1.77603e+06,2.14360e+03,9.138294,1.052584,-29.99,0.49,5,5123.00,,,,,16.1054167,31.3076944,TYC2278-834-1,,01 04 25.30,+31 18 27.7,:K0,5310,0.78,260,0.7,,,6.19,62.89,a,N,TYC,WISEA,Simbad
0.109580,17.6746034154773,42.9318316147963,0.002,0.002,90,373208954099200768,17.67369856755,0.0638,42.93096974168,0.0529,36.8952,0.0762,-153.870,0.138,-200.178,0.123,0,1.93782e+07,9.30900e+03,7.470085,9.90056e+06,1.97013e+04,7.862238,1.31592e+07,2.55711e+04,6.963846,0.898392,-32.08,0.16,6,5536.00,0.0630,0.0297,0.82,0.573,17.674625,42.9318056,V443 And,,01 10 41.91,+42 55 54.5,G7V,5660,0.78,200,1.4,50,23.32,1.96,27.07,,Y,TYC,WISEA,Simbad
8.473145,17.6776445188590,42.9326131678827,0.025,0.013,0,373208954098765312,17.67765081754,0.6280,42.93259706867,0.8229,1.5861,0.8951,1.071,0.855,-3.739,1.641,0,3.36865e+02,3.02617e+00,19.369724,2.45109e+02,2.78582e+01,19.377989,5.38002e+02,3.22257e+01,17.934960,1.443029,,,0,,,,,,17.674625,42.9318056,V443 And,,01 10 41.91,+42 55 54.5,G7V,5660,0.78,200,1.4,50,23.32,1.96,27.07,,Y,TYC,WISEA,Simbad
1.109925,18.0700722854841,79.6739640133134,0.003,0.002,90,565525976023772288,18.07234418280,0.0996,79.67394244810,0.0810,12.3915,0.0952,94.584,0.209,-5.011,0.156,0,1.11158e+08,1.18002e+05,5.573511,7.91148e+07,1.27455e+05,5.605743,4.76305e+07,1.08957e+05,5.567206,0.038537,,,0,9297.25,0.2950,0.1507,,,18.0717917,79.6739722,HR 333,,01 12 17.23,+79 40 26.3,A3V,8920,2.41,80,69.7,,,1.88,82.84,,N,TYC,WISEA,Simbad
0.028306,18.7963441219758,-45.5316687864624,0.005,0.004,0,4934923028038380032,18.80042699226,0.1554,-45.53089789532,0.1650,65.8894,0.1803,664.276,0.274,179.060,0.304,1,2.34325e+08,6.82540e+05,4.763820,1.23423e+08,1.60252e+05,5.122900,1.39893e+08,3.21371e+05,4.397431,0.725469,11.82,0.15,24,6083.50,0.1892,0.1067,1.31,2.102,18.7963333,-45.5316667,HD 7570,,01 15 11.12,-45 31 54.0,F9VFe,6170,1.19,85,14.5,,,0.08,15.11,,Y,TYC,WISEA,Simbad
1.198332,19.1218865751997,42.9394174103869,0.001,0.001,90,373349657227961472,19.12122598943,0.0304,42.93928190738,0.0299,41.3391,0.0359,-112.320,0.066,-31.472,0.066,0,4.97284e+07,2.13028e+04,6.446854,2.68282e+07,1.12565e+05,6.779908,3.18072e+07,1.66937e+05,6.005606,0.774302,-13.12,0.15,10,5953.00,0.0642,0.0337,1.00,1.139,19.1214583,42.9393056,HD 7590,,01 16 29.15,+42 56 21.5,G0-V,6090,0.9,200,1.9,40,48.87,3.13,23.19,,Y,TYC,WISEA,Simbad
1.901797,20.1344502729432,-11.4677023066807,0.001,0.001,90,2470272812780609280,20.13493985076,0.0343,-11.46829167498,0.0337,28.3029,0.0482,111.438,0.091,-136.885,0.067,0,9.66487e+06,4.61710e+03,8.225375,4.79688e+06,6.42660e+03,8.648990,6.80588e+06,1.23444e+04,7.679710,0.969280,10.38,0.16,30,5301.50,0.0250,0.0125,0.84,0.499,20.1347917,-11.4681111,2MASS J01203226-1128035,,01 20 32.35,-11 28 05.2,G9V,5500,0.75,300,0.5,,,1.96,34.39,,Y,TYC,WISEA,Simbad
1.108926,22.1431679037443,42.2676913580008,0.001,0.001,0,396341196983414272,22.14347394594,0.0401,42.26727098837,0.0378,30.1042,0.0454,52.600,0.074,-97.634,0.090,0,4.62474e+07,1.91595e+04,6.525649,2.62248e+07,5.92006e+04,6.804608,2.80487e+07,1.06003e+05,6.142139,0.662469,8.73,0.44,5,6269.00,0.1005,0.0455,1.19,1.979,22.1434167,42.2674444,HD 8907,,01 28 34.42,+42 16 02.8,:F7,6250,1.23,50,45.0,,,2.85,34.77,,Y,TYC,WISEA,Simbad
0.042747,22.2704039388137,21.7231673760823,0.004,0.003,90,288781167053300480,22.27253604816,0.1030,21.72237619381,0.0900,42.7464,0.1156,460.032,0.240,-183.762,0.205,0,2.02910e+07,1.00163e+04,7.420106,9.00297e+06,2.10393e+04,7.965424,1.56638e+07,3.20598e+04,6.774679,1.190745,,,0,4890.00,0.5730,0.2730,0.98,0.497,22.2704167,21.7231667,EO Psc,,01 29 04.90,+21 43 23.4,K2.5V,4930,0.96,70,11.1,,,0.44,23.73,,Y,TYC,WISEA,Simbad
0.883588,23.6574117771165,-15.6763605867978,0.003,0.002,90,2451838022871837312,23.65783306090,0.0718,-15.67637421510,0.0592,17.5234,0.1001,94.207,0.186,-3.165,0.108,0,1.09198e+08,1.15105e+05,5.592825,7.70624e+07,1.81040e+05,5.634282,4.77510e+07,8.96728e+04,5.564464,0.069819,,,0,9000.00,0.0733,0.0337,,,23.6576667,-15.6763611,49 Cet,,01 34 37.84,-15 40 34.9,A1V,8670,1.77,180,9.6,65,73.64,11.14,59.38,,Y,TYC,WISEA,Simbad
1.944271,24.3977784305249,-6.7604253548158,0.001,0.001,90,2477815222028038272,24.39852312711,0.0402,-6.76084753466,0.0283,41.5902,0.0433,171.758,0.081,-98.054,0.062,0,1.98098e+07,8.11894e+03,7.446167,9.74318e+06,1.98631e+04,7.879636,1.39493e+07,3.46249e+04,6.900542,0.979095,11.26,0.20,11,5303.00,0.0387,0.0225,0.82,0.474,24.39825,-6.7606944,EX Cet,,01 37 35.58,-06 45 38.5,G5V,5440,0.75,200,1.3,60,14.53,1.95,23.95,,Y,TYC,WISEA,Simbad
0.615485,25.1002750695639,-60.9990621490585,0.001,0.001,90,4715896429133940352,25.10081385231,0.0284,-60.99910702685,0.0216,14.0540,0.0294,60.669,0.052,-10.423,0.041,0,1.85723e+07,4.61061e+03,7.516203,1.10643e+07,1.99938e+04,7.741582,1.06053e+07,2.62657e+04,7.198113,0.543469,12.41,0.72,19,6697.75,0.0360,0.0175,1.42,3.638,25.100625,-60.9990833,HD 10472,,01 40 24.15,-60 59 56.7,F2IV/V,6610,1.34,200,3.4,60,37.93,5.47,67.24,,Y,TYC,WISEA,Simbad
2.113796,25.6221453427164,-53.7408308792417,0.002,0.001,90,4912580642524184960,25.62335256689,0.0568,-53.74128518649,0.0535,57.6556,0.0737,165.832,0.099,-105.515,0.097,0,1.35946e+08,1.66455e+05,5.354947,7.40908e+07,1.18641e+05,5.676978,8.28615e+07,1.67854e+05,4.966038,0.710939,27.82,0.15,24,6143.00,0.0605,0.0200,1.11,1.590,25.6230417,-53.7410833,HD 10647,b,01 42 29.53,-53 44 27.9,F9V,6280,1.01,300,1.0,55,30.9,5.8,17.43,,Y,TYC,WISEA,Simbad
0.169828,26.0170480153508,-15.9374818835410,0.020,0.012,90,2452378776434276992,26.00930287667,0.4122,-15.93379865094,0.3505,277.5162,0.5173,-1729.726,1.313,855.493,0.783,1,1.05171e+09,7.22737e+06,3.133622,4.34215e+08,3.59447e+06,3.757126,6.34651e+08,1.93375e+06,2.755582,1.001544,,,0,5375.00,,,0.86,0.559,26.017,-15.9374722,tau Cet,,01 44 04.08,-15 56 14.9,G8.5V,5750,0.68,500,0.2,70,10.69,6.45,3.65,a,N,TYC,WISEA,Simbad
0.914951,26.0950416075995,32.5158780146545,0.001,0.001,0,305415678470300928,26.09536362159,0.0601,32.51558759235,0.0367,14.5573,0.0701,63.066,0.076,-67.453,0.077,0,4.02209e+07,1.48171e+04,6.677236,2.60274e+07,4.13813e+04,6.812811,2.02158e+07,1.62630e+05,6.497693,0.315118,,,0,7752.50,0.3917,0.2000,1.53,7.609,26.09525,32.5156944,HD 10638,,01 44 22.86,+32 30 56.5,:A6,7470,1.62,65,49.8,,,4.58,69.3,,Y,TYC,WISEA,Simbad
1.370455,26.5260975495028,-53.5220355295189,0.003,0.003,0,4912947570170211840,26.52701215408,0.1034,-53.52177780882,0.0988,16.4022,0.1291,126.289,0.195,59.859,0.195,1,1.89145e+08,3.71942e+05,4.996376,1.31940e+08,2.08948e+05,5.050448,7.92040e+07,2.93908e+05,5.015052,0.035397,,,0,9222.00,0.2287,0.1155,,,26.5266667,-53.5218611,HD 10939,,01 46 06.40,-53 31 18.7,A1V,8960,2.3,200,10.7,55,142.07,1.46,62.03,a,Y,TYC,WISEA,Simbad
0.445505,28.5318330426776,-60.9066614284290,0.001,0.001,90,4714247024253568768,28.53193866791,0.0252,-60.90662023305,0.0201,0.7474,0.0236,11.928,0.053,9.568,0.039,0,7.15736e+05,2.95775e+02,11.051484,3.18068e+05,4.77276e+02,11.595087,5.60331e+05,5.24273e+02,10.390808,1.204279,27.67,0.26,8,4885.21,0.0875,0.0555,10.58,57.392,28.5320833,-60.9066389,TYC8850-1468-1,,01 54 07.70,-60 54 23.9,:K2,5040,0.73,185,1.2,,,15.28,92.95,,N,TYC,WISEA,Simbad
4.995840,28.5330895944582,-60.9079375161569,0.003,0.002,0,4714247024252452480,28.53308959446,2.4798,-60.90793751616,2.6032,,,,,,,0,1.74388e+02,6.14731e+00,20.084572,,,,,,,,,,0,,,,,,28.5320833,-60.9066389,TYC8850-1468-1,,01 54 07.70,-60 54 23.9,:K2,5040,0.73,185,1.2,,,15.28,92.95,,N,TYC,WISEA,Simbad
0.447923,28.7097669133363,21.3062397804882,0.002,0.001,0,97294345128598656,28.70994617142,0.0403,21.30614232010,0.0397,8.3341,0.0464,38.789,0.091,-22.636,0.098,0,5.50032e+06,3.02377e+03,8.837396,3.04537e+06,5.38782e+03,9.142287,3.47308e+06,6.23326e+03,8.410132,0.732155,,,0,6039.00,0.5030,0.2690,1.61,3.089,28.709875,21.3061667,BD+20 307,,01 54 50.37,+21 18 22.2,:F9,6110,1.28,410,0.66,,,115.802,96.15,,N,TYC,WISEA,Simbad
8.004242,28.7114554680533,21.3045007507255,0.003,0.003,90,97294340834478208,28.71162756968,0.0758,21.30441218283,0.0674,8.5457,0.0760,37.240,0.217,-20.571,0.178,0,4.71935e+03,9.54568e+00,16.503660,3.87410e+03,4.27778e+01,16.380960,2.14312e+03,5.00194e+01,16.434303,-0.053343,,,0,9552.00,,,,,28.709875,21.3061667,BD+20 307,,01 54 50.37,+21 18 22.2,:F9,6110,1.28,410,0.66,,,115.802,96.15,,N,TYC,WISEA,Simbad
1.105571,29.4540735599589,-21.9014842566697,0.002,0.001,90,5135093346121603712,29.45455414431,0.0353,-21.90170079583,0.0388,24.1479,0.0536,103.563,0.098,-50.293,0.095,0,1.32931e+07,1.04348e+04,7.879300,6.98336e+06,3.46375e+04,8.241226,8.77139e+06,3.82600e+04,7.404249,0.836978,5.82,0.27,15,5826.00,0.0540,0.0193,0.93,0.898,29.454375,-21.9016111,DK Cet,,01 57 49.05,-21 54 05.8,G4V,5800,0.91,350,0.5,35,58.59,3.13,40.89,,Y,TYC,WISEA,Simbad
0.208573,30.7414913122653,33.2841407798433,0.007,0.006,90,328788886199337344,30.74140054328,0.1632,33.28410353206,0.1645,8.9467,0.2151,-17.624,0.440,-8.651,0.373,1,1.19837e+08,2.72671e+05,5.491888,8.44588e+07,5.00373e+05,5.534776,5.29170e+07,5.31506e+05,5.452932,0.081843,,,0,9094.67,0.4450,0.2220,,,30.7415,33.2840833,eps Tri,,02 02 57.96,+33 17 02.7,A2V,8630,3.83,200,16.6,40,415.15,2.05,120.04,,Y,TYC,WISEA,Simbad
4.119239,30.7426663020381,33.2834844066023,0.000,0.000,0,328788890495286144,30.74266630204,0.1394,33.28348440660,0.2024,,,,,,,0,1.61340e+06,5.18842e+03,10.169007,1.19793e+06,4.70616e+04,10.155307,1.22847e+06,3.52669e+04,9.538506,0.616801,,,0,5952.00,,,,,30.7415,33.2840833,eps Tri,,02 02 57.96,+33 17 02.7,A2V,8630,3.83,200,16.6,40,415.15,2.05,120.04,,Y,TYC,WISEA,Simbad
0.978959,31.8588551028421,-59.6794288620998,0.001,0.001,90,4714764481913306496,31.85964471254,0.0242,-59.67950750466,0.0231,21.9250,0.0268,92.583,0.048,-18.265,0.045,0,2.12451e+07,7.47219e+03,7.370221,1.18460e+07,2.21089e+04,7.667459,1.31762e+07,1.99252e+04,6.962447,0.705011,10.68,0.40,18,6140.00,0.0147,0.0077,1.16,1.719,31.859375,-59.6795,HD 13246,,02 07 26.25,-59 40 46.2,F7V,6160,1.1,165,3.5,,,1.98,44.16,,Y,TYC,WISEA,Simbad
0.376497,32.3554501896218,81.2959434424919,0.001,0.001,0,568948068526015104,32.35446564712,0.0465,81.29597218075,0.0409,14.1120,0.0500,-34.605,0.087,6.674,0.090,0,7.41639e+07,3.92653e+04,6.012884,5.05394e+07,9.26557e+04,6.092312,3.44376e+07,8.30829e+04,5.919337,0.172975,,,0,8476.75,0.3490,0.1957,,,32.3550417,81.2960278,HD 12467,,02 09 25.21,+81 17 45.7,A1.5V,8140,1.92,200,7.4,50,118.81,1.66,70.57,,Y,TYC,WISEA,Simbad
0.641416,33.8837872565770,59.2402050170524,0.001,0.001,0,507237428667667584,33.88418964813,0.0277,59.24010297021,0.0364,5.2874,0.0429,47.799,0.080,-23.701,0.094,1,8.72776e+06,2.55122e+03,8.336109,5.39655e+06,6.10902e+03,8.521097,4.79838e+06,4.42688e+03,8.059182,0.461915,,,0,7119.37,1.0640,0.5410,2.29,12.150,33.8840833,59.2401111,TYC3698-2277-1,,02 15 32.18,+59 14 24.4,:F0,6940,1.45,200,4.0,,,3.51,113.1,a,N,TYC,WISEA,Simbad
0.718910,34.3286136003484,33.8471922482999,0.011,0.010,90,326109689896474752,34.32884872576,0.3771,33.84696999909,0.3084,29.4527,0.4052,45.355,0.709,-51.619,0.635,1,5.13575e+08,2.41853e+06,3.911857,3.38335e+08,2.32443e+06,4.028020,2.04996e+08,1.84341e+06,3.982556,0.045465,,,0,8342.67,0.1292,0.0645,,,34.3288333,33.8471111,gam Tri,,02 17 18.92,+33 50 49.6,A1V,8970,2.05,85,53.2,,,0.97,34.43,,N,TYC,WISEA,Simbad
0.928277,34.3530702083794,28.7417807294824,0.001,0.001,90,107774198474602368,34.35349236347,0.0462,28.74147454868,0.0360,25.1565,0.0510,85.969,0.084,-71.113,0.081,0,1.70208e+07,1.25728e+04,7.610915,9.06898e+06,2.42590e+04,7.957493,1.10657e+07,3.21798e+04,7.151976,0.805517,4.68,0.23,7,5847.25,0.0950,0.0482,1.00,1.058,34.3532917,28.7416111,HD 14082B,,02 17 24.79,+28 44 29.8,G2V,5910,0.67,220,1.1,55,18.18,5.74,27.33,,N,TYC,WISEA,Simbad
