angDist,JNAME,ra,dec,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,_RAJ2000,_DEJ2000
0.636515,J030742.86+465543.6,46.928588,+46.928793,1.640,1.403,108,17.604,17.030,11.782,9.126,,,,,,0.207,,,,,458146901241021814,0000,0,nnnn,UUBU,,46.9286173743475,2.8088618598386
1.572469,J030828.95+470713.5,47.120641,+47.120418,0.253,0.233,125,15.014,15.011,12.790,9.219,15.548,15.127,14.951,0.047,0.097,,,0.048,0.072,0.092,480146901241030885,0000,0,00nn,AAUU,0.346,47.1201430092167,2.7333846371423
3.834627,J030403.95+460105.9,46.016478,+46.018324,0.214,0.201,123,14.948,15.038,12.543,8.858,15.877,15.167,14.993,0.040,0.097,,,0.072,0.086,0.107,468145401241047025,0000,0,01nn,AAUU,0.342,46.0175932978235,2.5844491288968
1.872811,J030407.50+460149.5,46.031286,+46.030439,0.151,0.144,143,14.235,14.208,12.804,9.256,15.452,14.855,14.679,0.031,0.055,,,0.055,0.075,0.087,468145401241046796,0000,0,00nn,AAUU,0.660,46.0305555293889,2.648418383052
4.963956,J030110.05+451733.3,45.291896,+45.292600,0.176,0.166,149,14.657,14.624,12.140,8.910,15.506,15.131,15.175,0.034,0.074,,,0.064,0.087,0.146,447145401241021289,0000,0,01nn,AAUU,0.356,45.2912888792701,2.3704051536125
4.791218,J030410.36+460243.2,46.043181,+46.045349,0.698,0.641,127,16.630,15.997,12.181,9.191,,,,0.120,0.218,,,,,,468145401241047589,0000,0,1nnn,BBUU,,46.0442380489358,3.2547981252732
3.111291,J030518.07+461926.6,46.325310,+46.324065,0.499,0.452,121,15.987,16.274,12.796,9.265,16.304,15.559,15.764,0.079,0.306,,,0.098,0.102,0.194,458146901241002996,0000,0,1nnn,ABUU,0.953,46.3240580692443,3.1858234936825
4.487920,J025446.72+434134.1,43.694690,+43.692816,0.096,0.093,25,12.720,12.772,12.607,9.138,13.147,12.850,12.797,0.025,0.029,,,0.026,0.031,0.027,436143901241013495,0000,0,00nn,AAUU,0.078,43.6929809360016,1.5736055240908
4.719032,J025518.69+434938.7,43.827878,+43.827442,0.147,0.141,123,14.144,13.944,12.718,9.221,15.179,14.459,14.369,0.032,0.047,0.529,,0.047,0.061,0.078,436143901241023321,0000,0,00nn,AACU,0.184,43.8286337949205,1.6445966126553
1.035585,J025531.17+435249.3,43.879909,+43.880381,0.991,0.895,121,16.902,16.985,12.690,8.993,16.767,16.167,16.281,0.157,,,,0.143,0.223,,436143901241024255,0000,0,nnnn,BUUU,0.692,43.8801537143546,2.0293912609189
3.605178,J025329.57+432228.5,43.373230,+43.374592,0.275,0.255,120,15.356,15.330,12.319,9.162,,,,0.049,0.128,,,,,,436143901241006211,0000,0,1nnn,ABUU,,43.3736351356881,1.7007007269389
3.722036,J025225.98+430630.6,43.108267,+43.108506,0.572,0.519,118,16.346,16.454,12.582,8.826,17.045,16.178,15.747,0.092,0.321,,,0.206,0.222,0.225,424142401241039382,0000,0,1nnn,ABUU,0.601,43.1075957179364,1.8345847424774
3.006816,J025427.76+433658.9,43.615701,+43.616375,0.272,0.250,126,15.195,15.342,12.759,9.151,,,,0.047,0.142,,,,,,436143901241013926,0000,0,0nnn,ABUU,,43.6155469113906,2.1110918164153
3.985123,J025719.83+442002.3,44.332638,+44.333984,0.376,0.334,121,15.601,15.807,12.060,8.815,16.443,15.877,15.683,0.063,0.226,,,0.114,0.182,,436143901241035378,0000,0,1nnn,ABUU,0.183,44.3328919823799,1.8590891116207
2.139590,J025653.51+441320.6,44.222974,+44.222403,1.145,1.009,115,17.416,16.294,11.820,8.720,,,,0.233,,0.210,,,,,436143901241036151,0000,0,nnnn,BUBU,,44.2229974954054,2.1917011993758
2.939074,J025017.74+423423.8,42.573945,+42.573281,0.671,0.622,114,16.518,16.975,12.823,9.235,,,,0.106,0.539,,,,,,424142401241032115,0000,0,1nnn,ACUU,,42.5740904980241,2.1166695515611
3.145330,J024937.06+422421.2,42.404451,+42.405916,0.431,0.396,119,15.923,15.979,12.342,9.117,16.241,16.019,16.092,0.072,0.233,,,0.122,,,424142401241022620,0000,0,0nnn,ABUU,0.781,42.405337234001,2.5320509254957
4.327885,J025119.38+424945.4,42.830791,+42.829281,0.071,0.065,5,9.441,9.547,9.461,8.890,10.179,9.636,9.526,0.022,0.019,0.033,,0.022,0.029,0.024,424142401241032913,0000,0,220n,AAAU,0.101,42.8291600254428,2.7950203402311
4.014448,J025536.66+435404.1,43.902772,+43.901154,0.265,0.242,122,15.319,15.566,12.262,8.845,15.702,15.456,15.070,0.047,0.141,,,0.067,0.106,0.123,436143901241023568,0000,0,0nnn,ABUU,0.163,43.9012279497249,2.9477624148373
1.421381,J025427.76+433658.9,43.615701,+43.616375,0.272,0.250,126,15.195,15.342,12.759,9.151,,,,0.047,0.142,,,,,,436143901241013926,0000,0,0nnn,ABUU,,43.6161374318639,3.0588693620633
4.127546,J025508.30+434710.5,43.784612,+43.786263,0.854,0.779,123,16.705,16.791,12.140,9.225,,,,0.146,0.474,,,,,,436143901241024180,0000,0,nnnn,BCUU,,43.7861974857939,3.2096700418452
3.923457,J025451.33+434256.7,43.713902,+43.715754,0.220,0.207,121,14.753,14.902,12.510,9.110,15.131,14.841,14.648,0.042,0.089,,,0.040,0.065,0.078,436143901241013720,0000,0,11nn,AAUU,0.216,43.715036227943,3.2399319461994
2.175625,J030407.50+460149.5,46.031286,+46.030439,0.151,0.144,143,14.235,14.208,12.804,9.256,15.452,14.855,14.679,0.031,0.055,,,0.055,0.075,0.087,468145401241046796,0000,0,00nn,AAUU,0.660,46.0304159309177,3.3957089846249
3.298533,J030127.43+452152.1,45.364324,+45.364487,1.246,1.035,131,17.019,16.504,12.719,9.220,,,,0.177,,,,,,,447145401241022572,0000,0,nnnn,BUUU,,45.3636875641717,3.4137951860334
3.739753,J030143.34+452556.6,45.430601,+45.432408,0.092,0.089,169,12.322,12.331,12.101,8.823,12.616,12.448,12.328,0.025,0.026,,,0.022,0.022,0.019,447145401241019166,0000,0,00nn,AAUU,0.096,45.4318451172928,3.4945255888753
1.900491,J030034.46+450834.1,45.143611,+45.142825,0.069,0.064,34,8.312,8.420,8.308,8.291,9.268,8.589,8.389,0.023,0.020,0.022,0.232,0.021,0.018,0.014,447145401241015012,0000,0,110n,AAAB,0.082,45.143307579951,3.5538704236943
