angDist,JNAME,ra,dec,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,_RAJ2000,_DEJ2000
4.158761,J023126.94+375150.9,37.862283,+37.864145,0.118,0.115,164,13.679,13.693,12.636,8.719,14.246,14.020,13.825,0.027,0.040,0.450,,0.030,0.035,0.061,378137801241020291,d000,0,11nn,AACU,0.175,37.8633834330983,8.6519513094146
3.537794,J023223.14+380552.5,38.096439,+38.097939,0.428,0.400,126,15.958,15.962,12.806,8.954,,,,0.071,0.215,,,,,,378137801241031449,0000,0,1nnn,ABUU,,38.0971095986501,8.9273050954721
3.715972,J023527.41+385145.7,38.864227,+38.862713,0.280,0.261,124,15.436,15.410,12.462,8.770,15.929,15.548,15.562,0.049,0.131,0.402,,0.085,0.145,,387139301241003682,0000,0,01nn,ABCU,0.177,38.8629311110351,9.3827181041458
3.752718,J023618.78+390447.6,39.078272,+39.079904,1.253,1.113,112,17.310,16.954,12.708,8.419,,,,0.199,0.541,,,,,,387139301241015607,0000,0,nnnn,BCUU,,39.0790590928326,9.8029489048782
3.822708,J023356.04+382904.3,38.483510,+38.484528,1.355,1.211,122,17.396,16.323,12.697,9.096,,,,0.213,,,,,,,378137801241036956,0000,0,nnnn,BUUU,,38.4848160092634,9.6733423031257
4.906856,J023504.36+384559.0,38.768182,+38.766410,0.085,0.081,18,11.802,11.842,11.542,9.194,12.375,11.949,11.833,0.024,0.023,0.174,,0.023,0.023,0.021,387139301241003352,0000,0,01nn,AABU,0.232,38.7677260400257,9.8643613894246
3.652506,J023450.31+384232.3,38.709638,+38.708988,0.680,0.629,121,16.503,16.399,12.041,9.083,,,,0.108,0.335,,,,,,387139301241004082,0000,0,0nnn,ABUU,,38.7099690520339,10.0483219605252
2.371104,J023458.89+384446.4,38.745401,+38.746242,1.093,0.990,125,17.110,17.113,12.395,9.185,,,,0.169,,,,,,,387139301241004462,0000,0,nnnn,BUUU,,38.7456021757929,10.0772362142314
2.903772,J022920.19+372004.0,37.334150,+37.334445,1.170,1.083,125,17.310,16.717,12.108,9.221,,,,0.207,,,,,,,378137801241006183,0000,0,nnnn,BUUU,,37.3337163014446,9.3894260313024
1.465338,J022741.85+365529.3,36.924413,+36.924832,0.066,0.062,18,8.141,8.212,8.143,8.121,8.610,8.279,8.207,0.022,0.018,0.023,0.204,0.021,0.023,0.013,373136301241039347,ddd0,0,011n,AAAB,0.896,36.9249120847736,9.4863561362846
2.211122,J022756.30+365901.1,36.984597,+36.983657,1.111,1.006,121,17.162,16.387,12.683,8.591,,,,0.179,,0.517,,,,,373136301241041086,0000,0,nnnn,BUCU,,36.9841652053777,9.6944626886338
3.873133,J023231.98+380800.0,38.133281,+38.133354,0.086,0.081,17,11.800,11.892,11.721,9.207,12.536,12.003,11.900,0.024,0.024,0.202,,0.022,0.023,0.022,378137801241030985,0000,0,00nn,AABU,0.038,38.132481013482,9.73976084102
3.233810,J023229.10+380717.9,38.121264,+38.121649,0.366,0.337,131,15.818,15.987,12.822,9.181,15.950,15.707,15.372,0.061,0.211,,,0.084,0.156,,378137801241031376,0000,0,0nnn,ABUU,0.508,38.1208207189847,10.2291856829903
3.345075,J023324.64+382107.8,38.352676,+38.352193,1.181,1.051,121,17.159,16.471,12.753,9.168,,,,0.180,,,,,,,378137801241036844,0000,0,nnnn,BUUU,,38.3516844230449,10.4709370061805
4.098070,J023135.79+375354.8,37.899149,+37.898556,0.485,0.438,132,15.980,16.342,12.655,9.029,,,,0.079,0.326,,,,,,378137801241020691,0000,0,0nnn,ABUU,,37.8996293150648,10.2420623432149
4.298390,J023126.94+375150.9,37.862283,+37.864145,0.118,0.115,164,13.679,13.693,12.636,8.719,14.246,14.020,13.825,0.027,0.040,0.450,,0.030,0.035,0.061,378137801241020291,d000,0,11nn,AACU,0.175,37.8636719623788,10.4126061686748
4.426883,J022018.08+350428.2,35.075366,+35.074515,0.718,0.656,124,16.669,15.961,12.000,8.504,,,,0.122,0.234,,,,,,347134801241030905,0000,0,0nnn,BBUU,,35.0757114530606,8.6383339177108
3.854483,J021915.53+344847.1,34.814727,+34.813109,1.072,0.968,120,16.920,16.582,12.212,9.158,,,,0.164,,,,,,,347134801241021193,0000,0,nnnn,BUUU,,34.8139957681377,9.162772334847
3.248881,J022413.85+360324.9,36.057719,+36.056921,0.110,0.107,171,13.186,13.231,12.533,9.108,13.628,13.268,13.180,0.027,0.034,,,0.023,0.024,0.033,354136301241014449,0000,0,00nn,AAUU,0.130,36.0566532326082,9.4900630644125
4.248741,J022413.85+360324.9,36.057719,+36.056921,0.110,0.107,171,13.186,13.231,12.533,9.108,13.628,13.268,13.180,0.027,0.034,,,0.023,0.024,0.033,354136301241014449,0000,0,00nn,AAUU,0.130,36.0564058521527,9.7094098048181
3.083971,J022333.20+355313.6,35.888363,+35.887138,0.223,0.206,134,15.034,15.155,12.749,9.169,15.604,15.043,15.056,0.040,0.109,,,0.058,0.072,0.136,354136301241012953,0000,0,00nn,AAUU,0.208,35.8873333683261,10.0407270312633
1.056455,J021935.03+345347.1,34.895973,+34.896434,0.280,0.258,128,15.371,15.086,12.602,8.964,,,,0.049,0.109,,,,,,347134801241020756,0000,0,01nn,AAUU,,34.8962725579645,9.5058209900123
3.631169,J022324.46+355102.6,35.851947,+35.850731,0.181,0.165,119,15.281,13.637,10.384,7.580,,,,0.047,0.040,0.077,0.137,,,,354136301241001946,h000,0,001n,AAAB,,35.850702681483,10.1980171871192
3.226819,J022218.99+353443.3,35.579146,+35.578695,0.106,0.099,158,13.126,13.132,12.668,9.044,13.969,13.326,13.229,0.025,0.033,,,0.028,0.032,0.032,347134801241033665,0000,0,01nn,AAUU,0.132,35.5782153406583,10.3641116827323
1.015503,J022042.70+351039.2,35.177940,+35.177569,1.069,0.981,121,17.005,16.523,12.639,9.000,,,,0.177,0.393,,,,,,347134801241031244,0000,0,nnnn,BCUU,,35.1775966639273,10.7808290473057
2.046285,J022729.25+365219.6,36.871881,+36.872117,0.698,0.631,119,16.703,15.761,12.397,8.823,,,,0.123,0.188,0.449,,,,,373136301241040565,0000,0,3nnn,BBCU,,36.8715962678517,10.305555699509
4.477883,J022421.33+360512.9,36.088898,+36.086929,0.124,0.121,123,13.812,13.817,12.010,9.235,14.330,14.066,13.981,0.028,0.043,0.277,,0.028,0.043,0.053,354136301241014485,0000,0,01nn,AABU,0.278,36.0878043110323,10.2345049240008
3.093960,J022552.96+362817.0,36.470697,+36.471394,0.259,0.236,114,15.360,15.153,10.637,8.972,16.833,16.379,15.352,0.050,0.110,0.082,0.485,0.145,0.201,0.183,373136301241024192,0000,0,010n,ABAC,0.584,36.4705433641145,10.5887536146164
2.871597,J022413.85+360324.9,36.057719,+36.056921,0.110,0.107,171,13.186,13.231,12.533,9.108,13.628,13.268,13.180,0.027,0.034,,,0.023,0.024,0.033,354136301241014449,0000,0,00nn,AAUU,0.130,36.0577187903416,10.5082010699261
3.596558,J022348.92+355708.4,35.953874,+35.952350,0.837,0.757,127,16.771,16.393,12.789,8.580,,,,0.132,,,,,,,354136301241013478,0000,0,nnnn,BUUU,,35.953171958011,10.6298231770472
1.403302,J022340.50+355506.1,35.918771,+35.918363,0.465,0.422,121,16.229,15.457,12.132,9.214,,,,0.083,0.138,0.294,0.542,,,,354136301241013183,0000,0,0nnn,ABBC,,35.9187521228432,10.6996438524627
4.860566,J022204.20+353104.5,35.517524,+35.517918,0.942,0.829,118,16.788,16.321,12.452,9.188,,,,0.144,,,,,,,347134801241034354,0000,0,nnnn,BUUU,,35.5167316053311,10.6508418405019
1.325115,J022341.44+355519.7,35.922692,+35.922153,0.857,0.776,126,16.860,16.502,12.088,9.202,,,,0.139,0.352,,,,,,354136301241013447,0000,0,nnnn,BBUU,,35.9222560175713,10.9654046196366
4.098314,J022841.09+371022.7,37.171248,+37.172993,0.820,0.746,119,16.865,16.819,12.399,9.238,,,,0.135,0.445,,,,,,378137801241007628,0000,0,nnnn,BCUU,,37.1725795631406,11.4171836903083
2.146172,J022708.06+364703.0,36.783596,+36.784173,1.319,1.141,119,17.321,16.245,11.966,8.923,,,,0.209,,,,,,,373136301241028996,0000,0,nnnn,BUUU,,36.7843178598424,11.3530645438492
0.912457,J023915.59+394853.2,39.814971,+39.814781,0.850,0.785,119,16.845,16.497,12.413,8.653,,,,0.137,,0.409,,,,,406139301241027717,0000,0,nnnn,BUCU,,39.8146729356495,10.3436983731644
4.742636,J023701.16+391510.7,39.254871,+39.252981,0.165,0.153,134,14.437,14.515,12.497,9.192,15.182,14.806,14.442,0.033,0.071,0.445,,0.047,0.068,0.104,387139301241019643,0000,0,00nn,AACU,0.242,39.2541876934998,10.5035408754736
3.411764,J024006.64+400144.7,40.027669,+40.029089,1.033,0.918,121,17.075,16.908,12.063,9.076,,,,0.163,,,,,,,406139301241043810,0000,0,nnnn,BUUU,,40.0288751073172,10.294779894988
3.247917,J023843.74+394100.4,39.682256,+39.683467,0.453,0.412,120,16.111,15.755,12.564,9.208,,,,0.077,0.186,0.470,,,,,406139301241027276,0000,0,0nnn,ABCU,,39.6834276925811,10.8734437634003
2.353944,J024034.38+400832.0,40.143250,+40.142243,0.128,0.124,118,13.909,13.925,12.290,8.724,14.689,14.189,14.098,0.028,0.047,,,0.039,0.047,0.072,395140801241002127,0000,0,00nn,AAUU,0.161,40.1424313543248,10.9582353834773
2.703269,J023946.07+395626.7,39.941971,+39.940751,0.741,0.669,122,16.648,16.495,12.231,8.788,,,,0.120,0.365,,,,,,406139301241043743,0000,0,2nnn,BCUU,,39.9411114022405,11.2052993851054
4.424417,J023929.21+395212.7,39.871711,+39.870216,0.456,0.418,128,16.068,15.923,12.068,9.074,,,,0.076,0.211,,,,,,406139301241043519,0000,0,0nnn,ABUU,,39.8701146916261,11.1914998228473
4.685697,J023551.75+385803.9,38.965653,+38.967759,0.146,0.140,132,14.128,14.247,12.339,9.094,14.919,14.378,14.320,0.030,0.058,0.382,,0.042,0.051,0.101,387139301241013885,0000,0,00nn,AACU,0.232,38.9670859088098,10.6468748251277
4.896546,J023645.73+391124.4,39.190565,+39.190123,1.034,0.945,122,17.128,16.263,12.412,9.267,,,,0.163,,,,,,,387139301241014997,0000,0,nnnn,BUUU,,39.1913423956997,10.7831736469765
4.419072,J023534.82+385336.4,38.895096,+38.893454,0.434,0.389,123,15.881,16.471,12.587,9.179,16.485,16.384,15.670,0.072,0.357,0.465,,0.140,0.276,,387139301241003882,0000,0,1nnn,ACCU,0.816,38.893521561118,10.7114575558924
4.626936,J023532.67+385315.4,38.886152,+38.887637,0.543,0.502,120,16.120,16.663,12.392,9.115,,,,0.088,0.437,0.386,,,,,387139301241003945,0000,0,1nnn,ACCU,,38.8863626384659,10.8723900810614
1.764484,J023628.13+390704.8,39.117231,+39.118013,0.234,0.218,126,15.203,15.135,12.117,9.159,15.884,15.521,15.086,0.043,0.102,,,0.081,0.123,0.174,387139301241014077,0000,0,00nn,AAUU,0.590,39.1178000219708,10.9580015635584
3.303196,J024405.81+410122.0,41.024219,+41.022788,0.533,0.482,113,16.366,15.668,12.404,8.964,,,,0.091,0.164,,,,,,415140801241023808,0000,0,1nnn,ABUU,,41.0235575339483,11.4604027495482
2.787501,J024402.14+410028.1,41.008929,+41.007828,0.276,0.251,120,15.399,15.401,12.762,9.156,16.310,15.618,15.542,0.049,0.130,,,0.096,0.125,0.190,415140801241023583,0000,0,0nnn,ABUU,0.469,41.0079085427053,11.8241949604567
3.409218,J024318.46+404939.7,40.826957,+40.827702,0.382,0.354,128,15.733,15.905,12.783,9.110,,,,0.064,0.208,,,,,,415140801241025398,0000,0,0nnn,ABUU,,40.8280958618862,11.7970724200697
4.577105,J024736.70+415416.0,41.902927,+41.904454,0.580,0.519,126,16.351,16.548,12.747,9.104,,,,0.092,0.378,,,,,,424142401241006218,0000,0,1nnn,ACUU,,41.9046206931148,11.8828070628359
2.615923,J024749.85+415724.0,41.957741,+41.956678,0.606,0.556,121,16.415,16.343,12.723,9.166,16.991,16.560,15.712,0.098,0.306,,,0.173,0.238,0.211,424142401241012264,0000,0,1nnn,ABUU,0.639,41.9573403998752,11.9611542215319
4.919596,J024506.35+411633.9,41.276493,+41.276092,0.977,0.883,128,16.842,16.262,12.807,9.199,,,,0.151,,,,,,,415140801241029374,0000,0,nnnn,BUUU,,41.2751612814061,11.9128630812921
4.659657,J024528.34+412158.9,41.368104,+41.366366,0.223,0.207,120,15.028,15.085,12.423,8.579,15.389,15.070,15.186,0.041,0.104,,,0.066,0.085,0.144,415140801241039867,0000,0,21nn,AAUU,0.184,41.3676043410007,12.0688076909302
4.639584,J024402.14+410028.1,41.008929,+41.007828,0.276,0.251,120,15.399,15.401,12.762,9.156,16.310,15.618,15.542,0.049,0.130,,,0.096,0.125,0.190,415140801241023583,0000,0,0nnn,ABUU,0.469,41.0073452981622,12.1396658846245
4.172448,J024447.09+411151.9,41.196218,+41.197760,0.837,0.780,126,16.804,16.710,12.769,8.638,,,,0.135,0.424,,,,,,415140801241029364,0000,0,nnnn,BCUU,,41.1966473050511,12.3069316383252
2.539802,J024224.50+403610.9,40.602086,+40.603044,0.480,0.436,123,16.031,16.132,12.778,9.179,,,,0.078,0.265,,,,,,415140801241009509,0000,0,0nnn,ABUU,,40.603014740606,11.9128621576505
3.699394,J023922.87+395037.5,39.845303,+39.843773,0.269,0.246,125,15.321,15.062,12.105,8.899,,,,0.048,0.104,,,,,,406139301241043140,0000,0,01nn,AAUU,,39.8439963999386,12.0154507904431
2.198540,J023848.28+394204.5,39.701204,+39.701269,0.074,0.068,8,10.384,10.414,10.336,9.202,10.742,10.495,10.434,0.022,0.020,0.064,,0.022,0.023,0.016,406139301241026570,0000,0,122n,AAAU,0.084,39.7007620285534,12.0653411881167
2.651083,J024003.87+400056.7,40.016151,+40.015756,0.638,0.578,119,16.570,16.663,12.317,9.072,,,,0.100,0.384,,,,,,406139301241043534,0000,0,1nnn,ACUU,,40.0164544260252,12.1036525125212
3.998462,J023945.33+395626.5,39.938901,+39.940718,0.498,0.445,122,16.392,15.264,11.777,8.718,,,,0.094,0.123,0.234,,,,,406139301241043385,0000,0,01nn,ABBU,,39.940128047823,12.3433551874741
2.844234,J024402.73+410041.1,41.011402,+41.011443,0.922,0.839,120,17.003,16.914,12.567,8.710,,,,0.150,0.506,0.441,,,,,415140801241024124,0000,0,nnnn,BCCU,,41.0120584836142,12.3310899555363
2.122734,J024110.67+401737.0,40.294483,+40.293635,0.633,0.574,122,16.428,16.670,12.749,9.188,,,,0.099,0.420,,,,,,395140801241000720,0000,0,0nnn,ACUU,,40.2941765757922,12.5149419815667
4.131818,J023359.25+382948.3,38.496877,+38.496754,0.278,0.258,113,15.433,15.506,12.775,8.869,,,,0.048,0.144,,,,,,378137801241034433,0000,0,01nn,ABUU,,38.4958991924059,11.3802042774868
3.044041,J023609.82+390230.7,39.040946,+39.041880,0.982,0.914,121,16.989,16.594,12.285,9.101,,,,0.160,,0.382,,,,,387139301241015196,0000,0,nnnn,BUCU,,39.0410377974885,11.8024096601479
4.308923,J023617.12+390420.2,39.071362,+39.072286,0.405,0.365,121,15.921,16.009,12.724,9.063,,,,0.067,0.226,0.517,,,,,387139301241014347,0000,0,1nnn,ABCU,,39.0711056893538,11.8597650719296
3.293811,J023241.29+381014.1,38.172058,+38.170586,0.635,0.584,139,16.430,16.341,12.705,9.105,,,,0.103,0.305,,,,,,378137801241031646,0000,0,1nnn,ABUU,,38.171074023338,11.8852903872392
4.165132,J023324.64+382107.8,38.352676,+38.352193,1.181,1.051,121,17.159,16.471,12.753,9.168,,,,0.180,,,,,,,378137801241036844,0000,0,nnnn,BUUU,,38.3532565664969,12.0826363815143
4.483296,J023521.88+385025.6,38.841198,+38.840467,0.085,0.080,29,11.554,11.630,11.273,8.746,12.089,11.709,11.595,0.024,0.023,0.146,,0.020,0.021,0.019,387139301241003346,0000,0,11nn,AABU,0.098,38.8398267129946,12.3559296188977
1.450420,J022752.84+365814.1,36.970207,+36.970584,0.797,0.713,118,16.862,15.922,11.784,8.538,,,,0.141,0.212,,,,,,373136301241040861,0000,0,nnnn,BBUU,,36.9701817727419,12.1015482643827
4.533777,J023135.79+375354.8,37.899149,+37.898556,0.485,0.438,132,15.980,16.342,12.655,9.029,,,,0.079,0.326,,,,,,378137801241020691,0000,0,0nnn,ABUU,,37.8978377413392,12.4082104937321
3.225503,J022917.79+371921.6,37.324125,+37.322686,0.178,0.163,122,14.795,14.146,10.764,7.730,,,,0.038,0.052,0.090,0.145,,,,378137801241005377,Dd00,0,n11n,AAAB,,37.3232496682795,12.6301128527951
3.433331,J023709.92+391727.2,39.291358,+39.290916,0.794,0.711,120,16.671,16.718,12.243,9.204,,,,0.126,0.443,,,,,,387139301241020292,0000,0,0nnn,BCUU,,39.2903584342723,12.4246925028565
3.866776,J023745.67+392631.3,39.440320,+39.442032,0.706,0.640,124,16.563,16.988,12.512,8.888,,,,0.111,,0.405,,,,,387139301241018522,00PP,0,0nnn,BUCU,,39.4415850359079,12.5659198526754
2.251150,J023849.86+394231.4,39.707773,+39.708732,0.211,0.197,122,14.966,14.903,12.479,9.172,15.750,15.263,14.936,0.039,0.089,,,0.071,0.103,0.147,406139301241026851,d000,0,00nn,AAUU,0.208,39.7085507837408,12.5487256638654
1.182560,J023633.45+390823.5,39.139382,+39.139872,0.163,0.156,126,14.515,14.524,12.735,9.160,14.995,14.622,14.755,0.033,0.067,,,0.045,0.066,0.130,387139301241013961,0000,0,00nn,AAUU,0.146,39.1397928790523,12.4832186333627
3.014442,J023950.59+395733.9,39.960815,+39.959439,0.431,0.393,121,16.095,15.396,12.583,8.960,,,,0.076,0.132,0.530,,,,,406139301241043312,0000,0,00nn,ABCU,,39.9599585219471,12.8184238080325
3.228508,J024006.64+400144.7,40.027669,+40.029089,1.033,0.918,121,17.075,16.908,12.063,9.076,,,,0.163,,,,,,,406139301241043810,0000,0,nnnn,BUUU,,40.0283712559817,13.1268525619038
0.697664,J024144.74+402612.2,40.436457,+40.436742,1.025,0.942,111,17.099,16.480,12.410,9.229,,,,0.173,0.378,0.400,,,,,395140801241017636,0000,0,nnnn,BCCU,,40.4365667529637,13.280832265404
4.285019,J023922.87+395037.5,39.845303,+39.843773,0.269,0.246,125,15.321,15.062,12.105,8.899,,,,0.048,0.104,,,,,,406139301241043140,0000,0,01nn,AAUU,,39.844928119134,13.1233909144565
3.667487,J023950.59+395733.9,39.960815,+39.959439,0.431,0.393,121,16.095,15.396,12.583,8.960,,,,0.076,0.132,0.530,,,,,406139301241043312,0000,0,00nn,ABCU,,39.9604091391184,13.308441839674
3.706208,J024034.38+400832.0,40.143250,+40.142243,0.128,0.124,118,13.909,13.925,12.290,8.724,14.689,14.189,14.098,0.028,0.047,,,0.039,0.047,0.072,395140801241002127,0000,0,00nn,AAUU,0.161,40.1432723934288,13.4254819330031
3.641592,J024110.67+401737.0,40.294483,+40.293635,0.633,0.574,122,16.428,16.670,12.749,9.188,,,,0.099,0.420,,,,,,395140801241000720,0000,0,0nnn,ACUU,,40.293254155228,13.5446656066583
3.726865,J023458.89+384446.4,38.745401,+38.746242,1.093,0.990,125,17.110,17.113,12.395,9.185,,,,0.169,,,,,,,387139301241004462,0000,0,nnnn,BUUU,,38.7452167508809,13.0000116847026
4.510809,J023458.30+384430.5,38.742941,+38.741809,0.547,0.494,124,16.362,16.182,12.576,9.156,16.458,16.228,15.568,0.090,0.246,0.423,,0.135,0.238,,387139301241004010,0000,0,1nnn,ABCU,0.377,38.7414158822592,13.1210285785025
2.088983,J023609.82+390230.7,39.040946,+39.041880,0.982,0.914,121,16.989,16.594,12.285,9.101,,,,0.160,,0.382,,,,,387139301241015196,0000,0,nnnn,BUCU,,39.0416012458404,13.1807188256489
3.090985,J023458.89+384446.4,38.745401,+38.746242,1.093,0.990,125,17.110,17.113,12.395,9.185,,,,0.169,,,,,,,387139301241004462,0000,0,nnnn,BUUU,,38.7464646009555,13.2517732806234
3.447019,J023600.84+390010.4,39.003509,+39.002912,1.023,0.920,117,17.230,16.031,12.074,9.146,,,,0.189,0.238,,,,,,387139301241014933,0000,0,nnnn,BBUU,,39.0038352057034,13.370289646059
3.436313,J023548.35+385700.0,38.951491,+38.950022,0.232,0.218,126,15.099,15.180,11.995,9.180,16.127,15.543,14.729,0.042,0.117,,,0.108,0.137,,387139301241014035,0000,0,00nn,ABUU,0.248,38.9503281225327,13.3876805122323
4.739150,J023418.29+383435.3,38.576225,+38.576497,1.153,1.017,118,16.930,16.600,12.679,9.131,,,,0.184,,,,,,,378137801241035029,0000,0,nnnn,BUUU,,38.5774226634699,13.2769342791418
3.893869,J023247.70+381158.9,38.198754,+38.199719,1.281,1.146,127,17.259,16.229,12.622,9.124,,,,0.209,,0.528,,,,,378137801241031949,0000,0,nnnn,BUCU,,38.1986414416974,13.3500402099973
4.289742,J023955.13+395853.9,39.979747,+39.981645,0.152,0.146,118,14.352,14.284,12.557,8.937,15.234,14.572,14.480,0.032,0.057,,,0.052,0.062,0.106,406139301241042812,0000,0,01nn,AAUU,0.142,39.980708066458,13.828100636032
2.131114,J023849.86+394231.4,39.707773,+39.708732,0.211,0.197,122,14.966,14.903,12.479,9.172,15.750,15.263,14.936,0.039,0.089,,,0.071,0.103,0.147,406139301241026851,d000,0,00nn,AAUU,0.208,39.7083037970909,14.0026265609311
2.132253,J023648.92+391217.2,39.203854,+39.204785,1.295,1.153,117,17.338,16.910,12.304,9.019,,,,0.215,,0.365,,,,,387139301241015431,0000,0,nnnn,BUCU,,39.2045610159282,14.0385977436334
3.520729,J025929.24+445212.6,44.871867,+44.870187,0.428,0.389,114,15.735,16.395,12.430,9.022,16.118,15.687,15.396,0.069,0.326,,,0.078,0.157,0.168,447145401241004600,0000,0,1nnn,ABUU,0.459,44.8706559286096,9.7304831652003
4.861995,J030049.55+451219.5,45.206474,+45.205417,0.914,0.834,124,17.043,16.109,12.218,9.219,,,,0.160,0.253,,,,,,447145401241016230,0000,0,nnnn,BBUU,,45.2067532588296,10.3030566179089
3.320962,J025757.72+442930.5,44.490533,+44.491828,0.181,0.169,115,14.592,14.566,12.340,9.179,15.600,14.839,14.558,0.036,0.069,,,0.057,0.087,0.077,436143901241039195,0000,0,11nn,AAUU,0.051,44.491826050594,10.0705336462232
0.781514,J025747.07+442646.3,44.446149,+44.446196,0.944,0.849,114,16.826,16.860,12.555,9.176,,,,0.149,,0.417,,,,,436143901241040432,0000,0,nnnn,BUCU,,44.4463552882724,10.2664790846923
1.896658,J030008.21+450200.0,45.034243,+45.033359,1.095,1.007,115,17.195,16.997,12.755,9.262,,,,0.174,0.504,,,,,,447145401241016119,0000,0,nnnn,BCUU,,45.0335454427694,10.2498708392652
1.782226,J030333.49+455325.3,45.889575,+45.890375,0.673,0.607,120,16.563,16.731,12.766,9.093,,,,0.109,0.446,,,,,,468145401241030024,0000,0,0nnn,BCUU,,45.8899573386947,10.4761081580627
3.332991,J030515.84+461855.0,46.316031,+46.315289,0.228,0.213,125,15.150,15.022,12.472,9.191,,,,0.042,0.098,,,,,,458146901241002746,0000,0,00nn,AAUU,,46.316207215796,10.8365601827365
3.188053,J030436.99+460916.8,46.154147,+46.154690,1.037,0.926,121,17.047,16.527,12.827,9.212,,,,0.172,0.354,,,,,,468145401241047626,0000,0,nnnn,BBUU,,46.1551959954808,10.8946276440794
2.346194,J030405.32+460123.9,46.022173,+46.023314,0.803,0.722,117,16.651,16.705,12.421,9.190,,,,0.123,,,,,,,468145401241047774,0000,0,0nnn,BUUU,,46.0229717540461,11.0692278276018
4.988801,J030058.78+451450.4,45.244940,+45.247345,1.051,0.934,117,16.955,16.428,12.767,9.110,,,,0.172,0.347,,,,,,447145401241016314,0000,0,nnnn,BBUU,,45.2465029567153,10.8689119641051
1.160035,J030311.59+454755.6,45.798330,+45.798786,0.145,0.142,121,14.084,14.278,12.356,9.213,14.736,14.285,14.159,0.031,0.059,,,0.040,0.063,0.073,447145401241036779,0000,0,11nn,AAUU,0.189,45.798791945839,11.1048633295005
2.670739,J025745.03+442616.1,44.437644,+44.437819,1.031,0.930,120,17.122,16.735,12.725,9.265,,,,0.169,0.424,0.500,,,,,436143901241040147,0000,0,nnnn,BCCU,,44.4383582644121,10.6135532601239
4.057194,J025715.52+441858.0,44.314701,+44.316126,1.043,0.947,112,18.348,16.886,11.787,8.888,,,,,,0.213,0.399,,,,436143901241036848,0000,0,nnnn,UUBC,,44.3150227405413,10.6229164477168
4.100171,J025932.33+445300.4,44.884740,+44.883468,0.514,0.475,115,16.113,16.008,12.483,8.989,16.760,16.059,16.892,0.089,0.241,,,0.135,0.195,,447145401241004793,0000,0,0nnn,ABUU,0.797,44.8846030594357,10.7559507030739
1.837617,J030008.21+450200.0,45.034243,+45.033359,1.095,1.007,115,17.195,16.997,12.755,9.262,,,,0.174,0.504,,,,,,447145401241016119,0000,0,nnnn,BCUU,,45.0336348944756,11.7006263755337
3.966156,J025922.31+445037.4,44.842986,+44.843741,0.201,0.188,124,14.804,15.076,12.458,9.054,15.088,14.736,14.571,0.037,0.104,,,0.038,0.062,0.095,447145401241004300,0000,0,00nn,AAUU,0.132,44.8426630024105,11.7832746128089
2.700482,J030659.54+464454.0,46.748087,+46.748338,0.714,0.659,120,16.585,16.427,12.724,8.973,,,,0.115,,,,,,,458146901241019239,0000,0,1nnn,BUUU,,46.747650527452,11.1992231925385
1.738977,J030407.50+460149.5,46.031286,+46.030439,0.151,0.144,143,14.235,14.208,12.804,9.256,15.452,14.855,14.679,0.031,0.055,,,0.055,0.075,0.087,468145401241046796,0000,0,00nn,AAUU,0.660,46.0307216517592,11.3120722450395
3.968940,J030616.97+463408.4,46.570740,+46.569026,0.264,0.242,126,15.235,15.097,12.356,9.114,16.969,15.858,15.420,0.048,0.104,0.445,,0.213,0.142,0.163,458146901241018625,0000,0,11nn,AACU,0.311,46.5691463246763,11.7446954223297
3.788803,J030520.64+462003.5,46.336009,+46.334309,0.407,0.378,127,15.900,15.697,12.519,9.180,16.080,15.909,15.495,0.070,0.164,,,0.081,0.141,0.165,458146901241003048,0000,0,1nnn,ABUU,0.362,46.3352018379725,11.6789540886874
4.668009,J030506.43+461639.4,46.276820,+46.277635,0.928,0.854,120,16.908,16.979,12.052,9.114,16.665,16.365,16.904,0.146,,,,0.131,0.216,,458146901241003587,0000,0,0nnn,BUUU,0.472,46.2763749227349,11.9116083820068
3.381522,J030717.49+464922.2,46.822878,+46.822834,0.463,0.420,125,16.089,15.538,12.695,9.057,16.285,15.751,16.094,0.080,0.154,,,0.106,0.133,,458146901241020917,0000,0,0nnn,ABUU,0.230,46.8236232712906,11.7059744898683
3.205086,J031004.39+473107.0,47.518301,+47.518631,0.086,0.082,10,11.779,11.815,12.008,8.975,12.301,11.943,11.905,0.024,0.024,0.255,,0.021,0.021,0.022,480146901241046499,0000,1,11nn,AABU,0.108,47.519249579969,12.0269529415695
4.916954,J031007.93+473206.5,47.533061,+47.535142,0.147,0.145,135,14.256,14.558,12.824,9.267,14.885,14.519,14.497,0.031,0.068,,,0.039,0.055,0.076,480146901241046773,0000,0,00nn,AAUU,0.143,47.5350821085617,12.2187262417381
4.785649,J030558.55+462930.5,46.493993,+46.491822,0.144,0.137,143,14.003,14.114,12.825,9.128,14.471,14.106,13.894,0.031,0.052,,,0.029,0.038,0.048,458146901241016407,0000,0,01nn,AAUU,0.136,46.4929338244475,12.0128903783744
