#iRMS=9.222171502e-05 0
lk  ukf_wg0v  uks_wg0v fh        fse	fl
1900.0  0.006859  0.000000  0.006859  0.000000  0.000000
1905.0  0.008702  0.000000  0.008702  0.000000  0.000000
1910.0  0.009708  0.000000  0.009708  0.000000  0.000000
1915.0  0.010092  0.000000  0.010092  0.000000  0.000000
1920.0  0.009597  0.000000  0.009597  0.000000  0.000000
1925.0  0.009109  0.000000  0.009109  0.000000  0.000000
1930.0  0.007672  0.000000  0.007672  0.000000  0.000000
1935.0  0.007722  0.000000  0.007722  0.000000  0.000000
1940.0  0.010346  0.000000  0.010346  0.000000  0.000000
1945.0  0.012172  0.000000  0.012172  0.000000  0.000000
1950.0  0.011925  0.000000  0.011925  0.000000  0.000000
1955.0  0.008668  0.000000  0.008668  0.000000  0.000000
1960.0  0.005170  0.000000  0.005170  0.000000  0.000000
1965.0  0.008492  0.000000  0.008492  0.000000  0.000000
1970.0  0.012396  0.000000  0.012396  0.000000  0.000000
1975.0  0.008267  0.000000  0.008267  0.000000  0.000000
1980.0  0.012152  0.000000  0.012152  0.000000  0.000000
1985.0  0.013540  0.000000  0.013540  0.000000  0.000000
1990.0  0.009477  0.000000  0.009477  0.000000  0.000000
1995.0  0.016207  0.000000  0.016207  0.000000  0.000000
2000.0  0.016881  0.000000  0.016881  0.000000  0.000000
2005.0  0.013789  0.000000  0.013789  0.000000  0.000000
2010.0  0.017562  0.000000  0.017562  0.000000  0.000000
2015.0  0.021060  0.000000  0.021060  0.000000  0.000000
2020.0  0.017936  0.000000  0.017936  0.000000  0.000000
2025.0  0.020307  0.000000  0.020307  0.000000  0.000000
2030.0  0.022083  0.000000  0.022083  0.000000  0.000000
2035.0  0.014243  0.000000  0.014243  0.000000  0.000000
2040.0  0.018543  0.000000  0.018543  0.000000  0.000000
2045.0  0.021863  0.000000  0.021863  0.000000  0.000000
2050.0  0.027790  0.000000  0.027790  0.000000  0.000000
2055.0  0.021163  0.000000  0.021163  0.000000  0.000000
2060.0  0.018227  0.000000  0.018227  0.000000  0.000000
2065.0  0.029155  0.000000  0.029155  0.000000  0.000000
2070.0  0.032601  0.000000  0.032601  0.000000  0.000000
2075.0  0.031551  0.000000  0.031551  0.000000  0.000000
2080.0  0.031408  0.000000  0.031408  0.000000  0.000000
2085.0  0.031796  0.000000  0.031796  0.000000  0.000000
2090.0  0.030866  0.000000  0.030866  0.000000  0.000000
2095.0  0.033903  0.000000  0.033903  0.000000  0.000000
2100.0  0.042639  0.000000  0.042639  0.000000  0.000000
2105.0  0.051847  0.000000  0.051847  0.000000  0.000000
2110.0  0.051301  0.000000  0.051301  0.000000  0.000000
2115.0  0.055334  0.000000  0.055334  0.000000  0.000000
2120.0  0.063527  0.000000  0.063527  0.000000  0.000000
2125.0  0.059360  0.000000  0.059360  0.000000  0.000000
2130.0  0.050342  0.000000  0.050342  0.000000  0.000000
2135.0  0.051207  0.000000  0.051207  0.000000  0.000000
2140.0  0.053985  0.000000  0.053985  0.000000  0.000000
2145.0  0.058494  0.000000  0.058494  0.000000  0.000000
2150.0  0.060189  0.000000  0.060189  0.000000  0.000000
2155.0  0.059765  0.000000  0.059765  0.000000  0.000000
2160.0  0.053320  0.000000  0.053320  0.000000  0.000000
2165.0  0.051288  0.000000  0.051288  0.000000  0.000000
2170.0  0.043413  0.000000  0.043413  0.000000  0.000000
2175.0  0.038987  0.000000  0.038987  0.000000  0.000000
2180.0  0.046286  0.000000  0.046286  0.000000  0.000000
2185.0  0.057207  0.000000  0.057207  0.000000  0.000000
2190.0  0.071306  0.000000  0.071306  0.000000  0.000000
2195.0  0.077964  0.000000  0.077964  0.000000  0.000000
2200.0  0.076043  0.000000  0.076043  0.000000  0.000000
2205.0  0.066059  0.000000  0.066059  0.000000  0.000000
2210.0  0.051712  0.000000  0.051712  0.000000  0.000000
2215.0  0.052809  0.000000  0.052809  0.000000  0.000000
2220.0  0.057818  0.000000  0.057818  0.000000  0.000000
2225.0  0.065521  0.000000  0.065521  0.000000  0.000000
2230.0  0.067717  0.000000  0.067717  0.000000  0.000000
2235.0  0.074511  0.000000  0.074511  0.000000  0.000000
2240.0  0.071353  0.000000  0.071353  0.000000  0.000000
2245.0  0.067166  0.000000  0.067166  0.000000  0.000000
2250.0  0.068814  0.000000  0.068814  0.000000  0.000000
2255.0  0.062303  0.000000  0.062303  0.000000  0.000000
2260.0  0.054409  0.000000  0.054409  0.000000  0.000000
2265.0  0.046721  0.000000  0.046721  0.000000  0.000000
2270.0  0.049844  0.000000  0.049844  0.000000  0.000000
2275.0  0.056082  0.000000  0.056082  0.000000  0.000000
2280.0  0.062558  0.000000  0.062558  0.000000  0.000000
2285.0  0.065625  0.000000  0.065625  0.000000  0.000000
2290.0  0.063806  0.000000  0.063806  0.000000  0.000000
2295.0  0.056690  0.000000  0.056690  0.000000  0.000000
2300.0  0.063833  0.000000  0.063833  0.000000  0.000000
2305.0  0.070566  0.000000  0.070566  0.000000  0.000000
2310.0  0.067539  0.000000  0.067539  0.000000  0.000000
2315.0  0.061160  0.000000  0.061160  0.000000  0.000000
2320.0  0.063742  0.000000  0.063742  0.000000  0.000000
2325.0  0.068536  0.000000  0.068536  0.000000  0.000000
2330.0  0.054697  0.000000  0.054697  0.000000  0.000000
2335.0  0.041770  0.000000  0.041770  0.000000  0.000000
2340.0  0.036990  0.000000  0.036990  0.000000  0.000000
2345.0  0.039962  0.000000  0.039962  0.000000  0.000000
2350.0  0.046009  0.000000  0.046009  0.000000  0.000000
2355.0  0.051153  0.000000  0.051153  0.000000  0.000000
2360.0  0.047665  0.000000  0.047665  0.000000  0.000000
2365.0  0.052902  0.000000  0.052902  0.000000  0.000000
2370.0  0.054836  0.000000  0.054836  0.000000  0.000000
2375.0  0.057533  0.000000  0.057533  0.000000  0.000000
2380.0  0.049233  0.000000  0.049233  0.000000  0.000000
2385.0  0.037287  0.000000  0.037287  0.000000  0.000000
2390.0  0.037769  0.000000  0.037769  0.000000  0.000000
2395.0  0.038161  0.000000  0.038161  0.000000  0.000000
2400.0  0.032024  0.000000  0.032024  0.000000  0.000000
2405.0  0.030326  0.000000  0.030326  0.000000  0.000000
2410.0  0.038173  0.000000  0.038173  0.000000  0.000000
2415.0  0.054793  0.000000  0.054793  0.000000  0.000000
2420.0  0.073462  0.000000  0.073462  0.000000  0.000000
2425.0  0.080548  0.000000  0.080548  0.000000  0.000000
2430.0  0.073233  0.000000  0.073233  0.000000  0.000000
2435.0  0.071906  0.000000  0.071906  0.000000  0.000000
2440.0  0.074007  0.000000  0.074007  0.000000  0.000000
2445.0  0.065647  0.000000  0.065647  0.000000  0.000000
2450.0  0.059439  0.000000  0.059439  0.000000  0.000000
2455.0  0.060030  0.000000  0.060030  0.000000  0.000000
2460.0  0.058181  0.000000  0.058181  0.000000  0.000000
2465.0  0.052838  0.000000  0.052838  0.000000  0.000000
2470.0  0.055746  0.000000  0.055746  0.000000  0.000000
2475.0  0.054166  0.000000  0.054166  0.000000  0.000000
2480.0  0.051212  0.000000  0.051212  0.000000  0.000000
2485.0  0.052068  0.000000  0.052068  0.000000  0.000000
2490.0  0.053588  0.000000  0.053588  0.000000  0.000000
2495.0  0.068002  0.000000  0.068002  0.000000  0.000000
2500.0  0.072359  0.000000  0.072359  0.000000  0.000000
2505.0  0.067438  0.000000  0.067438  0.000000  0.000000
2510.0  0.057801  0.000000  0.057801  0.000000  0.000000
2515.0  0.046259  0.000000  0.046259  0.000000  0.000000
2520.0  0.042663  0.000000  0.042663  0.000000  0.000000
2525.0  0.043281  0.000000  0.043281  0.000000  0.000000
2530.0  0.053670  0.000000  0.053670  0.000000  0.000000
2535.0  0.057171  0.000000  0.057171  0.000000  0.000000
2540.0  0.054761  0.000000  0.054761  0.000000  0.000000
2545.0  0.061182  0.000000  0.061182  0.000000  0.000000
2550.0  0.072506  0.000000  0.072506  0.000000  0.000000
2555.0  0.077334  0.000000  0.077334  0.000000  0.000000
2560.0  0.085547  0.000000  0.085547  0.000000  0.000000
2565.0  0.108902  0.000000  0.108902  0.000000  0.000000
2570.0  0.113589  0.000000  0.113589  0.000000  0.000000
2575.0  0.095442  0.000000  0.095442  0.000000  0.000000
2580.0  0.096804  0.000000  0.096804  0.000000  0.000000
2585.0  0.105142  0.000000  0.105142  0.000000  0.000000
2590.0  0.103484  0.000000  0.103484  0.000000  0.000000
2595.0  0.086246  0.000000  0.086246  0.000000  0.000000
2600.0  0.074590  0.000000  0.074590  0.000000  0.000000
2605.0  0.075660  0.000000  0.075660  0.000000  0.000000
2610.0  0.075932  0.000000  0.075932  0.000000  0.000000
2615.0  0.087947  0.000000  0.087947  0.000000  0.000000
2620.0  0.088551  0.000000  0.088551  0.000000  0.000000
2625.0  0.088395  0.000000  0.088395  0.000000  0.000000
2630.0  0.118978  0.000000  0.118978  0.000000  0.000000
2635.0  0.169675  0.000000  0.169675  0.000000  0.000000
2640.0  0.203102  0.000000  0.203102  0.000000  0.000000
2645.0  0.198938  0.000000  0.198938  0.000000  0.000000
2650.0  0.201401  0.000000  0.201401  0.000000  0.000000
2655.0  0.215336  0.000000  0.215336  0.000000  0.000000
2660.0  0.195814  0.000000  0.195814  0.000000  0.000000
2665.0  0.193099  0.000000  0.193099  0.000000  0.000000
2670.0  0.198108  0.000000  0.198108  0.000000  0.000000
2675.0  0.198876  0.000000  0.198876  0.000000  0.000000
2680.0  0.193597  0.000000  0.193597  0.000000  0.000000
2685.0  0.191595  0.000000  0.191595  0.000000  0.000000
2690.0  0.187079  0.000000  0.187079  0.000000  0.000000
2695.0  0.195851  0.000000  0.195851  0.000000  0.000000
2700.0  0.215186  0.000000  0.215186  0.000000  0.000000
2705.0  0.210582  0.000000  0.210582  0.000000  0.000000
2710.0  0.190872  0.000000  0.190872  0.000000  0.000000
2715.0  0.171855  0.000000  0.171855  0.000000  0.000000
2720.0  0.164583  0.000000  0.164583  0.000000  0.000000
2725.0  0.177746  0.000000  0.177746  0.000000  0.000000
2730.0  0.182985  0.000000  0.182985  0.000000  0.000000
2735.0  0.150350  0.000000  0.150350  0.000000  0.000000
2740.0  0.113138  0.000000  0.113138  0.000000  0.000000
2745.0  0.113127  0.000000  0.113127  0.000000  0.000000
2750.0  0.126528  0.000000  0.126528  0.000000  0.000000
2755.0  0.150211  0.000000  0.150211  0.000000  0.000000
2760.0  0.173404  0.000000  0.173404  0.000000  0.000000
2765.0  0.186507  0.000000  0.186507  0.000000  0.000000
2770.0  0.185088  0.000000  0.185088  0.000000  0.000000
2775.0  0.169270  0.000000  0.169270  0.000000  0.000000
2780.0  0.144415  0.000000  0.144415  0.000000  0.000000
2785.0  0.112572  0.000000  0.112572  0.000000  0.000000
2790.0  0.081471  0.000000  0.081471  0.000000  0.000000
2795.0  0.064216  0.000000  0.064216  0.000000  0.000000
2800.0  0.068309  0.000000  0.068309  0.000000  0.000000
2805.0  0.094559  0.000000  0.094559  0.000000  0.000000
2810.0  0.141763  0.000000  0.141763  0.000000  0.000000
2815.0  0.207705  0.000000  0.207705  0.000000  0.000000
2820.0  0.233992  0.000000  0.233992  0.000000  0.000000
2825.0  0.241362  0.000000  0.241362  0.000000  0.000000
2830.0  0.253482  0.000000  0.253482  0.000000  0.000000
2835.0  0.252607  0.000000  0.252607  0.000000  0.000000
2840.0  0.226975  0.000000  0.226975  0.000000  0.000000
2845.0  0.184778  0.000000  0.184778  0.000000  0.000000
2850.0  0.154452  0.000000  0.154452  0.000000  0.000000
2855.0  0.201063  0.000000  0.201063  0.000000  0.000000
2860.0  0.267310  0.000000  0.267310  0.000000  0.000000
2865.0  0.282227  0.000000  0.282227  0.000000  0.000000
2870.0  0.275517  0.000000  0.275517  0.000000  0.000000
2875.0  0.254723  0.000000  0.254723  0.000000  0.000000
2880.0  0.257774  0.000000  0.257774  0.000000  0.000000
2885.0  0.291041  0.000000  0.291041  0.000000  0.000000
2890.0  0.334444  0.000000  0.334444  0.000000  0.000000
2895.0  0.388703  0.000000  0.388703  0.000000  0.000000
2900.0  0.424669  0.000000  0.424669  0.000000  0.000000
2905.0  0.424073  0.000000  0.424073  0.000000  0.000000
2910.0  0.426398  0.000000  0.426398  0.000000  0.000000
2915.0  0.418218  0.000000  0.418218  0.000000  0.000000
2920.0  0.377330  0.000000  0.377330  0.000000  0.000000
2925.0  0.354312  0.000000  0.354312  0.000000  0.000000
2930.0  0.373991  0.000000  0.373991  0.000000  0.000000
2935.0  0.383679  0.000000  0.383679  0.000000  0.000000
2940.0  0.382696  0.000000  0.382696  0.000000  0.000000
2945.0  0.381364  0.000000  0.381364  0.000000  0.000000
2950.0  0.390959  0.000000  0.390959  0.000000  0.000000
2955.0  0.416000  0.000000  0.416000  0.000000  0.000000
2960.0  0.406363  0.000000  0.406363  0.000000  0.000000
2965.0  0.378680  0.000000  0.378680  0.000000  0.000000
2970.0  0.382577  0.000000  0.382577  0.000000  0.000000
2975.0  0.405115  0.000000  0.405115  0.000000  0.000000
2980.0  0.350858  0.000000  0.350858  0.000000  0.000000
2985.0  0.339080  0.000000  0.339080  0.000000  0.000000
2990.0  0.374040  0.000000  0.374040  0.000000  0.000000
2995.0  0.348391  0.000000  0.348391  0.000000  0.000000
3000.0  0.320704  0.000000  0.320704  0.000000  0.000000
3005.0  0.338474  0.000000  0.338474  0.000000  0.000000
3010.0  0.362653  0.000000  0.362653  0.000000  0.000000
3015.0  0.351320  0.000000  0.351320  0.000000  0.000000
3020.0  0.368990  0.000000  0.368990  0.000000  0.000000
3025.0  0.410833  0.000000  0.410833  0.000000  0.000000
3030.0  0.418436  0.000000  0.418436  0.000000  0.000000
3035.0  0.403738  0.000000  0.403738  0.000000  0.000000
3040.0  0.400521  0.000000  0.400521  0.000000  0.000000
3045.0  0.422772  0.000000  0.422772  0.000000  0.000000
3050.0  0.427858  0.000000  0.427858  0.000000  0.000000
3055.0  0.390675  0.000000  0.390675  0.000000  0.000000
3060.0  0.373078  0.000000  0.373078  0.000000  0.000000
3065.0  0.389638  0.000000  0.389638  0.000000  0.000000
3070.0  0.412671  0.000000  0.412671  0.000000  0.000000
3075.0  0.414131  0.000000  0.414131  0.000000  0.000000
3080.0  0.430875  0.000000  0.430875  0.000000  0.000000
3085.0  0.418031  0.000000  0.418031  0.000000  0.000000
3090.0  0.379276  0.000000  0.379276  0.000000  0.000000
3095.0  0.362530  0.000000  0.362530  0.000000  0.000000
3100.0  0.397051  0.000000  0.397051  0.000000  0.000000
3105.0  0.453191  0.000000  0.453191  0.000000  0.000000
3110.0  0.480605  0.000000  0.480605  0.000000  0.000000
3115.0  0.445338  0.000000  0.445338  0.000000  0.000000
3120.0  0.437473  0.000000  0.437473  0.000000  0.000000
3125.0  0.451929  0.000000  0.451929  0.000000  0.000000
3130.0  0.461578  0.000000  0.461578  0.000000  0.000000
3135.0  0.482881  0.000000  0.482881  0.000000  0.000000
3140.0  0.466413  0.000000  0.466413  0.000000  0.000000
3145.0  0.454633  0.000000  0.454633  0.000000  0.000000
3150.0  0.473821  0.000000  0.473821  0.000000  0.000000
3155.0  0.426804  0.000000  0.426804  0.000000  0.000000
3160.0  0.394814  0.009013  0.394814  0.000000  0.000000
3165.0  0.420852  0.028496  0.420852  0.000000  0.000000
3170.0  0.449944  0.056941  0.449944  0.000000  0.000000
3175.0  0.448817  0.058466  0.448817  0.000000  0.000000
3180.0  0.434262  0.043444  0.434262  0.000000  0.000000
3185.0  0.444160  0.047084  0.444160  0.000000  0.000000
3190.0  0.455930  0.048269  0.455930  0.000000  0.000000
3195.0  0.462147  0.046156  0.462147  0.000000  0.000000
3200.0  0.422927  0.000000  0.422927  0.000000  0.000000
3205.0  0.413663  0.000000  0.413663  0.000000  0.000000
3210.0  0.397091  0.000000  0.397091  0.000000  0.000000
3215.0  0.377889  0.000000  0.377889  0.000000  0.000000
3220.0  0.363208  0.000000  0.363208  0.000000  0.000000
3225.0  0.359521  0.000000  0.359521  0.000000  0.000000
3230.0  0.368125  0.000000  0.368125  0.000000  0.000000
3235.0  0.388311  0.000000  0.388311  0.000000  0.000000
3240.0  0.416535  0.000000  0.416535  0.000000  0.000000
3245.0  0.448341  0.000000  0.448341  0.000000  0.000000
3250.0  0.478491  0.000000  0.478491  0.000000  0.000000
3255.0  0.501412  0.000000  0.501412  0.000000  0.000000
3260.0  0.510995  0.000000  0.510995  0.000000  0.000000
3265.0  0.505039  0.000000  0.505039  0.000000  0.000000
3270.0  0.497532  0.000000  0.497532  0.000000  0.000000
3275.0  0.502628  0.000000  0.502628  0.000000  0.000000
3280.0  0.518950  0.000000  0.518950  0.000000  0.000000
3285.0  0.539916  0.000000  0.539916  0.000000  0.000000
3290.0  0.553630  0.000000  0.553630  0.000000  0.000000
3295.0  0.550979  0.000000  0.550979  0.000000  0.000000
3300.0  0.539301  0.000000  0.539301  0.000000  0.000000
3305.0  0.528207  0.000000  0.528207  0.000000  0.000000
3310.0  0.519952  0.000000  0.519952  0.000000  0.000000
3315.0  0.514403  0.000000  0.514403  0.000000  0.000000
3320.0  0.509232  0.000000  0.509232  0.000000  0.000000
3325.0  0.503132  0.000000  0.503132  0.000000  0.000000
3330.0  0.501058  0.000000  0.501058  0.000000  0.000000
3335.0  0.506747  0.000000  0.506747  0.000000  0.000000
3340.0  0.512797  0.000000  0.512797  0.000000  0.000000
3345.0  0.511053  0.000000  0.511053  0.000000  0.000000
3350.0  0.501484  0.000000  0.501484  0.000000  0.000000
3355.0  0.487464  0.000000  0.487464  0.000000  0.000000
3360.0  0.477854  0.000000  0.477854  0.000000  0.000000
3365.0  0.480502  0.000000  0.480502  0.000000  0.000000
3370.0  0.493707  0.000000  0.493707  0.000000  0.000000
3375.0  0.512970  0.000000  0.512970  0.000000  0.000000
3380.0  0.532126  0.000000  0.532126  0.000000  0.000000
3385.0  0.545119  0.000000  0.545119  0.000000  0.000000
3390.0  0.547976  0.000000  0.547976  0.000000  0.000000
3395.0  0.539846  0.000000  0.539846  0.000000  0.000000
3400.0  0.530279  0.000000  0.530279  0.000000  0.000000
3405.0  0.528441  0.000000  0.528441  0.000000  0.000000
3410.0  0.531543  0.000000  0.531543  0.000000  0.000000
3415.0  0.533523  0.000000  0.533523  0.000000  0.000000
3420.0  0.527161  0.000000  0.527161  0.000000  0.000000
3425.0  0.508500  0.000000  0.508500  0.000000  0.000000
3430.0  0.487764  0.000000  0.487764  0.000000  0.000000
3435.0  0.476343  0.000000  0.476343  0.000000  0.000000
3440.0  0.476092  0.000000  0.476092  0.000000  0.000000
3445.0  0.485322  0.000000  0.485322  0.000000  0.000000
3450.0  0.497694  0.000000  0.497694  0.000000  0.000000
3455.0  0.506480  0.000000  0.506480  0.000000  0.000000
