# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 16:41:17 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.007 -0.33541 7.00000 0.0900000036 1.0816895962    0.090 -1.997  3.4295  4.059    0  0.000  0.545     0.00     0.00 -1 -3.99e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.762 11.359 13.806 10.063
0.007 -0.33541 7.00000 0.0907637030 1.0889654160    0.091 -1.992  3.4301  4.060    0  0.000  0.545     0.00     0.00 -1 -4.01e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.750 11.340 13.777 10.045
0.007 -0.33541 7.00000 0.0996483564 1.1681623459    0.100 -1.936  3.4364  4.070    0  0.000  0.545     0.00     0.00 -1  -4.3e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.611 11.136 13.478 9.854
0.007 -0.33541 7.00000 0.1189450845 1.3123229742    0.119 -1.828  3.4493  4.090    0  0.000  0.545     0.00     0.00 -1 -4.94e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.340 10.736 12.888 9.479
0.007 -0.33541 7.00000 0.1300141811 1.3819490671    0.130 -1.773  3.4553  4.098    0  0.000  0.545     0.00     0.00 -1 -5.32e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.203 10.539 12.602 9.296
0.007 -0.33541 7.00000 0.1460842192 1.4703724384    0.146 -1.701  3.4631  4.108    0  0.000  0.545     0.00     0.00 -1 -5.83e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 9.023 10.285 12.236 9.060
0.007 -0.33541 7.00000 0.1524829566 1.5021293163    0.152 -1.674  3.4659  4.111    0  0.000  0.545     0.00     0.00 -1 -6.03e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.956 10.193 12.107 8.975
0.007 -0.33541 7.00000 0.1544179022 1.5113929510    0.154 -1.667  3.4668  4.112    0  0.000  0.545     0.00     0.00 -1 -6.08e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.937 10.166 12.070 8.950
0.007 -0.33541 7.00000 0.1597168893 1.5360080004    0.160 -1.646  3.4689  4.114    0  0.000  0.545     0.00     0.00 -1 -6.31e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.884 10.093 11.969 8.882
0.007 -0.33541 7.00000 0.1734423339 1.5951159000    0.173 -1.593  3.4743  4.118    0  0.000  0.545     0.00     0.00 -1 -6.81e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.752 9.915 11.724 8.717
0.007 -0.33541 7.00000 0.1883547753 1.6528073549    0.188 -1.541  3.4797  4.123    0  0.000  0.545     0.00     0.00 -1 -7.33e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.621 9.738 11.481 8.553
0.007 -0.33541 7.00000 0.1980429739 1.6871973276    0.198 -1.511  3.4830  4.128    0  0.000  0.545     0.00     0.00 -1 -7.62e-15      0.00 7.317e-01 2.612e-01 1.272e-03 3.431e-04 3.112e-03 -1.000 7.072e-03 8.546 9.636 11.341 8.459
