# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb  7 15:39:11 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.03 0.33631 6.00000 0.1000000015 1.1711064577    0.100 -1.268  3.4282  3.371    0  0.000  0.545     0.00     0.00 -1 -4.47e-14      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 7.940 5.836 5.305 4.949 4.495 4.343 4.281 4.192 3.546 3.502 3.547 4.635 4.347 4.138 3.736
0.03 0.33631 6.00000 0.1053100675 1.2139918804    0.105 -1.223  3.4313  3.361    0  0.000  0.545     0.00     0.00 -1 -4.88e-14      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 7.828 5.726 5.194 4.843 4.398 4.247 4.186 4.101 3.456 3.414 3.462 4.537 4.251 4.048 3.646
0.03 0.33631 6.00000 0.1199999973 1.3193154335    0.120 -1.096  3.4395  3.323    0  0.000  0.545     0.00     0.00 -1  -6.4e-14      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 7.510 5.413 4.870 4.540 4.119 3.973 3.917 3.837 3.200 3.160 3.215 4.256 3.977 3.788 3.390
0.03 0.33631 6.00000 0.1400000006 1.4384527206    0.140 -0.972  3.4494  3.306    0  0.000  0.545     0.00     0.00 -1 -8.05e-14      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 7.201 5.112 4.551 4.246 3.856 3.715 3.665 3.592 2.964 2.929 2.991 3.990 3.720 3.549 3.154
0.03 0.33631 6.00000 0.1437406093 1.4582853317    0.144 -0.950  3.4514  3.302    0  0.000  0.545     0.00     0.00 -1  -8.4e-14      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 7.144 5.058 4.491 4.191 3.808 3.669 3.620 3.548 2.922 2.888 2.952 3.942 3.674 3.506 3.112
0.03 0.33631 6.00000 0.1631964147 1.5516011715    0.163 -0.849  3.4605  3.294    0  0.000  0.545     0.00     0.00 -1    -1e-13      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 6.893 4.820 4.225 3.948 3.598 3.465 3.420 3.355 2.738 2.711 2.783 3.729 3.471 3.319 2.928
0.03 0.33631 6.00000 0.1679658592 1.5722862482    0.168 -0.837  3.4624  3.302    0  0.000  0.545     0.00     0.00 -1 -1.01e-13      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 6.863 4.794 4.193 3.920 3.576 3.446 3.402 3.338 2.723 2.698 2.771 3.707 3.452 3.304 2.913
0.03 0.33631 6.00000 0.1745730191 1.5997128487    0.175 -0.808  3.4656  3.302    0  0.000  0.545     0.00     0.00 -1 -1.06e-13      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 6.790 4.726 4.112 3.847 3.518 3.391 3.349 3.288 2.676 2.653 2.728 3.648 3.397 3.255 2.866
0.03 0.33631 6.00000 0.1861895323 1.6448060274    0.186 -0.740  3.4718  3.287    0  0.000  0.545     0.00     0.00 -1 -1.22e-13      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 6.621 4.567 3.927 3.677 3.376 3.257 3.220 3.162 2.557 2.539 2.618 3.505 3.264 3.134 2.747
0.03 0.33631 6.00000 0.2002706826 1.6947965622    0.200 -0.660  3.4789  3.267    0  0.000  0.545     0.00     0.00 -1 -1.44e-13      0.00 6.680e-01 3.020e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 6.420 4.379 3.705 3.472 3.205 3.096 3.063 3.010 2.412 2.401 2.485 3.332 3.104 2.986 2.602
