# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 15:27:38 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.008 -0.27576 5.00000 0.0900000036 1.0816895962    0.090 -0.720  3.4766  2.970    0  0.000  0.545     0.00     0.00 -1 -2.65e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 6.569 7.868 9.746 6.653
0.008 -0.27576 5.00000 0.1000000015 1.1711064577    0.100 -0.643  3.4810  2.957    0  0.000  0.545     0.00     0.00 -1 -3.04e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 6.378 7.655 9.503 6.446
0.008 -0.27576 5.00000 0.1096574739 1.2470618486    0.110 -0.581  3.4857  2.954    0  0.000  0.545     0.00     0.00 -1 -3.36e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 6.222 7.476 9.291 6.274
0.008 -0.27576 5.00000 0.1205867901 1.3231705427    0.121 -0.515  3.4906  2.949    0  0.000  0.545     0.00     0.00 -1 -3.75e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 6.058 7.288 9.069 6.094
0.008 -0.27576 5.00000 0.1327196360 1.3978013992    0.133 -0.449  3.4963  2.947    0  0.000  0.545     0.00     0.00 -1 -4.17e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.892 7.097 8.840 5.911
0.008 -0.27576 5.00000 0.1400000006 1.4384527206    0.140 -0.410  3.4997  2.944    0  0.000  0.545     0.00     0.00 -1 -4.46e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.795 6.985 8.705 5.804
0.008 -0.27576 5.00000 0.1506466568 1.4931955338    0.151 -0.362  3.5047  2.949    0  0.000  0.545     0.00     0.00 -1 -4.78e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.675 6.838 8.520 5.667
0.008 -0.27576 5.00000 0.1634953320 1.5529204607    0.163 -0.306  3.5106  2.952    0  0.000  0.545     0.00     0.00 -1  -5.2e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.534 6.665 8.299 5.505
0.008 -0.27576 5.00000 0.1772664040 1.6105087996    0.177 -0.251  3.5170  2.957    0  0.000  0.545     0.00     0.00 -1 -5.63e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.397 6.490 8.066 5.345
0.008 -0.27576 5.00000 0.1923139542 1.6671329737    0.192 -0.193  3.5239  2.963    0  0.000  0.545     0.00     0.00 -1 -6.13e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.253 6.305 7.819 5.176
0.008 -0.27576 5.00000 0.2015359402 1.6990640163    0.201 -0.159  3.5281  2.966    0  0.000  0.545     0.00     0.00 -1 -6.46e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.168 6.195 7.672 5.076
0.008 -0.27576 5.00000 0.2197755426 1.7569582462    0.220 -0.094  3.5365  2.972    0  0.000  0.545     0.00     0.00 -1 -7.14e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 5.004 5.971 7.362 4.878
0.008 -0.27576 5.00000 0.2392963171 1.8123751879    0.239 -0.033  3.5452  2.983    0  0.000  0.545     0.00     0.00 -1 -7.76e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 4.853 5.751 7.051 4.687
0.008 -0.27576 5.00000 0.2678729296 1.8836930990    0.268  0.057  3.5571  2.989    0  0.000  0.545     0.00     0.00 -1 -8.96e-13      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 4.628 5.425 6.602 4.406
0.008 -0.27576 5.00000 0.2960480750 1.9449312687    0.296  0.134  3.5676  2.998    0  0.000  0.545     0.00     0.00 -1 -1.01e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 4.436 5.135 6.205 4.160
0.008 -0.27576 5.00000 0.3000000119 1.9529139996    0.300  0.143  3.5690  3.000    0  0.000  0.545     0.00     0.00 -1 -1.02e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 4.413 5.099 6.155 4.129
0.008 -0.27576 5.00000 0.3103441000 1.9731771946    0.310  0.170  3.5725  3.002    0  0.000  0.545     0.00     0.00 -1 -1.06e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 4.345 4.999 6.024 4.043
0.008 -0.27576 5.00000 0.3500000238 2.0434176922    0.350  0.267  3.5848  3.006    0  0.000  0.545     0.00     0.00 -1 -1.25e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 4.102 4.647 5.572 3.737
0.008 -0.27576 5.00000 0.3816173375 2.0923907757    0.382  0.343  3.5935  3.003    0  0.000  0.545     0.00     0.00 -1 -1.43e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 3.913 4.388 5.253 3.509
0.008 -0.27576 5.00000 0.4000000358 2.1185026169    0.400  0.384  3.5982  3.001    0  0.000  0.545     0.00     0.00 -1 -1.54e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 3.810 4.251 5.087 3.387
0.008 -0.27576 5.00000 0.4500000179 2.1822810173    0.450  0.493  3.6094  2.988    0  0.000  0.545     0.00     0.00 -1 -1.89e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 3.538 3.903 4.676 3.074
0.008 -0.27576 5.00000 0.5000000000 2.2374541759    0.500  0.571  3.6185  2.992    0  0.000  0.545     0.00     0.00 -1 -2.13e-12      0.00 7.290e-01 2.630e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 3.343 3.654 4.383 2.850
