# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Jan 22 17:12:30 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0135 -0.03932 10.00000 0.0900000036 1.0816895962    0.090 -3.415  3.3664  5.225    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.94e-17      0.00 7.129e-01 2.735e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 13.308 15.246 18.298 13.887
0.0135 -0.03932 10.00000 0.1000000015 1.1711064577    0.100 -3.229  3.3932  5.191    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-17      0.00 7.125e-01 2.740e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 12.841 14.778 17.817 13.420
0.0135 -0.03932 10.00000 0.1098472849 1.2484667301    0.110 -3.090  3.4116  5.167    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-17      0.00 7.120e-01 2.745e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 12.495 14.431 17.459 13.073
0.0135 -0.03932 10.00000 0.1200000048 1.3193155527    0.120 -2.959  3.4290  5.144    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-16      0.00 7.115e-01 2.749e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 12.168 13.953 16.722 12.620
0.0135 -0.03932 10.00000 0.1400000006 1.4384527206    0.140 -2.778  3.4482  5.107    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-16      0.00 7.108e-01 2.757e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 11.716 13.271 15.681 11.979
0.0135 -0.03932 10.00000 0.1599999964 1.5372931957    0.160 -2.636  3.4618  5.078    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-16      0.00 7.100e-01 2.764e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 11.361 12.758 14.915 11.500
0.0135 -0.03932 10.00000 0.2000000030 1.6938791275    0.200 -2.416  3.4805  5.029    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-16      0.00 7.089e-01 2.775e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 10.811 12.008 13.863 10.801
0.0135 -0.03932 10.00000 0.2500000000 1.8403258324    0.250 -2.204  3.4965  4.977    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.44e-16      0.00 7.080e-01 2.784e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 10.279 11.321 12.951 10.162
0.0135 -0.03932 10.00000 0.3000000119 1.9529139996    0.300 -2.040  3.5068  4.934    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.01e-18      0.00 7.078e-01 2.786e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 9.869 10.825 12.341 9.695
0.0135 -0.03932 10.00000 0.3500000238 2.0434176922    0.350 -1.892  3.5154  4.888    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.79e-16      0.00 7.138e-01 2.727e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 9.500 10.391 11.820 9.284
0.0135 -0.03932 10.00000 0.4000000358 2.1185026169    0.400 -1.747  3.5264  4.845    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-15      0.00 7.140e-01 2.725e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 9.138 9.950 11.281 8.872
0.0135 -0.03932 10.00000 0.4500000179 2.1822810173    0.450 -1.595  3.5390  4.794    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-15      0.00 7.141e-01 2.724e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 8.757 9.488 10.723 8.443
0.0135 -0.03932 10.00000 0.4631674886 2.1975576878    0.463 -1.551  3.5434  4.780    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-15      0.00 7.141e-01 2.724e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 8.646 9.351 10.555 8.317
0.0135 -0.03932 10.00000 0.5000000000 2.2374541759    0.500 -1.433  3.5551  4.742    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.79e-15      0.00 7.141e-01 2.724e-01 2.439e-03 6.582e-04 5.970e-03 -1.000 1.357e-02 8.352 8.987 10.115 7.983
0.0135 -0.03932 10.00000 0.5046397448 2.2421865463    0.505 -1.415  3.5572  4.737    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-15      0.00 7.162e-01 2.703e-01 2.422e-03 6.536e-04 5.928e-03 -1.000 1.347e-02 8.308 8.932 10.046 7.932
0.0135 -0.03932 10.00000 0.5500000119 2.2836582661    0.550 -1.252  3.5761  4.686    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.3e-15      0.00 7.370e-01 2.504e-01 2.256e-03 6.090e-04 5.525e-03 -1.000 1.254e-02 7.900 8.414 9.415 7.464
0.0135 -0.03932 10.00000 0.5646564960 2.2954316139    0.564 -1.198  3.5839  4.675    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.87e-15      0.00 7.381e-01 2.494e-01 2.249e-03 6.069e-04 5.507e-03 -1.000 1.251e-02 7.766 8.238 9.197 7.308
0.0135 -0.03932 10.00000 0.6000000238 2.3211214542    0.600 -1.075  3.6019  4.650    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.45e-15      0.00 7.404e-01 2.471e-01 2.231e-03 6.023e-04 5.465e-03 -1.000 1.243e-02 7.457 7.843 8.716 6.957
0.0135 -0.03932 10.00000 0.6499999762 2.3520355225    0.650 -0.894  3.6332  4.630    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -9.64e-15      0.00 7.435e-01 2.441e-01 2.209e-03 5.963e-04 5.412e-03 -1.000 1.233e-02 7.005 7.246 7.978 6.439
0.0135 -0.03932 10.00000 0.7000000477 2.3779268265    0.700 -0.717  3.6645  4.611    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-14      0.00 7.466e-01 2.412e-01 2.186e-03 5.903e-04 5.358e-03 -1.000 1.222e-02 6.564 6.660 7.258 5.942
