# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Dec 18 17:04:50 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.02 0.14251 10.00000 0.0900000036 1.0816895962    0.090 -3.437  3.3545  5.199    1  0.000  0.545     0.00     0.00 -1 -3.86e-17      0.00 6.949e-01 2.851e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 13.362 11.223 10.631 10.353 9.904 9.847 9.786 9.686 9.057 9.032 8.983 10.073 9.861 9.618 9.247
0.02 0.14251 10.00000 0.1000000015 1.1711064577    0.100 -3.264  3.3781  5.167    1  0.000  0.545     0.00     0.00 -1 -5.65e-17      0.00 6.945e-01 2.855e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.931 10.793 10.203 9.922 9.474 9.414 9.352 9.253 8.624 8.599 8.551 9.642 9.428 9.185 8.814
0.02 0.14251 10.00000 0.1200000048 1.3193155527    0.120 -3.013  3.4096  5.120    1  0.000  0.545     0.00     0.00 -1  -9.7e-17      0.00 6.937e-01 2.863e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.302 10.166 9.578 9.293 8.845 8.782 8.720 8.622 7.993 7.967 7.921 9.013 8.795 8.554 8.183
0.02 0.14251 10.00000 0.1400000006 1.4384527206    0.140 -2.826  3.4315  5.087    1  0.000  0.545     0.00     0.00 -1 -1.44e-16      0.00 6.930e-01 2.870e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.834 9.731 9.145 8.860 8.436 8.359 8.301 8.214 7.601 7.577 7.554 8.590 8.370 8.156 7.791
0.02 0.14251 10.00000 0.1599999964 1.5372931957    0.160 -2.681  3.4462  5.060    1  0.000  0.545     0.00     0.00 -1 -1.93e-16      0.00 6.924e-01 2.876e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.473 9.403 8.818 8.537 8.138 8.053 7.999 7.924 7.325 7.302 7.303 8.280 8.063 7.876 7.515
0.02 0.14251 10.00000 0.2000000030 1.6938791275    0.200 -2.463  3.4650  5.014    1  0.000  0.545     0.00     0.00 -1 -3.02e-16      0.00 6.913e-01 2.887e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.927 8.901 8.316 8.043 7.675 7.580 7.529 7.465 6.881 6.865 6.901 7.801 7.587 7.431 7.071
0.02 0.14251 10.00000 0.2500000000 1.8403258324    0.250 -2.251  3.4812  4.963    1  0.000  0.545     0.00     0.00 -1 -3.73e-16      0.00 6.905e-01 2.895e-01 3.596e-03 9.702e-04 8.800e-03 -1.000 2.000e-02 10.396 8.409 7.822 7.559 7.218 7.119 7.070 7.014 6.443 6.435 6.499 7.332 7.125 6.992 6.633
0.02 0.14251 10.00000 0.3117099106 1.9757870436    0.312 -2.044  3.4954  4.909    1  0.000  0.545     0.00     0.00 -1 -7.13e-16      0.00 6.916e-01 2.884e-01 3.596e-03 9.703e-04 8.800e-03 -1.000 2.000e-02 9.879 7.927 7.335 7.083 6.766 6.666 6.618 6.565 6.004 6.012 6.099 6.870 6.671 6.555 6.194
0.02 0.14251 10.00000 0.3408235908 2.0281162262    0.341 -1.959  3.5006  4.884    1  0.000  0.545     0.00     0.00 -1 -8.54e-16      0.00 6.948e-01 2.852e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.668 7.727 7.133 6.885 6.578 6.479 6.432 6.381 5.825 5.837 5.930 6.679 6.484 6.374 6.015
0.02 0.14251 10.00000 0.3500000238 2.0434176922    0.350 -1.934  3.5021  4.876    1  0.000  0.545     0.00     0.00 -1 -9.02e-16      0.00 6.956e-01 2.844e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.605 7.667 7.072 6.825 6.521 6.423 6.376 6.326 5.771 5.784 5.879 6.621 6.428 6.320 5.960
