# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 16:54:20 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 9.00000 0.0900000036 1.0816895962    0.090 -3.354  3.3817  5.225    0  0.000  0.545     0.00     0.00 -1 -4.56e-17      0.00 7.229e-01 2.671e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 13.155 15.004 18.060 13.647
0.01 -0.17553 9.00000 0.1000000015 1.1711064577    0.100 -3.180  3.4075  5.200    0  0.000  0.545     0.00     0.00 -1 -6.65e-17      0.00 7.228e-01 2.672e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.720 14.568 17.614 13.212
0.01 -0.17553 9.00000 0.1085028648 1.2384473085    0.108 -3.072  3.4218  5.185    0  0.000  0.545     0.00     0.00 -1  -8.3e-17      0.00 7.228e-01 2.672e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.451 14.247 17.189 12.900
0.01 -0.17553 9.00000 0.1200000048 1.3193155527    0.120 -2.927  3.4405  5.158    0  0.000  0.545     0.00     0.00 -1 -1.13e-16      0.00 7.228e-01 2.672e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.087 13.668 16.226 12.359
0.01 -0.17553 9.00000 0.1400000006 1.4384527206    0.140 -2.747  3.4593  5.120    0  0.000  0.545     0.00     0.00 -1 -1.66e-16      0.00 7.227e-01 2.673e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.638 13.013 15.218 11.749
0.01 -0.17553 9.00000 0.1599999964 1.5372931957    0.160 -2.605  3.4729  5.091    0  0.000  0.545     0.00     0.00 -1 -2.23e-16      0.00 7.226e-01 2.674e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.283 12.519 14.493 11.291
0.01 -0.17553 9.00000 0.1882510930 1.6524268389    0.188 -2.448  3.4865  5.058    0  0.000  0.545     0.00     0.00 -1 -3.06e-16      0.00 7.225e-01 2.675e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.889 11.987 13.742 10.800
0.01 -0.17553 9.00000 0.2000000030 1.6938791275    0.200 -2.389  3.4916  5.046    0  0.000  0.545     0.00     0.00 -1 -3.45e-16      0.00 7.225e-01 2.675e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.742 11.791 13.471 10.620
0.01 -0.17553 9.00000 0.2500000000 1.8403258324    0.250 -2.192  3.5063  5.005    0  0.000  0.545     0.00     0.00 -1 -5.09e-16      0.00 7.223e-01 2.677e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.250 11.174 12.677 10.046
0.01 -0.17553 9.00000 0.3186597824 1.9888405800    0.319 -1.973  3.5204  4.947    0  0.000  0.545     0.00     0.00 -1 -7.97e-16      0.00 7.227e-01 2.673e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.701 10.518 11.876 9.431
0.01 -0.17553 9.00000 0.3252989650 2.0009694099    0.325 -1.952  3.5217  4.941    0  0.000  0.545     0.00     0.00 -1 -8.34e-16      0.00 7.228e-01 2.672e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.650 10.457 11.805 9.374
