# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 16:13:10 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.004 -0.58336 6.00000 0.0900000036 1.0816895962    0.090 -1.152  3.4893  3.453    0  0.000  0.545     0.00     0.00 -1  -5.6e-14      0.00 7.400e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.650 8.650 10.242 7.499
0.004 -0.58336 6.00000 0.1000000015 1.1711064577    0.100 -1.061  3.4953  3.432    0  0.000  0.545     0.00     0.00 -1  -6.7e-14      0.00 7.400e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.000e-03 7.423 8.388 9.926 7.250
0.004 -0.58336 6.00000 0.1199999973 1.3193154335    0.120 -0.899  3.5059  3.392    0  0.000  0.545     0.00     0.00 -1 -9.31e-14      0.00 7.400e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.040e-03 7.018 7.921 9.366 6.808
0.004 -0.58336 6.00000 0.1400000006 1.4384527206    0.140 -0.762  3.5154  3.359    0  0.000  0.545     0.00     0.00 -1 -1.23e-13      0.00 7.400e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.022e-03 6.675 7.523 8.885 6.435
0.004 -0.58336 6.00000 0.1519273072 1.4994409084    0.152 -0.696  3.5201  3.348    0  0.000  0.545     0.00     0.00 -1 -1.39e-13      0.00 7.400e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.049e-03 6.511 7.330 8.651 6.255
0.004 -0.58336 6.00000 0.1613015234 1.5431636572    0.161 -0.653  3.5233  3.344    0  0.000  0.545     0.00     0.00 -1  -1.5e-13      0.00 7.399e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.049e-03 6.402 7.203 8.497 6.137
0.004 -0.58336 6.00000 0.1666091532 1.5664806366    0.167 -0.649  3.5242  3.358    0  0.000  0.545     0.00     0.00 -1 -1.46e-13      0.00 7.400e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.032e-03 6.393 7.187 8.473 6.124
0.004 -0.58336 6.00000 0.1717354804 1.5881022215    0.172 -0.634  3.5257  3.362    0  0.000  0.545     0.00     0.00 -1 -1.49e-13      0.00 7.399e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.019e-03 6.355 7.139 8.412 6.080
0.004 -0.58336 6.00000 0.1759502888 1.6052602530    0.176 -0.614  3.5273  3.358    0  0.000  0.545     0.00     0.00 -1 -1.54e-13      0.00 7.399e-01 2.560e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.011e-03 6.304 7.080 8.339 6.025
0.004 -0.58336 6.00000 0.1809707433 1.6250135899    0.181 -0.586  3.5295  3.351    0  0.000  0.545     0.00     0.00 -1 -1.64e-13      0.00 7.399e-01 2.561e-01 7.193e-04 1.940e-04 1.760e-03 -1.000 4.005e-03 6.234 6.998 8.240 5.949
