# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Feb 23 16:05:01 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0185 0.10606 10.00000 0.0900000036 1.0816895962    0.090 -3.433  3.3568  5.204    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-17      0.00 6.987e-01 2.827e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 13.352 15.330 18.316 13.964
0.0185 0.10606 10.00000 0.1000000015 1.1711064577    0.100 -3.258  3.3810  5.172    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-17      0.00 6.983e-01 2.831e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 12.914 14.891 17.864 13.526
0.0185 0.10606 10.00000 0.1200000048 1.3193155527    0.120 -3.003  3.4133  5.125    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.87e-17      0.00 6.975e-01 2.839e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 12.277 14.252 17.207 12.889
0.0185 0.10606 10.00000 0.1400000006 1.4384527206    0.140 -2.815  3.4351  5.092    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-16      0.00 6.968e-01 2.847e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 11.809 13.554 16.148 12.228
0.0185 0.10606 10.00000 0.1505303383 1.4926248789    0.150 -2.738  3.4428  5.076    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-16      0.00 6.964e-01 2.850e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 11.615 13.267 15.725 11.957
0.0185 0.10606 10.00000 0.1599999964 1.5372931957    0.160 -2.672  3.4493  5.064    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-16      0.00 6.962e-01 2.853e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 11.451 13.026 15.372 11.730
0.0185 0.10606 10.00000 0.2000000030 1.6938791275    0.200 -2.454  3.4680  5.017    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-16      0.00 6.951e-01 2.864e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 10.904 12.264 14.296 11.016
0.0185 0.10606 10.00000 0.2500000000 1.8403258324    0.250 -2.241  3.4844  4.967    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-17      0.00 6.942e-01 2.872e-01 3.337e-03 9.004e-04 8.167e-03 -1.000 1.856e-02 10.372 11.564 13.360 10.359
0.0185 0.10606 10.00000 0.3000000119 1.9529139996    0.300 -2.072  3.4959  4.922    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.71e-16      0.00 6.939e-01 2.876e-01 3.337e-03 9.005e-04 8.167e-03 -1.000 1.856e-02 9.949 11.035 12.686 9.861
0.0185 0.10606 10.00000 0.3500000238 2.0434176922    0.350 -1.926  3.5048  4.879    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-17      0.00 6.995e-01 2.819e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 9.584 10.598 12.157 9.447
0.0185 0.10606 10.00000 0.4000000358 2.1185026169    0.400 -1.782  3.5161  4.838    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-15      0.00 6.997e-01 2.817e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 9.225 10.153 11.605 9.031
0.0185 0.10606 10.00000 0.4500000179 2.1822810173    0.450 -1.634  3.5285  4.791    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-15      0.00 6.998e-01 2.817e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 8.855 9.700 11.049 8.608
0.0185 0.10606 10.00000 0.5000000000 2.2374541759    0.500 -1.480  3.5430  4.741    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-15      0.00 6.998e-01 2.816e-01 3.337e-03 9.004e-04 8.166e-03 -1.000 1.856e-02 8.469 9.226 10.473 8.168
0.0185 0.10606 10.00000 0.5262089968 2.2629323006    0.526 -1.387  3.5532  4.711    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-15      0.00 7.116e-01 2.705e-01 3.215e-03 8.674e-04 7.868e-03 -1.000 1.789e-02 8.237 8.932 10.112 7.900
0.0185 0.10606 10.00000 0.5500000119 2.2836582661    0.550 -1.306  3.5620  4.684    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.81e-15      0.00 7.222e-01 2.605e-01 3.103e-03 8.376e-04 7.599e-03 -1.000 1.728e-02 8.036 8.676 9.797 7.667
0.0185 0.10606 10.00000 0.6000000238 2.3211214542    0.600 -1.135  3.5862  4.648    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-15      0.00 7.255e-01 2.574e-01 3.071e-03 8.289e-04 7.520e-03 -1.000 1.710e-02 7.607 8.104 9.078 7.160
0.0185 0.10606 10.00000 0.6499999762 2.3520355225    0.650 -0.958  3.6163  4.626    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.34e-15      0.00 7.286e-01 2.545e-01 3.042e-03 8.212e-04 7.452e-03 -1.000 1.695e-02 7.166 7.506 8.331 6.640
0.0185 0.10606 10.00000 0.7000000477 2.3779268265    0.700 -0.785  3.6473  4.609    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-14      0.00 7.314e-01 2.518e-01 3.015e-03 8.141e-04 7.389e-03 -1.000 1.681e-02 6.732 6.916 7.597 6.137
0.0185 0.10606 10.00000 0.7169726491 2.3857772350    0.717 -0.726  3.6580  4.604    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-14      0.00 7.323e-01 2.509e-01 2.991e-03 8.111e-04 7.366e-03 -1.000 1.674e-02 6.585 6.717 7.352 5.968
0.0185 0.10606 10.00000 0.7489951849 2.3994808197    0.749 -0.617  3.6775  4.591    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-14      0.00 7.342e-01 2.491e-01 2.948e-03 8.055e-04 7.322e-03 -1.000 1.665e-02 6.312 6.363 6.925 5.666
