# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Apr  7 15:54:20 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.04 0.47971 10.00000 0.1000000015 1.1711064577    0.100 -3.267  3.3677  5.128    1  0.000  0.545     0.00     0.00 -1 -5.87e-17      0.00 6.375e-01 3.225e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 12.937 15.000 17.871 13.646
0.04 0.47971 10.00000 0.1178196445 1.3047735691    0.118 -3.068  3.3897  5.088    1  0.000  0.545     0.00     0.00 -1 -8.94e-17      0.00 6.369e-01 3.231e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 12.441 14.502 17.360 13.149
0.04 0.47971 10.00000 0.1199999973 1.3193154335    0.120 -3.046  3.3921  5.084    1  0.000  0.545     0.00     0.00 -1 -9.37e-17      0.00 6.369e-01 3.231e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 12.386 14.447 17.303 13.093
0.04 0.47971 10.00000 0.1266675144 1.3617359400    0.127 -2.988  3.3978  5.072    1  0.000  0.545     0.00     0.00 -1 -4.58e-17      0.00 6.367e-01 3.233e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 12.240 14.301 17.153 12.948
0.04 0.47971 10.00000 0.1400000006 1.4384527206    0.140 -2.881  3.4085  5.050    1  0.000  0.545     0.00     0.00 -1  -1.7e-17      0.00 6.364e-01 3.236e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 11.972 14.031 16.877 12.679
0.04 0.47971 10.00000 0.1599999964 1.5372931957    0.160 -2.747  3.4206  5.023    1  0.000  0.545     0.00     0.00 -1 -1.73e-16      0.00 6.359e-01 3.241e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 11.638 13.654 16.430 12.309
0.04 0.47971 10.00000 0.2000000030 1.6938791275    0.200 -2.524  3.4416  4.981    1  0.000  0.545     0.00     0.00 -1 -2.72e-16      0.00 6.350e-01 3.250e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 11.079 12.820 15.214 11.519
0.04 0.47971 10.00000 0.2500000000 1.8403258324    0.250 -2.309  3.4590  4.933    1  0.000  0.545     0.00     0.00 -1 -6.67e-20      0.00 6.343e-01 3.257e-01 7.192e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 10.543 12.074 14.191 10.813
0.04 0.47971 10.00000 0.3000000417 1.9529141188    0.300 -2.138  3.4717  4.891    1  0.000  0.545     0.00     0.00 -1 -5.98e-16      0.00 6.341e-01 3.259e-01 7.192e-03 1.941e-03 1.760e-02 -1.000 4.000e-02 10.114 11.510 13.457 10.278
0.04 0.47971 10.00000 0.3499999940 2.0434174538    0.350 -1.987  3.4826  4.852    1  0.000  0.545     0.00     0.00 -1  -8.2e-16      0.00 6.386e-01 3.214e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 9.738 11.027 12.842 9.820
0.04 0.47971 10.00000 0.3953925371 2.1121065617    0.395 -1.857  3.4941  4.820    1  0.000  0.545     0.00     0.00 -1 -1.08e-15      0.00 6.389e-01 3.211e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 9.412 10.599 12.293 9.419
0.04 0.47971 10.00000 0.4000000060 2.1185026169    0.400 -1.845  3.4952  4.817    1  0.000  0.545     0.00     0.00 -1 -1.11e-15      0.00 6.389e-01 3.211e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 9.381 10.560 12.244 9.382
0.04 0.47971 10.00000 0.4094725847 2.1313564777    0.409 -1.816  3.4978  4.809    1  0.000  0.545     0.00     0.00 -1 -1.18e-15      0.00 6.389e-01 3.211e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 9.310 10.469 12.131 9.297
0.04 0.47971 10.00000 0.4500000179 2.1822810173    0.450 -1.701  3.5083  4.777    1  0.000  0.545     0.00     0.00 -1 -1.52e-15      0.00 6.389e-01 3.211e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 9.024 10.107 11.682 8.956
0.04 0.47971 10.00000 0.5000000596 2.2374544144    0.500 -1.554  3.5233  4.736    1  0.000  0.545     0.00     0.00 -1 -2.13e-15      0.00 6.390e-01 3.210e-01 7.193e-03 1.940e-03 1.760e-02 -1.000 4.000e-02 8.654 9.636 11.097 8.516
0.04 0.47971 10.00000 0.5072796941 2.2448348999    0.507 -1.529  3.5258  4.727    1  0.000  0.545     0.00     0.00 -1 -2.26e-15      0.00 6.425e-01 3.178e-01 7.125e-03 1.922e-03 1.744e-02 -1.000 3.963e-02 8.592 9.560 11.006 8.444
0.04 0.47971 10.00000 0.5500000119 2.2836582661    0.550 -1.391  3.5397  4.680    1  0.000  0.545     0.00     0.00 -1 -3.15e-15      0.00 6.625e-01 3.000e-01 6.743e-03 1.819e-03 1.650e-02 -1.000 3.752e-02 8.247 9.137 10.500 8.046
0.04 0.47971 10.00000 0.6000000238 2.3211214542    0.600 -1.229  3.5618  4.644    1  0.000  0.545     0.00     0.00 -1 -4.56e-15      0.00 6.661e-01 2.968e-01 6.678e-03 1.802e-03 1.635e-02 -1.000 3.718e-02 7.843 8.593 9.809 7.553
0.04 0.47971 10.00000 0.6499999762 2.3520355225    0.650 -1.059  3.5905  4.624    1  0.000  0.544     0.00     0.00 -1 -6.63e-15      0.00 6.691e-01 2.940e-01 6.623e-03 1.788e-03 1.622e-02 -1.000 3.687e-02 7.418 7.960 8.971 7.007
0.04 0.47971 10.00000 0.6999999881 2.3779268265    0.700 -0.891  3.6202  4.607    1  0.000  0.544     0.00     0.00 -1  -9.6e-15      0.00 6.720e-01 2.914e-01 6.571e-03 1.774e-03 1.610e-02 -1.000 3.658e-02 6.997 7.343 8.176 6.481
0.04 0.47971 10.00000 0.7184545994 2.3864424229    0.718 -0.824  3.6339  4.606    1  0.000  0.542     0.00     0.00 -1  -1.1e-14      0.00 6.729e-01 2.906e-01 6.523e-03 1.769e-03 1.606e-02 -1.000 3.650e-02 6.831 7.094 7.858 6.272
0.04 0.47971 10.00000 0.7500000000 2.3998889923    0.750 -0.713  3.6565  4.604    1  0.000  0.537     0.00     0.00 -1  -1.4e-14      0.00 6.743e-01 2.893e-01 6.442e-03 1.760e-03 1.600e-02 -1.000 3.639e-02 6.553 6.691 7.349 5.933
0.04 0.47971 10.00000 0.7804806828 2.4117014408    0.780 -0.622  3.6689  4.579    1  0.000  0.537     0.00     0.00 -1 -1.74e-14      0.00 6.770e-01 2.869e-01 6.394e-03 1.747e-03 1.588e-02 -1.000 3.607e-02 6.324 6.403 7.012 5.679
0.04 0.47971 10.00000 0.8000000119 2.4187245369    0.800 -0.563  3.6768  4.563    1  0.000  0.537     0.00     0.00 -1 -2.01e-14      0.00 6.787e-01 2.854e-01 6.364e-03 1.739e-03 1.581e-02 -1.000 3.590e-02 6.178 6.225 6.805 5.522
0.04 0.47971 10.00000 0.8061534166 2.4208576679    0.806 -0.544  3.6793  4.558    1  0.000  0.537     0.00     0.00 -1  -2.1e-14      0.00 6.793e-01 2.848e-01 6.353e-03 1.736e-03 1.578e-02 -1.000 3.584e-02 6.130 6.168 6.739 5.472
0.04 0.47971 10.00000 0.8329271674 2.4297184944    0.832 -0.462  3.6902  4.533    1  0.000  0.537     0.00     0.00 -1 -2.57e-14      0.00 6.819e-01 2.825e-01 6.307e-03 1.724e-03 1.567e-02 -1.000 3.562e-02 5.924 5.925 6.459 5.256
0.04 0.47971 10.00000 0.8500000238 2.4350347519    0.849 -0.409  3.6969  4.516    1  0.000  0.537     0.00     0.00 -1 -2.92e-14      0.00 6.835e-01 2.811e-01 6.280e-03 1.717e-03 1.560e-02 -1.000 3.547e-02 5.793 5.773 6.287 5.121
0.04 0.47971 10.00000 0.8614652157 2.4384691715    0.861 -0.374  3.7013  4.504    1  0.000  0.537     0.00     0.00 -1  -3.2e-14      0.00 6.847e-01 2.800e-01 6.258e-03 1.711e-03 1.555e-02 -1.000 3.534e-02 5.704 5.671 6.172 5.030
0.04 0.47971 10.00000 0.8745275140 2.4422562122    0.874 -0.333  3.7061  4.489    1  0.000  0.536     0.00     0.00 -1 -3.55e-14      0.00 6.861e-01 2.787e-01 6.233e-03 1.704e-03 1.549e-02 -1.000 3.522e-02 5.602 5.557 6.043 4.927
0.04 0.47971 10.00000 0.8984563351 2.4488661289    0.897 -0.258  3.7145  4.459    1  0.000  0.536     0.00     0.00 -1  -4.3e-14      0.00 6.885e-01 2.765e-01 6.190e-03 1.692e-03 1.538e-02 -1.000 3.500e-02 5.415 5.349 5.813 4.739
