# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 15:26:52 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.005 -0.48482 5.00000 0.0900000036 1.0816895962    0.090 -0.690  3.4935  3.009    0  0.000  0.545     0.00     0.00 -1 -2.71e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 6.496 7.576 9.227 6.410
0.005 -0.48482 5.00000 0.1000000015 1.1711064577    0.100 -0.616  3.4981  2.998    0  0.000  0.545     0.00     0.00 -1 -3.09e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 6.309 7.366 8.981 6.209
0.005 -0.48482 5.00000 0.1123719513 1.2668581009    0.112 -0.537  3.5039  2.993    0  0.000  0.545     0.00     0.00 -1 -3.51e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 6.112 7.138 8.703 5.994
0.005 -0.48482 5.00000 0.1199999973 1.3193154335    0.120 -0.490  3.5072  2.988    0  0.000  0.545     0.00     0.00 -1 -3.81e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 5.995 7.003 8.539 5.866
0.005 -0.48482 5.00000 0.1268129200 1.3626285791    0.127 -0.454  3.5103  2.988    0  0.000  0.545     0.00     0.00 -1 -4.02e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 5.905 6.895 8.404 5.766
0.005 -0.48482 5.00000 0.1400000006 1.4384527206    0.140 -0.385  3.5162  2.985    0  0.000  0.545     0.00     0.00 -1 -4.51e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 5.732 6.686 8.137 5.573
0.005 -0.48482 5.00000 0.1491973549 1.4860440493    0.149 -0.343  3.5202  2.987    0  0.000  0.545     0.00     0.00 -1 -4.79e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 5.628 6.556 7.967 5.454
0.005 -0.48482 5.00000 0.1696083248 1.5792336464    0.170 -0.257  3.5291  2.993    0  0.000  0.545     0.00     0.00 -1 -5.44e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 5.414 6.288 7.618 5.212
0.005 -0.48482 5.00000 0.1842638999 1.6375879049    0.184 -0.201  3.5357  2.999    0  0.000  0.545     0.00     0.00 -1  -5.9e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 5.273 6.111 7.387 5.053
0.005 -0.48482 5.00000 0.2004598826 1.6954369545    0.200 -0.141  3.5428  3.004    0  0.000  0.545     0.00     0.00 -1 -6.47e-13      0.00 7.372e-01 2.577e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 5.122 5.921 7.139 4.883
