# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 15:26:01 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.003 -0.70993 5.00000 0.0900000036 1.0816895962    0.090 -0.660  3.5103  3.045    0  0.000  0.545     0.00     0.00 -1 -2.78e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 6.420 7.281 8.664 6.186
0.003 -0.70993 5.00000 0.0996598005 1.1682583094    0.100 -0.592  3.5145  3.038    0  0.000  0.545     0.00     0.00 -1 -3.12e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 6.250 7.085 8.428 6.003
0.003 -0.70993 5.00000 0.1032055244 1.1973387003    0.103 -0.569  3.5161  3.037    0  0.000  0.545     0.00     0.00 -1 -3.24e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 6.193 7.018 8.345 5.941
0.003 -0.70993 5.00000 0.1216794252 1.3302842379    0.122 -0.458  3.5241  3.029    0  0.000  0.545     0.00     0.00 -1 -3.89e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.915 6.690 7.942 5.638
0.003 -0.70993 5.00000 0.1342773139 1.4067391157    0.134 -0.391  3.5296  3.027    0  0.000  0.545     0.00     0.00 -1 -4.33e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.747 6.490 7.690 5.454
0.003 -0.70993 5.00000 0.1406832635 1.4421263933    0.140 -0.360  3.5323  3.027    0  0.000  0.545     0.00     0.00 -1 -4.55e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.669 6.400 7.584 5.371
0.003 -0.70993 5.00000 0.1534758359 1.5069017410    0.153 -0.301  3.5377  3.027    0  0.000  0.545     0.00     0.00 -1 -4.97e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.523 6.235 7.390 5.217
0.003 -0.70993 5.00000 0.1615685821 1.5443605185    0.161 -0.267  3.5410  3.029    0  0.000  0.545     0.00     0.00 -1 -5.23e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.438 6.137 7.273 5.126
0.003 -0.70993 5.00000 0.1755216569 1.6035398245    0.175 -0.212  3.5468  3.033    0  0.000  0.545     0.00     0.00 -1 -5.67e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.300 5.975 7.075 4.979
0.003 -0.70993 5.00000 0.1908606887 1.6619194746    0.190 -0.154  3.5532  3.037    0  0.000  0.545     0.00     0.00 -1 -6.19e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.156 5.798 6.853 4.821
0.003 -0.70993 5.00000 0.2062908709 1.7147948742    0.206 -0.093  3.5595  3.034    0  0.000  0.545     0.00     0.00 -1 -6.88e-13      0.00 7.425e-01 2.543e-01 5.700e-04 1.537e-04 1.395e-03 -1.000 3.170e-03 5.002 5.607 6.612 4.652
