# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb  7 15:21:04 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.05 0.59589 10.00000 0.5000000596 2.2374544144    0.500 -1.549  3.5235  4.732    1  0.000  0.545     0.00     0.00 -1 -2.17e-15      0.00 6.087e-01 3.403e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 8.641 6.725 6.104 5.876 5.631 5.555 5.508 5.461 4.927 4.969 5.085 5.716 5.559 5.471 5.117
0.05 0.59589 10.00000 0.5049565434 2.2425060272    0.505 -1.531  3.5253  4.726    1  0.000  0.545     0.00     0.00 -1 -2.26e-15      0.00 6.114e-01 3.379e-01 9.111e-03 2.458e-03 2.229e-02 -1.000 5.066e-02 8.598 6.686 6.062 5.835 5.594 5.521 5.475 5.428 4.897 4.941 5.058 5.679 5.526 5.440 5.086
0.05 0.59589 10.00000 0.5500000119 2.2836582661    0.550 -1.382  3.5409  4.676    1  0.000  0.545     0.00     0.00 -1 -3.23e-15      0.00 6.341e-01 3.181e-01 8.593e-03 2.318e-03 2.102e-02 -1.000 4.779e-02 8.226 6.352 5.702 5.484 5.280 5.235 5.189 5.144 4.635 4.697 4.821 5.352 5.240 5.166 4.824
0.05 0.59589 10.00000 0.5518051386 2.2851471901    0.551 -1.376  3.5418  4.675    1  0.000  0.545     0.00     0.00 -1 -3.27e-15      0.00 6.342e-01 3.180e-01 8.591e-03 2.317e-03 2.102e-02 -1.000 4.778e-02 8.210 6.339 5.687 5.470 5.268 5.225 5.179 5.134 4.626 4.689 4.814 5.340 5.230 5.156 4.815
0.05 0.59589 10.00000 0.6000000238 2.3211214542    0.600 -1.217  3.5648  4.645    1  0.000  0.545     0.00     0.00 -1 -4.68e-15      0.00 6.377e-01 3.149e-01 8.518e-03 2.299e-03 2.085e-02 -1.000 4.740e-02 7.814 6.005 5.325 5.127 4.968 4.968 4.921 4.868 4.394 4.486 4.613 5.019 4.974 4.905 4.584
0.05 0.59589 10.00000 0.6499999762 2.3520355225    0.650 -1.046  3.5938  4.624    1  0.000  0.544     0.00     0.00 -1 -6.82e-15      0.00 6.410e-01 3.120e-01 8.446e-03 2.280e-03 2.068e-02 -1.000 4.701e-02 7.386 5.659 4.972 4.803 4.691 4.733 4.688 4.624 4.186 4.303 4.427 4.719 4.739 4.675 4.375
0.05 0.59589 10.00000 0.6999999881 2.3779268265    0.700 -0.878  3.6234  4.606    1  0.000  0.544     0.00     0.00 -1 -9.91e-15      0.00 6.442e-01 3.092e-01 8.379e-03 2.262e-03 2.052e-02 -1.000 4.662e-02 6.964 5.318 4.653 4.517 4.449 4.516 4.479 4.412 3.996 4.126 4.252 4.462 4.523 4.472 4.185
0.05 0.59589 10.00000 0.7080313563 2.3816955090    0.708 -0.849  3.6293  4.606    1  0.000  0.543     0.00     0.00 -1 -1.05e-14      0.00 6.446e-01 3.088e-01 8.352e-03 2.259e-03 2.050e-02 -1.000 4.657e-02 6.892 5.262 4.604 4.475 4.414 4.483 4.447 4.382 3.967 4.099 4.226 4.425 4.490 4.442 4.156
0.05 0.59589 10.00000 0.7349708080 2.3936481476    0.735 -0.753  3.6482  4.602    1  0.000  0.539     0.00     0.00 -1 -1.29e-14      0.00 6.460e-01 3.076e-01 8.265e-03 2.250e-03 2.044e-02 -1.000 4.643e-02 6.653 5.080 4.466 4.352 4.305 4.374 4.343 4.281 3.869 4.006 4.134 4.311 4.380 4.342 4.058
0.05 0.59589 10.00000 0.7500000000 2.3998889923    0.750 -0.701  3.6584  4.600    1  0.000  0.537     0.00     0.00 -1 -1.44e-14      0.00 6.467e-01 3.069e-01 8.219e-03 2.246e-03 2.041e-02 -1.000 4.639e-02 6.523 4.980 4.396 4.290 4.246 4.312 4.284 4.225 3.813 3.951 4.081 4.250 4.318 4.286 4.002
