# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Jan 22 16:56:48 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.016 0.03872 10.00000 0.0900000036 1.0816895962    0.090 -3.426  3.3610  5.214    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-17      0.00 7.056e-01 2.783e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 13.334 15.290 18.303 13.932
0.016 0.03872 10.00000 0.0974077806 1.1490805149    0.097 -3.290  3.3801  5.189    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-17      0.00 7.053e-01 2.786e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 12.995 14.950 17.954 13.593
0.016 0.03872 10.00000 0.1000000015 1.1711064577    0.100 -3.245  3.3864  5.181    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-17      0.00 7.052e-01 2.787e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 12.883 14.837 17.838 13.480
0.016 0.03872 10.00000 0.1029011309 1.1948934793    0.103 -3.204  3.3918  5.173    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-17      0.00 7.051e-01 2.788e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 12.780 14.734 17.732 13.378
0.016 0.03872 10.00000 0.1200000048 1.3193155527    0.120 -2.983  3.4206  5.134    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-16      0.00 7.044e-01 2.796e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 12.227 14.140 17.056 12.790
0.016 0.03872 10.00000 0.1400000006 1.4384527206    0.140 -2.798  3.4414  5.099    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-16      0.00 7.036e-01 2.803e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 11.764 13.413 15.916 12.107
0.016 0.03872 10.00000 0.1512921154 1.4963518381    0.151 -2.715  3.4493  5.082    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-16      0.00 7.033e-01 2.807e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 11.558 13.114 15.476 11.826
0.016 0.03872 10.00000 0.1599999964 1.5372931957    0.160 -2.656  3.4550  5.070    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-16      0.00 7.030e-01 2.810e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 11.410 12.898 15.156 11.624
0.016 0.03872 10.00000 0.2000000030 1.6938791275    0.200 -2.437  3.4738  5.023    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-16      0.00 7.019e-01 2.821e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 10.861 12.143 14.092 10.918
0.016 0.03872 10.00000 0.2500000000 1.8403258324    0.250 -2.223  3.4902  4.972    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.25e-18      0.00 7.010e-01 2.829e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 10.329 11.442 13.150 10.264
0.016 0.03872 10.00000 0.3000000119 1.9529139996    0.300 -2.057  3.5009  4.928    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.59e-17      0.00 7.007e-01 2.833e-01 2.888e-03 7.793e-04 7.068e-03 -1.000 1.606e-02 9.913 10.934 12.520 9.785
0.016 0.03872 10.00000 0.3477729857 2.0397524834    0.348 -1.916  3.5093  4.885    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-16      0.00 7.063e-01 2.776e-01 2.888e-03 7.793e-04 7.067e-03 -1.000 1.606e-02 9.560 10.516 12.015 9.388
0.016 0.03872 10.00000 0.3500000238 2.0434176922    0.350 -1.910  3.5097  4.883    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.9e-17      0.00 7.065e-01 2.774e-01 2.888e-03 7.793e-04 7.067e-03 -1.000 1.606e-02 9.545 10.498 11.993 9.371
0.016 0.03872 10.00000 0.3660279512 2.0689313412    0.366 -1.862  3.5134  4.869    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-16      0.00 7.066e-01 2.774e-01 2.888e-03 7.793e-04 7.067e-03 -1.000 1.606e-02 9.424 10.349 11.809 9.232
0.016 0.03872 10.00000 0.4000000358 2.1185026169    0.400 -1.766  3.5209  4.841    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-15      0.00 7.067e-01 2.772e-01 2.888e-03 7.793e-04 7.067e-03 -1.000 1.606e-02 9.184 10.055 11.447 8.957
0.016 0.03872 10.00000 0.4500000179 2.1822810173    0.450 -1.616  3.5333  4.792    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-15      0.00 7.068e-01 2.771e-01 2.888e-03 7.793e-04 7.067e-03 -1.000 1.606e-02 8.811 9.599 10.894 8.533
0.016 0.03872 10.00000 0.5000000000 2.2374541759    0.500 -1.459  3.5484  4.741    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-15      0.00 7.068e-01 2.771e-01 2.888e-03 7.793e-04 7.067e-03 -1.000 1.606e-02 8.416 9.114 10.304 8.085
0.016 0.03872 10.00000 0.5500000119 2.2836582661    0.550 -1.281  3.5684  4.685    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.03e-15      0.00 7.294e-01 2.557e-01 2.679e-03 7.231e-04 6.560e-03 -1.000 1.493e-02 7.974 8.551 9.611 7.574
0.016 0.03872 10.00000 0.6000000238 2.3211214542    0.600 -1.108  3.5933  4.649    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1    -6e-15      0.00 7.327e-01 2.525e-01 2.651e-03 7.155e-04 6.492e-03 -1.000 1.479e-02 7.539 7.978 8.901 7.066
0.016 0.03872 10.00000 0.6499999762 2.3520355225    0.650 -0.929  3.6240  4.628    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.91e-15      0.00 7.358e-01 2.496e-01 2.625e-03 7.086e-04 6.430e-03 -1.000 1.462e-02 7.092 7.381 8.161 6.547
0.016 0.03872 10.00000 0.6651803851 2.3603701591    0.665 -0.874  3.6337  4.622    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1    -1e-14      0.00 7.367e-01 2.487e-01 2.617e-03 7.066e-04 6.412e-03 -1.000 1.459e-02 6.956 7.198 7.933 6.391
0.016 0.03872 10.00000 0.7000000477 2.3779268265    0.700 -0.754  3.6552  4.610    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.387e-01 2.468e-01 2.600e-03 7.021e-04 6.372e-03 -1.000 1.451e-02 6.655 6.793 7.432 6.047
0.016 0.03872 10.00000 0.7216459513 2.3878643513    0.722 -0.679  3.6684  4.601    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-14      0.00 7.401e-01 2.455e-01 2.573e-03 6.985e-04 6.344e-03 -1.000 1.442e-02 6.468 6.548 7.135 5.838
0.016 0.03872 10.00000 0.7461789846 2.3983297348    0.746 -0.595  3.6828  4.589    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 7.417e-01 2.440e-01 2.543e-03 6.944e-04 6.312e-03 -1.000 1.436e-02 6.258 6.284 6.821 5.612
0.016 0.03872 10.00000 0.7500000000 2.3998889923    0.750 -0.582  3.6851  4.587    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.419e-01 2.438e-01 2.538e-03 6.938e-04 6.307e-03 -1.000 1.433e-02 6.225 6.244 6.774 5.578
0.016 0.03872 10.00000 0.7612594962 2.4043793678    0.761 -0.545  3.6904  4.578    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-14      0.00 7.429e-01 2.428e-01 2.530e-03 6.915e-04 6.287e-03 -1.000 1.424e-02 6.133 6.135 6.648 5.482
0.016 0.03872 10.00000 0.7806534171 2.4117653370    0.780 -0.481  3.6995  4.562    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 7.446e-01 2.412e-01 2.515e-03 6.876e-04 6.251e-03 -1.000 1.421e-02 5.973 5.949 6.435 5.319
0.016 0.03872 10.00000 0.7983495593 2.4181458950    0.798 -0.423  3.7077  4.546    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.83e-14      0.00 7.462e-01 2.397e-01 2.501e-03 6.840e-04 6.220e-03 -1.000 1.414e-02 5.828 5.783 6.246 5.172
