# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Dec 18 17:05:29 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.03 0.33631 10.00000 0.6999999881 2.3779268265    0.700 -0.870  3.6253  4.607    1  0.000  0.544     0.00     0.00 -1 -1.01e-14      0.00 6.996e-01 2.731e-01 4.916e-03 1.327e-03 1.204e-02 -1.000 2.737e-02 6.946 7.248 8.042 6.408
0.03 0.33631 10.00000 0.7264778614 2.3899900913    0.726 -0.776  3.6443  4.604    1  0.000  0.540     0.00     0.00 -1 -1.23e-14      0.00 7.008e-01 2.720e-01 4.863e-03 1.322e-03 1.200e-02 -1.000 2.727e-02 6.711 6.908 7.611 6.122
0.03 0.33631 10.00000 0.7500000000 2.3998889923    0.750 -0.695  3.6605  4.602    1  0.000  0.537     0.00     0.00 -1 -1.46e-14      0.00 7.019e-01 2.709e-01 4.817e-03 1.317e-03 1.197e-02 -1.000 2.721e-02 6.507 6.622 7.255 5.881
0.03 0.33631 10.00000 0.7509176731 2.4002606869    0.751 -0.692  3.6609  4.601    1  0.000  0.537     0.00     0.00 -1 -1.47e-14      0.00 7.019e-01 2.709e-01 4.816e-03 1.316e-03 1.196e-02 -1.000 2.720e-02 6.500 6.613 7.244 5.874
0.03 0.33631 10.00000 0.7790149450 2.4111576080    0.779 -0.606  3.6728  4.579    1  0.000  0.537     0.00     0.00 -1 -1.81e-14      0.00 7.043e-01 2.687e-01 4.782e-03 1.307e-03 1.188e-02 -1.000 2.702e-02 6.285 6.347 6.933 5.640
0.03 0.33631 10.00000 0.8000000119 2.4187245369    0.800 -0.542  3.6817  4.562    1  0.000  0.537     0.00     0.00 -1 -2.11e-14      0.00 7.060e-01 2.671e-01 4.757e-03 1.300e-03 1.182e-02 -1.000 2.682e-02 6.125 6.154 6.708 5.469
0.03 0.33631 10.00000 0.8122055531 2.4229195118    0.812 -0.504  3.6869  4.551    1  0.000  0.536     0.00     0.00 -1 -2.31e-14      0.00 7.072e-01 2.661e-01 4.741e-03 1.296e-03 1.178e-02 -1.000 2.674e-02 6.030 6.042 6.579 5.370
0.03 0.33631 10.00000 0.8353209496 2.4304790497    0.835 -0.432  3.6966  4.530    1  0.000  0.536     0.00     0.00 -1 -2.75e-14      0.00 7.092e-01 2.641e-01 4.712e-03 1.288e-03 1.171e-02 -1.000 2.664e-02 5.851 5.832 6.339 5.185
0.03 0.33631 10.00000 0.8500000238 2.4350347519    0.849 -0.387  3.7025  4.516    1  0.000  0.536     0.00     0.00 -1 -3.08e-14      0.00 7.105e-01 2.630e-01 4.693e-03 1.283e-03 1.167e-02 -1.000 2.649e-02 5.737 5.701 6.191 5.069
0.03 0.33631 10.00000 0.8545807600 2.4364197254    0.854 -0.372  3.7043  4.511    1  0.000  0.536     0.00     0.00 -1 -3.19e-14      0.00 7.110e-01 2.625e-01 4.686e-03 1.282e-03 1.165e-02 -1.000 2.643e-02 5.701 5.661 6.145 5.032
0.03 0.33631 10.00000 0.8730949163 2.4418473244    0.872 -0.314  3.7114  4.490    1  0.000  0.536     0.00     0.00 -1  -3.7e-14      0.00 7.129e-01 2.608e-01 4.659e-03 1.274e-03 1.159e-02 -1.000 2.626e-02 5.554 5.496 5.961 4.884
