# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Apr 22 16:55:13 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.05 0.59589 9.00000 0.1000000015 1.1711064577    0.100 -3.253  3.3651  5.103    0  0.000  0.545     0.00     0.00 -1 -6.28e-17      0.00 6.086e-01 3.404e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.902 14.968 17.830 13.614
0.05 0.59589 9.00000 0.1199999973 1.3193154335    0.120 -3.047  3.3874  5.065    0  0.000  0.545     0.00     0.00 -1  -9.6e-17      0.00 6.085e-01 3.405e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 12.387 14.451 17.301 13.098
0.05 0.59589 9.00000 0.1400000006 1.4384527206    0.140 -2.888  3.4031  5.037    0  0.000  0.545     0.00     0.00 -1 -1.32e-16      0.00 6.085e-01 3.405e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.990 14.053 16.893 12.701
0.05 0.59589 9.00000 0.1447291821 1.4634149075    0.145 -2.856  3.4061  5.031    0  0.000  0.545     0.00     0.00 -1 -1.41e-16      0.00 6.085e-01 3.405e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.910 13.973 16.811 12.621
0.05 0.59589 9.00000 0.1599999964 1.5372931957    0.160 -2.758  3.4150  5.013    0  0.000  0.545     0.00     0.00 -1 -1.72e-16      0.00 6.085e-01 3.405e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.666 13.728 16.559 12.376
0.05 0.59589 9.00000 0.1823861748 1.6304543018    0.182 -2.634  3.4262  4.990    0  0.000  0.545     0.00     0.00 -1 -2.19e-16      0.00 6.085e-01 3.405e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.356 13.297 15.952 11.964
0.05 0.59589 9.00000 0.1914796531 1.6641463041    0.191 -2.588  3.4304  4.982    0  0.000  0.545     0.00     0.00 -1 -2.39e-16      0.00 6.084e-01 3.405e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.241 13.126 15.700 11.802
0.05 0.59589 9.00000 0.2000000030 1.6938791275    0.200 -2.547  3.4341  4.974    0  0.000  0.545     0.00     0.00 -1  -2.6e-16      0.00 6.084e-01 3.406e-01 9.173e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 11.138 12.976 15.488 11.660
0.05 0.59589 9.00000 0.2620516419 1.8699917793    0.262 -2.295  3.4573  4.933    0  0.000  0.545     0.00     0.00 -1 -4.26e-16      0.00 6.082e-01 3.408e-01 9.172e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 10.508 12.062 14.204 10.797
0.05 0.59589 9.00000 0.2662428916 1.8798959255    0.266 -2.280  3.4584  4.929    0  0.000  0.545     0.00     0.00 -1 -4.39e-16      0.00 6.082e-01 3.408e-01 9.172e-03 2.474e-03 2.244e-02 -1.000 5.101e-02 10.470 12.011 14.136 10.749
